,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,241.377,93.8242,0.941972,248.361,131.369,0.872837,212.126,136.905,0.794149,189.856,194.0,0.849231,177.346,248.348,0.850344,283.134,128.593,0.856283,309.589,182.962,0.882568,316.52,224.691,0.856516,251.073,241.376,0.755422,221.868,241.365,0.687711,226.007,329.168,0.779584,249.697,295.689,0.358225,278.98,241.423,0.672826,269.228,329.164,0.818502,271.942,427.921,0.804022,237.149,88.2096,0.851488,249.715,85.4466,0.929906,227.446,95.1325,0.717198,260.838,92.3602,0.83944,271.961,446.044,0.68939,281.78,441.926,0.777745,265.08,433.536,0.591891,0.0,0.0,0.0,0.0,0.0,0.0,249.766,285.966,0.191071
0,242.775,95.129,0.922614,249.655,132.799,0.861797,212.134,138.312,0.80943,192.64,194.018,0.884855,180.104,248.311,0.858813,283.181,128.59,0.861589,310.994,182.84,0.851925,316.548,224.695,0.851116,249.774,241.38,0.747167,221.908,241.401,0.672994,223.257,338.821,0.766407,221.864,416.771,0.760652,276.219,241.393,0.667963,270.572,330.525,0.79956,271.952,427.994,0.830272,237.225,89.606,0.876608,249.784,85.4915,0.920094,227.498,95.1294,0.728545,260.891,91.0044,0.821247,269.241,446.039,0.687265,280.367,443.276,0.759225,267.824,436.297,0.6069,217.751,437.715,0.739787,209.371,433.533,0.697081,227.445,419.589,0.642193
0,241.415,104.985,0.916737,249.751,134.162,0.899827,213.544,138.328,0.817256,194.016,194.086,0.900814,182.861,249.701,0.897364,284.594,128.629,0.861373,313.787,182.891,0.891417,316.597,227.382,0.897032,251.084,241.366,0.742385,221.88,240.026,0.674663,223.3,330.536,0.704629,245.544,294.241,0.292503,278.968,242.765,0.656351,270.589,337.47,0.811149,271.966,432.164,0.773508,238.515,100.722,0.876345,249.69,96.5952,0.911533,228.794,100.765,0.547034,260.842,95.1647,0.863254,270.587,453.015,0.698679,280.382,451.602,0.761368,269.243,440.467,0.608911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,248.34,93.8433,0.933892,251.111,134.168,0.892706,216.273,138.296,0.85373,195.375,195.388,0.936875,182.943,249.784,0.932022,285.984,128.626,0.854118,315.144,182.854,0.899733,316.631,226.031,0.895504,251.099,240.014,0.755536,223.271,239.948,0.680281,220.494,322.127,0.462711,226.058,340.197,0.826731,280.334,241.419,0.666612,270.61,337.442,0.796656,271.938,433.512,0.764692,238.653,89.6046,0.91802,252.513,85.4336,0.908054,230.221,95.249,0.777953,263.666,90.9922,0.828408,270.622,451.655,0.718761,280.385,450.266,0.779808,267.833,440.495,0.592857,226.083,362.565,0.799001,217.686,361.124,0.784314,227.485,338.89,0.719916
0,249.697,93.8201,0.950367,251.192,132.776,0.8667,216.339,136.946,0.853425,195.451,194.047,0.913981,184.29,249.698,0.913074,290.119,128.618,0.833107,316.561,182.849,0.917388,319.364,226.033,0.890111,252.492,240.038,0.72842,226.025,239.979,0.68989,223.264,330.499,0.682837,220.529,416.772,0.726992,281.779,242.774,0.689063,270.585,336.056,0.797939,271.94,432.166,0.770205,239.989,88.1979,0.910682,255.3,85.4151,0.884823,231.655,95.2157,0.742132,269.217,92.3757,0.848876,270.587,453.072,0.701933,280.381,451.657,0.777785,265.075,440.478,0.615814,217.765,439.039,0.717132,209.377,434.916,0.677276,227.457,419.605,0.611412
0,251.186,93.759,0.933105,253.903,131.382,0.837056,217.69,136.9,0.840623,198.196,194.018,0.861236,188.5,248.286,0.826357,292.887,128.613,0.841255,317.906,182.82,0.884006,322.134,223.275,0.816611,251.178,245.571,0.724483,224.662,242.799,0.657386,227.412,330.533,0.694735,223.253,415.445,0.52976,281.765,248.317,0.689151,270.606,338.878,0.836098,271.94,437.705,0.769169,244.145,84.1264,0.883926,260.855,84.0527,0.963936,234.403,93.748,0.804641,272.021,89.6208,0.821132,267.817,457.177,0.680482,278.962,453.058,0.742976,269.245,441.935,0.546417,217.695,439.067,0.507132,209.385,434.925,0.458742,227.433,419.639,0.427297
0,252.492,93.7746,0.934353,258.11,130.039,0.850643,219.1,135.546,0.802298,199.606,187.063,0.82512,194.046,241.407,0.893345,294.31,128.588,0.870873,319.326,181.517,0.876987,324.906,226.051,0.854842,253.898,244.145,0.703076,227.41,241.401,0.674977,223.276,331.871,0.517633,227.383,347.169,0.768942,283.127,246.931,0.694063,271.935,338.885,0.818039,270.627,434.933,0.747469,246.916,85.4574,0.867995,260.849,84.0666,0.96028,237.207,93.7786,0.684412,272.061,86.8578,0.840442,267.837,455.808,0.674075,278.97,453.006,0.745085,266.466,440.523,0.572769,227.481,365.295,0.646679,219.127,362.562,0.621766,227.495,345.807,0.681772
0,255.329,93.7284,0.88716,260.835,128.667,0.919915,221.911,131.376,0.78355,203.758,187.093,0.833543,195.413,242.755,0.879949,295.737,128.551,0.869576,320.772,181.515,0.850907,326.285,224.64,0.843252,255.305,242.799,0.679337,227.415,241.418,0.668778,227.463,340.262,0.820742,224.645,416.827,0.721214,284.516,246.928,0.689963,271.951,340.234,0.846678,270.632,433.506,0.765926,249.701,84.1121,0.939969,262.289,84.0518,0.962997,239.936,92.4037,0.785088,273.419,88.2124,0.835761,266.465,451.654,0.671021,277.583,451.574,0.720559,265.078,440.431,0.607333,217.74,439.051,0.682596,209.374,434.919,0.622394,228.83,422.398,0.593512
0,259.442,92.3746,0.884826,262.251,128.563,0.935147,226.082,128.638,0.832956,205.155,187.06,0.873758,195.467,240.002,0.901785,299.851,127.202,0.828993,326.286,181.528,0.86901,327.63,221.882,0.848143,258.095,241.397,0.697374,228.806,241.376,0.679945,227.471,327.7,0.768441,249.734,313.778,0.330551,284.56,244.165,0.682172,272.054,340.206,0.857265,270.624,433.514,0.750557,251.065,84.0571,0.97662,263.698,83.9917,0.940645,240.068,92.3822,0.700719,276.18,86.8175,0.801509,266.464,454.403,0.66852,277.602,451.669,0.734956,265.078,439.143,0.593074,253.894,330.5,0.0815027,0.0,0.0,0.0,255.294,306.818,0.110054
0,260.864,90.9812,0.904409,263.708,127.181,0.888022,228.836,127.192,0.870767,205.224,185.671,0.88612,198.229,239.97,0.85989,304.012,125.784,0.81901,326.341,178.703,0.830688,327.694,221.904,0.859241,260.87,241.36,0.747278,230.238,240.008,0.677459,227.398,330.52,0.751282,223.255,411.264,0.668186,285.988,242.78,0.673465,272.071,338.872,0.866268,271.941,432.143,0.785093,251.195,83.984,0.94674,267.831,82.6634,0.901541,244.145,89.6176,0.623329,280.351,84.1088,0.844038,265.027,451.689,0.730158,276.185,451.622,0.771026,267.834,440.439,0.603926,219.143,439.031,0.702821,212.14,432.169,0.63806,227.413,416.773,0.532077
