,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,283.078,81.2368,0.815664,316.543,110.496,0.503838,305.461,117.482,0.24714,0.0,0.0,0.0,0.0,0.0,0.0,317.967,102.116,0.795074,329.091,163.435,0.864749,295.636,228.874,0.861244,350.0,233.028,0.45506,361.1,231.645,0.331941,340.279,359.69,0.729183,368.079,461.405,0.742994,341.645,234.405,0.397161,294.23,354.18,0.788087,283.153,479.464,0.76572,0.0,0.0,0.0,284.588,70.0832,0.795587,0.0,0.0,0.0,305.42,71.4954,0.847229,234.401,485.062,0.608149,242.774,489.224,0.598111,292.856,489.219,0.676117,324.903,469.718,0.518289,329.107,465.54,0.465149,375.071,472.463,0.659522
0,281.712,82.6221,0.871799,313.783,110.513,0.505657,305.406,117.435,0.267554,0.0,0.0,0.0,0.0,0.0,0.0,317.92,100.767,0.789526,329.157,163.435,0.854422,295.642,228.919,0.854677,349.989,227.44,0.476438,359.721,226.08,0.358428,345.805,351.397,0.770501,372.191,462.775,0.775017,343.043,227.438,0.409104,294.273,351.379,0.825343,272.01,480.84,0.742668,0.0,0.0,0.0,283.208,71.5349,0.919255,0.0,0.0,0.0,305.453,70.1255,0.837053,226.045,483.653,0.490088,230.23,486.441,0.486252,280.38,492.004,0.581716,322.154,471.104,0.650761,327.706,468.316,0.550516,380.635,472.552,0.694941
0,274.816,79.8874,0.838042,309.633,109.122,0.568767,304.031,114.668,0.335636,0.0,0.0,0.0,0.0,0.0,0.0,317.907,103.501,0.800563,330.519,162.074,0.829136,294.339,231.62,0.819278,348.564,234.42,0.45803,354.16,234.415,0.308117,362.479,354.156,0.809407,373.722,461.423,0.763901,341.63,235.811,0.392805,294.265,356.94,0.765769,271.951,485.016,0.70477,0.0,0.0,0.0,283.079,71.4651,0.896001,0.0,0.0,0.0,304.03,71.4734,0.873748,224.647,482.262,0.363112,227.449,485.049,0.368438,276.171,494.812,0.469559,327.66,472.512,0.720715,329.157,471.118,0.583008,384.798,472.546,0.700863
0,274.776,81.2184,0.849472,310.987,111.912,0.529437,305.382,116.085,0.311589,0.0,0.0,0.0,0.0,0.0,0.0,316.565,103.549,0.807093,331.886,160.666,0.8301,294.285,233.044,0.823282,351.369,233.02,0.471923,362.538,230.247,0.363556,340.283,352.769,0.761197,373.631,461.395,0.774626,341.639,235.792,0.430396,295.707,354.152,0.759167,273.36,483.671,0.740058,0.0,0.0,0.0,281.753,71.4537,0.890477,0.0,0.0,0.0,302.617,71.4663,0.860173,226.086,483.675,0.368701,228.821,486.433,0.38647,278.984,494.731,0.512055,329.159,472.461,0.7762,336.042,469.712,0.628232,384.79,471.133,0.698071
0,270.626,93.7568,0.473076,306.831,111.91,0.580648,297.08,118.843,0.373284,0.0,0.0,0.0,0.0,0.0,0.0,313.775,104.88,0.794577,337.452,159.224,0.829559,294.264,231.669,0.795871,347.218,230.254,0.509119,356.949,228.864,0.341414,340.267,359.722,0.693424,377.814,461.362,0.730762,340.28,233.017,0.47058,295.689,359.682,0.792728,274.784,485.019,0.665299,0.0,0.0,0.0,270.63,82.6852,0.470945,0.0,0.0,0.0,283.168,74.346,0.649306,227.459,487.843,0.614595,231.651,493.371,0.548339,283.198,494.818,0.454601,336.055,471.107,0.723465,340.236,466.962,0.632345,387.57,471.08,0.712716
0,270.602,82.6789,0.110801,299.848,116.083,0.495985,287.323,128.63,0.306811,0.0,0.0,0.0,0.0,0.0,0.0,306.858,103.5,0.793302,338.769,157.839,0.825601,294.281,230.285,0.82362,345.809,230.227,0.49816,354.161,228.827,0.330309,348.546,355.546,0.670784,383.38,461.353,0.802161,340.255,231.64,0.46665,295.76,359.751,0.794114,278.953,483.691,0.725281,0.0,0.0,0.0,272.043,71.5467,0.57672,0.0,0.0,0.0,295.75,68.7205,0.738185,228.843,490.631,0.601261,237.187,494.769,0.55058,285.91,493.362,0.614767,340.203,471.122,0.656003,344.436,468.328,0.52823,393.147,471.079,0.694686
0,263.662,82.6305,0.793757,305.416,116.021,0.520063,294.307,128.612,0.253045,0.0,0.0,0.0,0.0,0.0,0.0,306.867,100.767,0.780579,338.828,157.84,0.84251,294.281,227.472,0.856369,343.035,231.638,0.479127,354.145,228.833,0.323229,363.937,351.366,0.780455,386.179,461.32,0.740744,337.461,235.821,0.447003,297.08,363.892,0.791966,280.385,485.043,0.682641,0.0,0.0,0.0,271.979,70.1049,0.803074,0.0,0.0,0.0,295.7,70.1399,0.780115,230.251,496.103,0.580849,239.948,496.271,0.535293,285.94,494.772,0.483376,340.267,471.086,0.658479,347.175,466.96,0.526017,395.969,471.115,0.684096
0,263.653,82.5689,0.848343,305.397,109.083,0.507157,295.716,116.041,0.346939,0.0,0.0,0.0,0.0,0.0,0.0,308.196,102.149,0.762445,338.804,159.194,0.842494,292.914,227.477,0.845472,338.831,233.035,0.42493,341.639,234.41,0.269695,344.408,361.168,0.781956,386.202,461.319,0.756228,336.053,233.041,0.400274,298.451,363.889,0.763134,281.75,487.823,0.623868,0.0,0.0,0.0,270.609,71.4599,0.889079,0.0,0.0,0.0,294.322,70.1172,0.824211,233.04,494.816,0.481256,239.953,496.242,0.449111,290.105,496.17,0.393411,343.027,472.548,0.715991,348.602,471.131,0.603841,397.298,466.941,0.656725
0,262.28,77.0985,0.844984,299.839,107.696,0.607355,291.503,114.689,0.459357,285.94,184.291,0.0762715,273.454,227.478,0.138246,306.845,100.732,0.757947,337.477,156.443,0.813662,291.531,227.429,0.808613,337.469,230.231,0.449269,347.178,228.85,0.298911,327.725,354.163,0.660599,393.147,459.933,0.71787,331.894,230.255,0.425843,295.716,361.081,0.816637,284.518,485.023,0.738393,0.0,0.0,0.0,270.582,64.5566,0.81285,0.0,0.0,0.0,292.916,65.9637,0.738851,237.221,494.737,0.669513,242.796,496.201,0.605488,295.634,494.788,0.602535,348.604,472.511,0.739992,351.388,471.102,0.632487,404.244,465.535,0.610363
0,262.25,75.7224,0.822249,295.698,114.693,0.702595,284.603,127.212,0.505316,276.222,195.464,0.423411,260.891,240.013,0.790153,305.444,100.746,0.75765,336.049,153.669,0.7899,291.48,226.021,0.782134,333.28,228.842,0.418973,334.669,230.242,0.261107,347.196,358.359,0.720792,394.538,455.831,0.738102,333.295,227.451,0.401675,297.063,365.305,0.739234,288.72,483.646,0.67167,0.0,0.0,0.0,269.214,63.2002,0.806204,0.0,0.0,0.0,291.522,64.5766,0.735343,238.639,494.782,0.644229,248.323,496.237,0.571592,301.252,493.369,0.557888,350.003,472.559,0.776922,352.763,472.443,0.650238,407.029,464.187,0.660915
