,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,0.0,0.0,0.0,238.616,121.638,0.863642,283.093,125.825,0.789941,313.764,194.047,0.877192,330.502,251.114,0.897726,195.384,118.867,0.830503,163.409,184.363,0.846116,150.853,238.565,0.828089,231.631,228.835,0.562179,266.423,224.668,0.506702,265.073,349.963,0.638797,262.227,475.318,0.495791,198.214,230.228,0.51285,207.941,352.789,0.792755,206.63,448.864,0.774964,0.0,0.0,0.0,0.0,0.0,0.0,262.247,82.6509,0.619898,227.439,81.2117,0.630372,0.0,0.0,0.0,0.0,0.0,0.0,209.351,460.006,0.762464,258.071,496.257,0.226108,255.293,496.159,0.243199,262.293,485.017,0.379922
0,0.0,0.0,0.0,238.555,124.395,0.84762,281.721,127.186,0.795274,311.002,195.468,0.862881,329.041,252.518,0.909487,194.087,120.23,0.814429,162.046,184.321,0.882193,149.486,238.554,0.841978,231.624,228.87,0.556608,266.431,226.043,0.503349,265.057,345.816,0.613169,260.929,475.332,0.473832,198.21,230.251,0.507798,207.952,351.444,0.808072,206.63,448.861,0.771108,0.0,0.0,0.0,0.0,0.0,0.0,260.916,84.0291,0.640381,227.401,82.5978,0.638881,0.0,0.0,0.0,0.0,0.0,0.0,209.348,461.312,0.759924,255.303,497.57,0.218302,252.55,496.165,0.240094,262.306,485.021,0.359882
0,0.0,0.0,0.0,237.229,125.782,0.853143,278.982,127.217,0.786471,306.871,195.411,0.926636,324.943,252.505,0.840808,194.065,121.652,0.79475,160.613,185.708,0.838358,149.465,234.42,0.806764,228.909,231.64,0.565005,262.322,227.474,0.51922,265.034,352.753,0.644823,262.227,478.091,0.605599,196.823,233.021,0.516003,209.337,354.15,0.785689,207.949,451.605,0.794207,0.0,0.0,0.0,0.0,0.0,0.0,260.811,84.0805,0.633223,226.04,82.6552,0.600657,202.393,443.265,0.490507,196.815,448.827,0.62406,210.729,462.73,0.813907,252.534,493.395,0.254627,260.893,493.379,0.252625,262.26,489.22,0.524392
0,0.0,0.0,0.0,235.807,127.131,0.839282,274.834,127.248,0.800466,305.457,195.481,0.917871,317.941,251.125,0.928229,194.007,124.416,0.79065,159.219,187.094,0.81728,148.076,231.652,0.804179,230.273,233.026,0.542443,265.067,228.839,0.492422,263.7,355.535,0.666083,262.203,478.08,0.607777,198.202,234.413,0.500329,209.355,356.96,0.760251,208.015,451.641,0.787387,0.0,0.0,0.0,0.0,0.0,0.0,259.439,85.4237,0.615839,224.656,84.0088,0.623922,199.637,443.276,0.473883,195.494,448.853,0.615142,212.115,462.757,0.789884,253.889,494.794,0.236746,262.26,494.766,0.250526,260.9,489.216,0.528236
0,0.0,0.0,0.0,233.033,127.201,0.850791,273.474,128.548,0.82613,304.039,201.012,0.827795,313.789,251.154,0.854097,192.655,127.141,0.80582,157.803,185.718,0.808232,146.666,235.828,0.786203,230.231,235.815,0.546834,263.673,231.633,0.509797,263.678,352.8,0.695256,262.219,472.522,0.612679,196.853,237.185,0.50174,210.737,356.927,0.744527,209.356,451.606,0.772062,0.0,0.0,0.0,0.0,0.0,0.0,256.714,85.415,0.605172,220.529,84.0706,0.586129,201.021,444.683,0.467878,196.826,450.212,0.615299,212.154,462.721,0.762158,253.939,497.625,0.224207,260.877,496.224,0.238745,262.252,482.269,0.506137
0,0.0,0.0,0.0,230.27,127.186,0.874978,273.406,128.562,0.832109,298.46,201.005,0.80399,305.48,251.137,0.850916,191.273,127.147,0.799595,155.03,185.681,0.817603,146.689,233.037,0.765898,228.902,235.808,0.559031,262.309,230.261,0.536464,262.259,352.773,0.716239,260.89,469.729,0.497636,196.832,237.201,0.519552,210.767,352.806,0.75764,208.015,451.584,0.770949,0.0,0.0,0.0,0.0,0.0,0.0,253.895,85.484,0.577541,217.759,85.4334,0.619846,200.992,448.823,0.437411,196.803,451.596,0.604581,212.154,461.402,0.769496,258.097,497.621,0.164231,256.689,496.202,0.165513,263.638,478.087,0.412588
0,0.0,0.0,0.0,228.899,127.199,0.899422,272.031,128.602,0.82633,295.695,199.625,0.872526,301.248,251.151,0.798828,189.855,127.141,0.792903,152.32,185.675,0.825585,148.11,231.655,0.792343,228.847,234.409,0.578848,262.257,231.629,0.548118,262.264,344.427,0.656232,260.865,473.879,0.476461,195.494,234.426,0.524196,210.77,352.746,0.788669,207.959,451.583,0.783399,0.0,0.0,0.0,0.0,0.0,0.0,251.137,85.4739,0.581159,217.657,84.0988,0.603484,202.391,450.249,0.426229,196.823,451.671,0.574364,210.75,461.393,0.759183,262.246,497.646,0.255812,259.458,496.214,0.278367,262.248,478.078,0.351901
0,0.0,0.0,0.0,228.834,127.228,0.913135,270.639,128.595,0.822917,294.274,196.848,0.890662,295.706,246.962,0.789464,188.45,127.179,0.801724,152.285,184.361,0.840208,149.526,238.582,0.830141,228.812,235.801,0.577742,262.215,231.649,0.552872,262.323,340.289,0.724624,273.443,299.845,0.0653073,195.464,237.198,0.524899,209.353,354.155,0.756946,207.953,451.593,0.783028,0.0,0.0,0.0,0.0,0.0,0.0,249.784,85.4868,0.583981,216.303,84.1008,0.631022,198.243,453.007,0.467267,196.812,455.792,0.594249,210.771,461.409,0.757665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,227.45,127.268,0.912401,267.844,128.61,0.787386,290.11,195.455,0.848482,294.235,244.145,0.729649,185.68,127.213,0.822634,152.291,184.364,0.843031,152.275,235.829,0.796495,227.474,231.652,0.585126,260.825,228.859,0.559702,262.336,340.272,0.684063,260.901,468.333,0.455038,195.441,235.806,0.520392,208.019,358.326,0.757761,207.954,451.63,0.795623,0.0,0.0,0.0,0.0,0.0,0.0,249.687,88.2196,0.594203,214.938,85.4153,0.577149,199.634,451.626,0.474437,196.803,454.4,0.61816,210.762,462.724,0.797491,259.468,496.129,0.147476,263.649,491.989,0.163956,262.233,476.692,0.349555
0,0.0,0.0,0.0,226.075,128.538,0.892989,265.04,128.575,0.800274,285.978,195.481,0.863659,294.224,241.427,0.733854,184.301,127.238,0.842859,152.289,184.364,0.843882,156.434,238.524,0.783264,227.471,231.647,0.590867,260.875,228.867,0.573224,260.87,345.821,0.654995,260.906,464.193,0.683385,195.421,235.797,0.532748,207.988,355.576,0.757184,207.943,451.648,0.798103,0.0,0.0,0.0,0.0,0.0,0.0,248.299,86.8386,0.60522,213.534,84.1027,0.57297,200.99,451.65,0.46063,196.801,454.421,0.606568,210.738,462.741,0.803202,267.823,494.787,0.499377,262.31,493.391,0.480502,260.874,472.534,0.443018
