,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,227.413,92.3877,0.906511,185.692,127.222,0.781602,166.197,117.494,0.740716,128.592,163.42,0.86741,95.2403,227.428,0.886645,206.619,136.963,0.722133,0.0,0.0,0.0,0.0,0.0,0.0,150.858,244.164,0.489418,141.131,242.787,0.455031,184.277,349.916,0.834047,160.669,462.742,0.754226,160.626,246.951,0.365685,149.409,355.543,0.735571,135.583,457.21,0.71248,217.721,82.6491,0.957404,226.046,82.6768,0.153336,194.01,84.0043,0.814084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.179,465.583,0.745102,206.558,494.773,0.659653,191.243,496.112,0.582549,149.513,471.112,0.5576
0,227.405,93.8302,0.930882,184.309,127.22,0.765381,167.562,117.501,0.72505,127.206,161.976,0.888727,90.9854,226.08,0.827633,205.214,136.928,0.672136,0.0,0.0,0.0,0.0,0.0,0.0,149.481,248.313,0.521266,138.338,242.787,0.480804,181.48,351.385,0.786923,182.871,465.56,0.708854,160.614,251.098,0.411891,139.778,356.97,0.772516,128.611,454.426,0.740146,219.105,84.0239,0.924985,225.999,84.0662,0.0870716,194.049,84.1068,0.826784,0.0,0.0,0.0,162.089,472.487,0.365386,160.57,464.173,0.31154,117.509,468.324,0.611533,228.851,485.092,0.604579,216.324,489.232,0.542368,173.142,475.276,0.719912
0,226.081,93.7851,0.930205,184.242,128.572,0.787596,166.171,117.473,0.731668,124.43,162.068,0.822584,85.4428,227.444,0.861666,203.756,138.348,0.646786,175.951,205.16,0.520615,195.388,251.113,0.775424,145.283,251.102,0.515109,132.788,249.703,0.509618,198.244,345.823,0.770392,206.529,465.574,0.71364,156.432,252.536,0.416309,138.348,361.129,0.773786,123.039,461.347,0.762127,217.762,83.9855,0.958075,224.66,84.038,0.0562747,194.055,84.0043,0.871695,0.0,0.0,0.0,163.42,476.729,0.700319,160.581,473.884,0.65739,111.888,469.702,0.698652,249.758,473.892,0.635422,241.366,478.086,0.560991,195.405,476.696,0.60509
0,227.395,93.7431,0.931651,184.276,127.26,0.788654,166.193,117.419,0.754016,124.437,160.678,0.837916,82.6834,226.041,0.861122,205.159,138.372,0.706396,0.0,0.0,0.0,0.0,0.0,0.0,141.147,241.388,0.459472,134.185,239.991,0.429003,184.35,349.943,0.812514,226.021,462.732,0.717697,150.874,246.921,0.324369,138.307,351.389,0.715974,115.996,461.402,0.764067,217.731,82.6805,0.965858,226.033,84.0856,0.159526,192.666,85.4854,0.845255,0.0,0.0,0.0,162.006,479.466,0.631535,156.447,473.956,0.592155,103.529,472.534,0.68779,271.96,459.954,0.613101,262.279,464.19,0.610722,217.724,475.314,0.594988
0,227.398,93.7842,0.94818,184.246,131.389,0.788947,164.823,117.49,0.744202,117.453,170.328,0.867138,81.2786,227.412,0.876233,203.752,145.285,0.648383,173.142,205.189,0.620086,198.237,248.344,0.797398,141.116,251.143,0.545326,128.638,249.712,0.521099,184.262,347.217,0.429981,227.437,453.022,0.185572,152.282,256.674,0.455989,125.81,362.478,0.812178,107.713,461.347,0.768956,217.706,83.9839,0.965632,226.015,84.138,0.0950831,192.668,85.4428,0.862359,0.0,0.0,0.0,150.843,476.674,0.770161,148.071,472.546,0.708442,95.2478,469.725,0.730826,248.312,440.524,0.082456,244.188,448.865,0.0875508,227.434,468.325,0.108141
0,226.039,93.7964,0.928254,182.935,128.659,0.814469,164.819,118.842,0.730794,116.118,171.697,0.901898,81.2268,227.465,0.869159,202.382,139.725,0.717664,173.201,195.472,0.541173,194.102,238.63,0.871006,139.753,251.11,0.56387,128.585,249.695,0.54866,184.331,352.808,0.803659,228.898,453.055,0.735747,152.264,253.913,0.460043,118.89,362.464,0.808044,104.852,459.984,0.76256,216.357,84.0451,0.970639,221.9,85.433,0.100997,192.618,88.2195,0.844533,0.0,0.0,0.0,142.531,476.701,0.606215,138.341,473.896,0.562875,92.4075,469.72,0.72562,272.03,450.258,0.530887,263.646,459.94,0.546309,227.461,469.75,0.640475
0,226.059,93.8041,0.942947,184.252,128.655,0.778015,170.345,118.835,0.749397,117.522,166.215,0.79601,79.8475,228.849,0.847096,202.357,139.722,0.667454,170.382,203.78,0.30166,198.219,240.035,0.527103,139.743,251.106,0.570589,128.605,248.328,0.537785,182.84,359.723,0.759744,233.02,455.789,0.703905,150.9,253.93,0.470635,117.429,359.709,0.818399,96.5771,455.813,0.72693,217.676,84.0647,0.957634,224.633,85.4729,0.0511787,191.241,90.9821,0.835515,0.0,0.0,0.0,139.741,478.069,0.714947,135.57,473.906,0.646781,85.4212,464.19,0.715202,277.591,448.863,0.669882,270.634,455.792,0.621255,230.226,472.476,0.641612
0,224.634,93.8363,0.912795,182.945,131.381,0.781734,168.973,120.258,0.722827,117.468,170.367,0.834256,79.8334,228.868,0.832189,199.587,139.791,0.674527,170.332,194.077,0.443568,194.082,226.077,0.777903,138.327,251.109,0.579609,127.24,248.338,0.563974,184.36,361.069,0.795896,235.781,457.207,0.67719,149.453,253.921,0.464365,114.68,358.364,0.807058,92.3721,457.221,0.719783,216.297,84.1247,0.934761,221.91,86.8365,0.190842,189.852,92.3663,0.830318,0.0,0.0,0.0,136.921,478.068,0.737765,131.378,472.546,0.655366,79.8743,466.962,0.717705,273.379,451.663,0.526518,263.656,461.366,0.547201,230.217,472.547,0.617115
0,221.893,93.8346,0.901148,182.885,129.974,0.805121,166.171,120.244,0.719064,117.51,171.749,0.858765,82.6344,230.217,0.863785,198.208,138.385,0.720956,180.104,192.657,0.536335,205.193,230.276,0.864948,138.355,251.154,0.597425,128.603,249.721,0.598076,184.282,352.783,0.805226,230.25,461.384,0.745882,149.47,256.678,0.477674,113.293,352.796,0.794322,85.4133,453.061,0.702073,214.943,84.1251,0.91118,220.465,85.4808,0.16585,191.22,92.3619,0.837392,0.0,0.0,0.0,130.013,473.957,0.695112,127.196,472.497,0.611046,72.8998,464.159,0.699914,281.719,450.225,0.718436,273.423,455.813,0.613196,227.468,475.275,0.644631
0,219.102,95.1932,0.89843,181.529,131.409,0.732964,168.949,120.271,0.712285,123.016,170.394,0.786054,88.2313,230.237,0.831921,194.061,141.122,0.600469,173.187,200.985,0.6346,207.998,237.222,0.85918,141.113,253.924,0.605339,132.769,251.149,0.583996,177.356,362.541,0.678394,227.405,464.161,0.704644,150.855,259.449,0.525107,107.744,351.429,0.815804,79.8831,454.442,0.72339,214.929,86.8638,0.815561,0.0,0.0,0.0,191.22,89.6284,0.736551,0.0,0.0,0.0,121.623,472.555,0.746347,117.416,469.742,0.668461,68.7165,462.828,0.741355,263.643,453.015,0.492497,256.703,461.376,0.483068,224.685,480.882,0.575394
