,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,227.463,92.3445,0.893955,187.077,127.243,0.754265,171.809,116.086,0.777228,129.981,160.635,0.861021,95.2057,226.034,0.858435,205.197,138.384,0.654983,175.938,201.003,0.353438,193.969,246.916,0.677161,143.922,246.95,0.466966,134.153,244.175,0.472412,174.531,316.581,0.310767,180.125,341.647,0.0630672,155.065,249.696,0.390932,149.432,351.347,0.611642,134.157,462.791,0.581884,217.743,82.6274,0.935188,226.074,82.629,0.138469,194.083,85.4169,0.889802,0.0,0.0,0.0,181.481,491.982,0.478705,182.87,483.683,0.453961,118.855,473.9,0.50732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,227.406,92.3564,0.881206,184.347,128.562,0.774103,170.386,116.115,0.755651,127.225,160.676,0.879899,92.349,226.03,0.819223,205.144,139.752,0.660478,174.558,205.166,0.335229,194.029,249.759,0.627971,142.512,246.941,0.495846,131.408,245.546,0.50581,174.542,317.962,0.36826,184.251,348.558,0.110415,153.678,248.336,0.40215,139.754,352.801,0.576331,128.59,461.404,0.718066,217.712,82.6392,0.948559,0.0,0.0,0.0,194.035,85.4097,0.881766,0.0,0.0,0.0,170.376,483.642,0.534356,171.763,475.318,0.490095,116.069,472.518,0.632433,195.371,351.359,0.0883308,187.074,358.345,0.0730516,185.688,349.95,0.0947963
0,226.047,92.3837,0.885524,184.266,128.573,0.804392,168.996,117.415,0.748273,125.8,161.962,0.855542,85.4223,226.045,0.847661,203.741,139.745,0.651678,174.527,203.795,0.432448,192.635,249.761,0.705221,142.505,244.147,0.487582,131.391,241.398,0.495759,173.168,319.359,0.38028,182.832,349.969,0.417183,153.668,246.927,0.399308,138.285,352.807,0.646635,121.626,461.402,0.717654,217.655,82.6837,0.966262,223.268,83.9609,0.0988898,193.98,85.4458,0.854589,0.0,0.0,0.0,163.413,479.453,0.688575,162.026,473.858,0.676021,107.718,472.48,0.645241,185.702,395.955,0.207626,191.23,394.532,0.190458,184.324,351.339,0.419436
0,226.027,92.416,0.892398,182.915,128.582,0.793718,167.589,117.43,0.740902,121.651,161.976,0.817719,82.6723,226.014,0.855233,200.989,139.746,0.634665,173.156,199.598,0.402584,188.457,244.186,0.639202,138.382,242.792,0.517061,128.632,241.39,0.528439,173.207,327.708,0.349175,184.278,363.925,0.412267,149.514,246.937,0.409814,136.956,351.329,0.700671,116.098,461.382,0.764975,216.354,82.7072,0.963569,221.902,83.988,0.11734,192.657,85.4693,0.844184,0.0,0.0,0.0,159.221,479.482,0.711536,157.836,473.872,0.678843,104.872,472.497,0.691912,188.482,404.283,0.228999,194.02,401.479,0.234027,185.696,366.705,0.37196
0,224.691,93.7384,0.898935,182.875,128.612,0.79237,166.193,117.466,0.743522,118.882,162.061,0.79831,81.2531,224.688,0.831015,199.607,139.737,0.637702,171.771,198.216,0.347902,188.492,240.001,0.627668,138.333,245.544,0.527191,128.568,242.768,0.53934,173.143,322.138,0.407547,184.36,361.128,0.39736,149.465,248.326,0.417073,128.652,351.372,0.728884,107.765,461.367,0.715089,216.332,84.0036,0.968957,221.892,84.0615,0.127228,192.619,85.49,0.828021,0.0,0.0,0.0,150.859,479.469,0.697587,149.488,473.863,0.690907,95.1889,472.471,0.658164,195.428,395.923,0.289661,198.22,394.509,0.266696,188.462,362.527,0.325175
0,224.663,93.7421,0.89308,182.887,128.637,0.754892,168.974,117.49,0.734781,118.88,162.059,0.786793,78.4694,226.087,0.831289,198.204,139.76,0.583823,164.789,199.606,0.320736,185.726,238.561,0.669757,135.561,248.304,0.511993,125.827,245.544,0.532545,175.922,327.726,0.386404,184.316,355.565,0.476909,146.703,249.718,0.409293,127.156,352.815,0.767271,103.556,461.386,0.770134,216.316,84.0163,0.969647,221.856,84.0745,0.130666,191.274,86.8279,0.821208,0.0,0.0,0.0,143.929,476.713,0.727127,139.785,472.532,0.714396,91.013,472.463,0.717243,195.474,394.506,0.197963,202.392,393.111,0.17651,188.462,358.328,0.388148
0,224.679,93.7932,0.910395,182.876,128.665,0.756488,168.951,118.847,0.717713,120.226,162.072,0.775961,77.1078,227.474,0.842288,196.852,139.738,0.616378,170.36,195.444,0.331383,192.602,230.259,0.642003,136.947,248.331,0.522886,127.175,245.551,0.544016,174.552,329.106,0.468818,188.451,362.543,0.583319,148.103,249.763,0.412058,123.022,351.406,0.74161,96.5734,459.983,0.727442,216.335,84.0532,0.961829,221.884,84.1355,0.104181,191.249,88.2105,0.809334,0.0,0.0,0.0,139.769,476.724,0.755137,138.319,473.86,0.728465,82.7039,469.723,0.693911,198.198,395.968,0.478542,203.772,394.574,0.447698,194.016,363.926,0.469666
0,224.641,93.8448,0.908769,181.498,128.63,0.734014,167.581,118.903,0.70256,120.25,163.44,0.777461,79.8326,228.857,0.837644,195.416,138.342,0.594173,168.971,194.069,0.326213,194.015,228.836,0.746494,136.912,248.347,0.539551,127.192,246.949,0.557962,173.146,326.323,0.478562,182.956,352.765,0.501727,146.699,249.747,0.423931,118.86,351.417,0.766604,91.0006,459.964,0.713339,216.326,84.1159,0.939024,223.24,85.4545,0.107096,191.253,89.625,0.812369,0.0,0.0,0.0,131.382,475.341,0.715332,128.614,472.493,0.703911,75.7031,466.962,0.641942,195.482,376.455,0.247684,194.049,377.816,0.231133,189.848,352.805,0.358761
0,223.257,93.8298,0.886985,180.099,128.605,0.703215,167.589,120.261,0.708037,121.629,166.181,0.748607,82.6483,228.911,0.871933,193.995,136.939,0.546547,164.799,196.82,0.287072,195.463,227.477,0.705226,136.935,251.122,0.537756,128.59,249.763,0.56558,174.539,330.517,0.454517,182.954,352.801,0.40667,146.67,252.521,0.404246,116.043,352.775,0.795638,84.0888,457.184,0.716887,216.293,84.1119,0.930749,220.474,85.409,0.103694,191.252,90.9765,0.824667,0.0,0.0,0.0,128.59,476.684,0.734335,127.165,472.528,0.705967,71.5183,465.553,0.688692,193.976,372.245,0.163873,0.0,0.0,0.0,187.067,354.184,0.280906
0,220.514,93.8376,0.881127,178.738,128.621,0.717813,167.578,120.231,0.714188,124.419,168.946,0.759824,86.8374,231.637,0.813681,192.615,138.31,0.564179,166.181,196.848,0.456997,203.762,228.846,0.795907,136.946,251.143,0.543671,130.027,251.12,0.555377,175.919,336.078,0.506759,184.311,361.148,0.408036,143.91,252.511,0.37184,114.666,351.433,0.782731,81.2082,455.819,0.697171,216.257,85.4145,0.912093,219.089,85.4054,0.0996677,189.881,89.6285,0.813782,0.0,0.0,0.0,120.26,475.336,0.685366,117.484,472.488,0.672161,65.9136,464.195,0.659003,194.05,394.555,0.225734,198.219,393.146,0.196375,187.08,362.482,0.308943
