,Nose_x,Nose_y,Nose_likelihood,Neck_x,Neck_y,Neck_likelihood,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_likelihood,Right_Elbow_x,Right_Elbow_y,Right_Elbow_likelihood,Right_Wrist_x,Right_Wrist_y,Right_Wrist_likelihood,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_likelihood,Left_Elbow_x,Left_Elbow_y,Left_Elbow_likelihood,Left_Wrist_x,Left_Wrist_y,Left_Wrist_likelihood,MidHip_x,MidHip_y,MidHip_likelihood,Right_Hip_x,Right_Hip_y,Right_Hip_likelihood,Right_Knee_x,Right_Knee_y,Right_Knee_likelihood,Right_Ankle_x,Right_Ankle_y,Right_Ankle_likelihood,Left_Hip_x,Left_Hip_y,Left_Hip_likelihood,Left_Knee_x,Left_Knee_y,Left_Knee_likelihood,Left_Ankle_x,Left_Ankle_y,Left_Ankle_likelihood,Right_Eye_x,Right_Eye_y,Right_Eye_likelihood,Left_Eye_x,Left_Eye_y,Left_Eye_likelihood,Right_Ear_x,Right_Ear_y,Right_Ear_likelihood,Left_Ear_x,Left_Ear_y,Left_Ear_likelihood,Left_BigToe_x,Left_BigToe_y,Left_BigToe_likelihood,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_likelihood,Left_Heel_x,Left_Heel_y,Left_Heel_likelihood,Right_BigToe_x,Right_BigToe_y,Right_BigToe_likelihood,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_likelihood,Right_Heel_x,Right_Heel_y,Right_Heel_likelihood
0,601.904,143.497,0.89138,603.991,194.407,0.916441,558.868,194.48,0.856614,539.149,270.894,0.859105,519.637,337.54,0.836797,650.925,190.553,0.855486,680.358,257.068,0.908119,697.908,310.049,0.873795,602.012,331.587,0.772192,570.532,325.717,0.73895,558.903,429.549,0.58048,556.867,543.168,0.3386,635.226,335.441,0.750792,619.612,447.188,0.886711,613.667,552.977,0.791336,588.327,133.741,0.940322,607.86,131.849,0.903558,578.454,147.378,0.839461,623.482,139.581,0.834181,609.784,576.489,0.774373,623.477,574.516,0.806372,603.978,556.965,0.721304,564.703,570.555,0.160424,547.12,566.658,0.138938,564.751,551.028,0.208904
0,601.904,143.498,0.891439,603.99,194.408,0.9167,558.867,194.48,0.856346,537.338,272.73,0.860086,519.64,337.539,0.83671,650.923,190.554,0.85567,680.358,257.067,0.907638,697.906,310.046,0.873487,602.011,331.586,0.772191,570.532,325.717,0.739088,558.898,429.545,0.578653,556.855,543.174,0.335279,635.226,335.44,0.750652,619.612,447.189,0.886337,613.666,552.977,0.791296,588.327,133.741,0.940451,607.86,131.85,0.903456,578.454,147.379,0.839552,623.482,139.58,0.834287,609.785,576.488,0.774373,623.476,574.516,0.806497,603.978,556.965,0.721383,564.703,570.559,0.158698,547.116,566.67,0.137186,564.745,551.036,0.20687
0,601.903,143.499,0.891519,603.987,194.409,0.917364,558.861,194.481,0.856663,537.342,272.738,0.864149,519.642,337.539,0.836978,650.923,190.555,0.855523,680.358,257.067,0.907635,697.906,310.045,0.873441,602.011,331.585,0.771496,570.536,325.717,0.739165,558.901,429.534,0.575361,556.851,543.169,0.332815,635.223,335.438,0.750116,619.617,447.206,0.88343,613.667,552.976,0.791695,588.326,133.742,0.940476,607.86,131.85,0.90345,578.453,147.378,0.839508,623.483,139.579,0.834406,609.785,576.489,0.774713,623.477,574.517,0.8067,603.976,556.963,0.721907,564.705,570.553,0.157447,547.114,566.664,0.136025,564.742,551.031,0.205755
0,601.903,143.499,0.891374,603.985,194.403,0.916991,558.861,194.473,0.856593,539.151,272.73,0.865703,519.638,337.541,0.834869,650.922,190.552,0.855265,680.359,257.064,0.908427,697.908,310.039,0.875201,602.007,331.56,0.765719,570.53,325.696,0.738265,558.899,429.568,0.588192,556.849,543.204,0.323851,635.224,333.565,0.746226,619.619,447.197,0.885803,613.666,552.977,0.792848,588.326,133.742,0.940601,607.86,131.85,0.903479,578.451,147.377,0.839618,623.481,139.579,0.834373,609.787,576.486,0.773351,623.477,574.515,0.806286,603.978,556.961,0.723629,564.71,570.589,0.153859,549.047,568.617,0.132247,564.743,552.984,0.202345
0,601.932,145.417,0.902235,603.991,194.421,0.917881,558.881,194.474,0.858375,539.163,270.88,0.863466,519.698,337.53,0.843678,650.892,192.459,0.866582,680.364,257.112,0.915945,697.87,310.055,0.878302,602.019,329.6,0.758765,570.553,323.783,0.749232,556.93,415.861,0.777758,570.53,429.518,0.722848,635.213,333.502,0.742538,619.602,447.195,0.878433,613.719,553.003,0.800151,590.17,133.793,0.921975,609.773,133.692,0.896952,578.452,147.38,0.847844,623.476,141.538,0.828186,611.733,576.515,0.754611,623.513,574.518,0.789771,605.88,556.96,0.691974,566.714,462.91,0.499634,556.898,460.891,0.518725,574.531,425.639,0.501242
0,601.932,145.486,0.914426,605.834,194.513,0.911229,560.787,196.355,0.844059,539.213,272.764,0.886136,519.672,337.552,0.841066,650.919,194.377,0.88031,680.313,257.112,0.911246,697.891,312.027,0.867152,602.033,331.613,0.778079,570.525,327.652,0.734288,558.851,413.913,0.6396,568.677,435.426,0.733333,635.266,335.451,0.760594,619.647,447.19,0.877435,615.612,552.922,0.803017,590.179,135.656,0.910992,609.773,133.76,0.888642,578.485,147.439,0.847933,621.622,143.549,0.844674,611.758,576.533,0.750551,623.549,574.528,0.781661,605.906,556.92,0.679052,570.563,468.756,0.429464,558.823,464.802,0.439875,572.585,435.402,0.60765
0,601.92,147.355,0.928705,605.834,196.335,0.909389,560.832,196.406,0.84044,539.237,272.806,0.895483,519.643,337.543,0.837762,650.907,194.421,0.891094,680.317,257.151,0.916533,696.056,313.971,0.87205,602.021,333.587,0.785376,570.515,331.553,0.733627,558.906,417.789,0.541236,570.53,433.461,0.496016,635.266,335.563,0.755661,619.674,447.231,0.849913,615.627,551.012,0.796898,588.354,135.743,0.89851,607.88,133.811,0.883304,580.387,149.309,0.844684,621.596,145.451,0.856764,613.675,574.564,0.764988,625.473,572.613,0.798181,605.92,556.875,0.674123,570.617,449.162,0.147296,0.0,0.0,0.0,572.531,439.322,0.371717
0,601.927,147.397,0.930866,604.021,196.39,0.914782,560.806,196.475,0.840874,539.222,272.824,0.885225,519.648,339.407,0.827786,650.9,194.47,0.90403,680.301,257.2,0.924597,696.037,315.938,0.87914,603.832,335.496,0.802155,570.543,333.517,0.754805,562.778,427.534,0.62154,570.553,439.328,0.656511,635.285,337.486,0.753656,621.525,447.228,0.855156,615.69,545.125,0.811017,588.35,137.667,0.885209,607.865,135.653,0.873179,580.404,149.352,0.849202,621.59,145.502,0.871204,615.664,572.604,0.782265,629.343,570.653,0.800016,605.91,554.911,0.667756,570.591,476.558,0.41516,558.858,472.659,0.382162,572.574,439.307,0.505682
0,601.913,147.441,0.942414,604.023,196.463,0.905838,560.812,198.359,0.830305,539.213,274.743,0.884367,517.699,343.314,0.806291,650.932,196.354,0.908052,680.34,259.058,0.924173,696.054,315.945,0.873088,603.892,335.54,0.798007,570.609,335.426,0.771319,568.643,439.323,0.638897,570.6,554.95,0.610767,635.322,337.513,0.747908,621.541,447.29,0.861957,617.522,545.108,0.810932,588.338,139.597,0.884383,607.843,135.721,0.861915,580.403,149.397,0.845317,621.57,147.374,0.89572,617.53,572.598,0.790496,629.398,570.62,0.798174,607.835,554.938,0.623969,568.639,576.473,0.345251,554.968,572.602,0.384029,574.558,560.816,0.445878
0,601.895,147.465,0.943932,605.833,196.488,0.896221,560.82,198.397,0.822788,539.226,274.763,0.89229,515.774,345.312,0.806737,650.896,196.382,0.90687,680.355,259.035,0.92657,696.06,317.825,0.880672,603.847,335.548,0.805792,570.55,333.582,0.762776,558.828,427.585,0.660483,570.51,447.273,0.719317,635.3,337.534,0.743601,621.582,447.269,0.843743,617.565,543.202,0.84174,588.321,139.632,0.88764,607.816,135.749,0.857434,580.41,149.412,0.837993,621.567,147.401,0.898473,617.54,572.558,0.821444,629.372,570.61,0.826213,609.777,554.835,0.632046,570.666,482.431,0.397153,560.794,478.541,0.392473,572.568,447.249,0.641641
0,601.834,147.471,0.939496,605.836,196.514,0.890603,560.832,198.416,0.81676,539.184,272.863,0.891592,513.763,345.285,0.813923,650.895,196.405,0.911463,680.369,259.033,0.931584,696.026,315.885,0.864572,603.901,337.503,0.793464,570.639,335.562,0.77492,564.724,443.223,0.584358,570.637,551.025,0.264757,635.302,341.369,0.718955,621.576,447.269,0.845545,617.615,541.311,0.848067,588.258,141.537,0.907256,605.918,135.758,0.867629,580.366,149.483,0.81248,621.563,147.463,0.908753,617.553,572.486,0.812341,631.276,570.527,0.809677,611.778,552.971,0.62356,584.296,560.832,0.113498,0.0,0.0,0.0,578.41,555.002,0.198226
