,Nose_x,Nose_y,Nose_likelihood,Neck_x,Neck_y,Neck_likelihood,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_likelihood,Right_Elbow_x,Right_Elbow_y,Right_Elbow_likelihood,Right_Wrist_x,Right_Wrist_y,Right_Wrist_likelihood,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_likelihood,Left_Elbow_x,Left_Elbow_y,Left_Elbow_likelihood,Left_Wrist_x,Left_Wrist_y,Left_Wrist_likelihood,MidHip_x,MidHip_y,MidHip_likelihood,Right_Hip_x,Right_Hip_y,Right_Hip_likelihood,Right_Knee_x,Right_Knee_y,Right_Knee_likelihood,Right_Ankle_x,Right_Ankle_y,Right_Ankle_likelihood,Left_Hip_x,Left_Hip_y,Left_Hip_likelihood,Left_Knee_x,Left_Knee_y,Left_Knee_likelihood,Left_Ankle_x,Left_Ankle_y,Left_Ankle_likelihood,Right_Eye_x,Right_Eye_y,Right_Eye_likelihood,Left_Eye_x,Left_Eye_y,Left_Eye_likelihood,Right_Ear_x,Right_Ear_y,Right_Ear_likelihood,Left_Ear_x,Left_Ear_y,Left_Ear_likelihood,Left_BigToe_x,Left_BigToe_y,Left_BigToe_likelihood,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_likelihood,Left_Heel_x,Left_Heel_y,Left_Heel_likelihood,Right_BigToe_x,Right_BigToe_y,Right_BigToe_likelihood,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_likelihood,Right_Heel_x,Right_Heel_y,Right_Heel_likelihood
0,701.866,167.085,0.859791,664.584,208.168,0.808714,652.894,208.101,0.832992,650.915,276.811,0.851749,672.444,351.235,0.838929,670.492,210.038,0.773447,672.457,276.746,0.731242,695.886,319.84,0.865115,635.322,329.606,0.668974,619.594,325.694,0.65324,605.945,439.359,0.668935,605.936,437.373,0.429454,652.906,331.612,0.647059,682.269,431.604,0.881761,697.953,543.239,0.840278,696.072,163.029,0.925574,0.0,0.0,0.0,672.494,163.118,0.856453,0.0,0.0,0.0,744.924,545.136,0.792822,741.05,541.246,0.781148,692.043,556.997,0.760911,603.918,455.037,0.38324,598.043,453.045,0.373404,611.761,433.5,0.30624
0,707.778,167.061,0.875862,664.7,208.172,0.807805,658.739,208.113,0.802756,652.969,280.666,0.806909,680.316,351.224,0.894464,672.454,210.02,0.740919,676.383,276.718,0.687798,694.023,317.909,0.848024,637.262,329.661,0.692857,621.545,323.796,0.680286,607.847,439.361,0.637722,605.868,439.309,0.417061,654.866,335.454,0.676243,682.211,433.5,0.864161,697.869,547.067,0.835847,698.05,163.021,0.920341,0.0,0.0,0.0,678.307,163.086,0.867396,0.0,0.0,0.0,742.98,551.038,0.787082,739.067,543.248,0.717618,688.16,557.006,0.707925,603.923,456.987,0.335604,598.054,456.951,0.315046,609.795,437.382,0.295533
0,711.581,166.996,0.921551,668.566,208.187,0.785942,662.709,208.124,0.835098,660.745,278.681,0.811244,686.214,351.106,0.78308,680.283,210.069,0.756738,680.394,274.82,0.720322,695.953,317.841,0.83954,645.013,325.71,0.670748,629.35,321.854,0.675447,609.8,433.518,0.625453,605.92,437.384,0.353486,660.715,329.647,0.639415,682.187,433.523,0.847595,696.054,547.109,0.842954,699.983,163.006,0.886128,711.613,161.089,0.0565707,680.219,163.132,0.884538,0.0,0.0,0.0,742.93,554.85,0.788804,737.094,547.119,0.693785,686.187,556.965,0.715258,603.838,458.912,0.338164,596.068,455.016,0.299139,607.884,439.341,0.223786
0,711.676,165.147,0.946371,668.591,206.216,0.689438,664.698,206.217,0.848947,664.721,278.693,0.826736,701.867,351.091,0.812677,678.37,206.201,0.622643,666.637,286.507,0.275963,697.973,319.746,0.799476,647.012,331.565,0.642516,633.289,325.716,0.636279,609.768,433.468,0.592887,607.831,431.472,0.276934,660.729,335.449,0.636697,682.263,435.45,0.831568,695.963,547.089,0.833962,703.846,161.14,0.855583,711.682,163.03,0.0595044,680.34,163.09,0.902587,0.0,0.0,0.0,741.03,554.913,0.792773,733.255,549.073,0.703208,682.341,556.941,0.762482,603.865,449.191,0.253123,598.01,449.138,0.22351,611.734,433.501,0.167412
0,713.569,167.016,0.931433,672.453,206.216,0.686874,666.683,206.19,0.844525,668.56,276.725,0.836333,713.539,349.174,0.862497,680.294,208.091,0.638736,678.338,280.679,0.166189,707.702,319.744,0.429571,647.01,321.791,0.693836,633.251,319.816,0.680725,613.667,431.578,0.660129,607.863,431.502,0.483416,660.731,323.803,0.644333,682.347,431.564,0.869331,695.887,547.078,0.826973,709.639,161.167,0.884355,0.0,0.0,0.0,682.25,163.057,0.909368,0.0,0.0,0.0,737.161,554.975,0.827081,731.285,551.013,0.748045,682.252,556.927,0.807178,603.926,453.062,0.396018,599.945,449.194,0.381918,613.702,431.488,0.32741
0,713.699,167.018,0.917174,676.375,204.261,0.660111,670.551,204.244,0.800688,678.362,280.637,0.787314,719.474,345.315,0.818509,680.323,204.275,0.599291,0.0,0.0,0.0,0.0,0.0,0.0,648.904,321.796,0.674492,633.338,319.854,0.662977,611.716,433.496,0.685314,609.778,423.661,0.178575,662.65,323.762,0.616763,682.358,433.454,0.842671,692.061,545.156,0.805537,711.595,161.165,0.912915,0.0,0.0,0.0,684.216,163.015,0.859093,0.0,0.0,0.0,735.206,556.831,0.791644,729.371,552.94,0.733873,680.305,556.882,0.839785,605.852,447.178,0.182689,599.987,447.143,0.158623,609.793,429.608,0.0799711
0,715.584,165.165,0.914069,678.394,200.371,0.687437,676.358,202.266,0.793995,682.26,276.792,0.822636,727.355,339.459,0.891343,682.252,200.366,0.625774,676.421,274.807,0.0869973,684.26,308.115,0.0549861,649.022,321.803,0.668542,637.208,321.769,0.635638,615.613,429.542,0.528262,619.641,408.01,0.0821937,662.681,323.737,0.61565,684.201,431.487,0.804478,686.237,543.191,0.78587,711.648,161.152,0.920569,0.0,0.0,0.0,686.161,163.011,0.835284,0.0,0.0,0.0,731.251,556.817,0.800003,727.376,552.925,0.727109,678.331,555.02,0.765809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,717.585,165.061,0.90789,680.269,200.318,0.708035,678.32,200.314,0.818387,682.373,274.82,0.85309,729.383,337.436,0.914568,682.258,198.436,0.624537,680.294,274.723,0.0871965,688.178,306.172,0.0706975,650.928,321.791,0.697585,641.135,321.802,0.649379,682.303,429.581,0.461854,682.36,539.31,0.133843,664.561,321.809,0.643023,682.366,431.44,0.784338,682.383,541.284,0.760238,713.556,159.215,0.905441,0.0,0.0,0.0,690.074,161.094,0.804737,0.0,0.0,0.0,729.319,556.879,0.761567,727.29,553.006,0.669575,672.491,554.947,0.643641,721.402,558.929,0.0727993,0.0,0.0,0.0,670.506,554.952,0.0883665
0,721.472,164.995,0.910161,680.343,198.431,0.714893,680.236,200.317,0.832885,686.166,272.893,0.837935,737.114,335.548,0.871945,682.319,198.348,0.631158,672.496,276.718,0.159667,688.127,315.901,0.41294,650.915,319.825,0.711792,641.161,319.823,0.671112,682.207,429.576,0.573679,682.215,541.29,0.307159,662.683,319.864,0.6527,682.295,429.56,0.740211,682.211,541.284,0.685773,713.689,157.231,0.878978,0.0,0.0,0.0,693.992,159.184,0.83361,0.0,0.0,0.0,729.222,556.859,0.680841,725.396,552.953,0.563689,666.669,554.96,0.547751,721.419,556.992,0.264399,713.653,560.83,0.198516,670.499,556.81,0.258817
0,723.422,163.191,0.921411,680.279,196.5,0.708394,680.278,198.348,0.858449,688.124,272.787,0.800832,741.085,335.424,0.885158,680.294,196.432,0.585146,672.492,274.853,0.258809,694.042,313.978,0.607455,650.944,319.818,0.68986,645.053,319.84,0.677214,678.385,431.512,0.645181,680.238,541.258,0.393502,662.689,319.86,0.618888,682.225,429.622,0.75688,680.239,541.273,0.670621,715.589,153.351,0.862867,0.0,0.0,0.0,695.916,155.25,0.845057,0.0,0.0,0.0,727.257,554.969,0.621376,721.464,550.997,0.498929,664.703,554.962,0.543333,717.513,556.897,0.347851,711.703,558.868,0.290267,666.627,554.988,0.344433
