,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,294.257,93.7776,0.940449,290.134,145.328,0.885202,252.515,142.514,0.86544,233.036,205.212,0.899153,224.702,262.248,0.927231,326.314,148.055,0.871115,336.093,213.496,0.857404,337.473,274.763,0.887758,279.001,265.02,0.713644,255.296,262.259,0.714875,251.149,337.493,0.876149,244.191,434.943,0.804787,304.039,267.819,0.697248,294.279,351.359,0.897137,281.781,429.397,0.859573,287.295,85.48,0.933225,302.641,88.2229,0.926019,276.195,92.4344,0.916756,311.027,97.9621,0.929972,285.941,454.383,0.811484,295.659,451.583,0.837028,274.759,437.717,0.757701,240.024,465.529,0.774468,230.269,461.381,0.733268,249.709,441.922,0.725729
0,294.255,93.7748,0.940377,290.138,145.328,0.885066,252.522,142.516,0.864341,233.04,205.209,0.899454,224.7,262.228,0.924739,326.315,148.055,0.871337,336.094,213.495,0.858189,337.475,274.778,0.88672,279.004,263.686,0.714002,255.29,262.247,0.715356,251.144,337.484,0.875857,244.191,434.926,0.805766,304.039,267.815,0.697022,294.278,351.346,0.896382,281.783,429.389,0.862077,287.293,85.479,0.933995,302.639,88.2245,0.926373,276.194,93.7287,0.917304,311.025,97.9678,0.930323,285.932,454.378,0.815429,295.653,451.577,0.839589,274.759,437.708,0.752632,241.353,465.546,0.766229,230.274,461.389,0.725842,248.372,441.904,0.719862
0,294.335,95.1684,0.953311,291.491,146.706,0.896849,253.925,143.905,0.846184,234.433,205.204,0.901457,224.648,262.266,0.928303,326.345,148.12,0.869696,337.419,213.532,0.868854,337.434,273.445,0.892743,280.394,263.65,0.714061,256.699,260.885,0.718215,252.494,334.685,0.862457,246.918,434.91,0.787725,305.387,266.447,0.702842,294.293,348.622,0.895216,281.757,432.122,0.829573,288.717,86.8583,0.907364,304.033,89.6225,0.940946,278.941,93.7603,0.901705,313.788,97.9739,0.932525,288.701,451.675,0.714491,297.056,450.242,0.793101,273.407,441.871,0.786712,241.392,460.014,0.735901,231.654,457.177,0.729427,251.097,443.257,0.731061
0,295.706,95.2218,0.954562,291.525,148.04,0.90325,253.952,145.267,0.842673,235.802,205.201,0.903531,224.672,262.317,0.916043,327.693,149.448,0.884517,337.413,213.535,0.854116,337.405,273.443,0.881861,281.765,267.806,0.736916,258.042,265.053,0.723436,252.504,343.033,0.895651,248.326,425.19,0.790776,305.442,269.249,0.720363,294.299,351.408,0.915723,280.345,436.275,0.814797,290.115,88.2299,0.90334,305.382,90.9832,0.947878,278.955,93.828,0.919403,313.816,97.9906,0.906731,291.496,457.169,0.796436,298.468,453.018,0.840589,270.652,443.304,0.825023,244.13,461.413,0.741794,233.055,458.578,0.684222,251.102,434.886,0.710479
0,297.058,95.1897,0.958434,292.846,148.073,0.910148,255.308,145.296,0.844816,237.191,205.163,0.911865,224.638,263.633,0.905479,327.724,149.492,0.883091,337.471,214.902,0.866283,337.442,274.787,0.886398,281.774,266.429,0.735905,258.088,263.667,0.722933,252.531,341.645,0.847826,248.331,439.059,0.818608,305.434,269.195,0.721141,294.286,349.989,0.918682,281.715,430.724,0.846842,291.478,88.2142,0.906869,305.449,90.9931,0.957765,280.332,95.1401,0.886828,315.212,99.3828,0.90009,287.333,455.789,0.813236,297.048,451.629,0.841384,273.415,439.054,0.707024,242.774,461.351,0.771567,234.378,458.55,0.755657,252.518,446.096,0.737401
0,297.078,95.2015,0.955661,292.915,149.45,0.93265,256.672,146.68,0.843976,238.551,205.136,0.921108,224.679,263.703,0.902514,329.126,150.91,0.880176,338.802,213.518,0.867952,337.475,273.38,0.892836,283.153,267.853,0.762947,259.441,266.422,0.729879,258.086,347.16,0.893351,251.144,436.3,0.868296,306.808,270.629,0.723294,294.296,352.731,0.924173,281.788,429.345,0.85993,291.52,89.5715,0.913194,305.443,91.0177,0.95532,281.706,95.2124,0.893502,315.215,100.747,0.943348,287.36,454.438,0.79991,295.727,451.596,0.821396,274.793,436.316,0.713727,249.723,459.995,0.706498,239.993,457.199,0.726501,255.285,441.918,0.775746
0,297.092,97.9325,0.929193,294.24,149.504,0.928758,256.688,148.063,0.842009,238.585,205.144,0.914701,224.695,266.447,0.893954,330.47,152.233,0.867342,338.87,213.486,0.872391,338.802,273.358,0.904908,284.517,269.225,0.780704,259.504,267.813,0.740512,258.109,345.807,0.886566,251.152,437.72,0.877028,308.218,272.011,0.721549,294.306,350.028,0.923149,281.799,429.353,0.856589,291.533,90.9876,0.919608,305.475,92.4135,0.964529,281.706,95.2259,0.908036,316.567,100.749,0.921493,285.925,452.992,0.815668,294.329,450.214,0.843612,274.841,437.661,0.703,248.316,461.411,0.741042,238.626,458.607,0.745971,255.335,444.669,0.764343
0,298.479,97.9701,0.909448,294.248,150.842,0.929229,256.699,148.128,0.850083,238.605,205.185,0.920297,224.682,269.191,0.904455,330.479,152.251,0.882208,340.196,213.489,0.872881,338.83,273.429,0.91523,284.534,269.243,0.78883,259.517,267.82,0.746214,259.494,345.813,0.895905,252.504,439.095,0.860895,308.233,272.042,0.723955,294.308,351.36,0.928546,280.398,430.729,0.8278,292.881,92.3771,0.937502,306.793,93.756,0.981744,281.738,99.3447,0.905008,316.562,103.503,0.953446,290.073,454.465,0.796346,297.097,451.613,0.795239,273.415,439.082,0.683183,248.361,460.02,0.781846,239.977,457.21,0.781275,256.684,446.076,0.794557
0,297.071,98.0152,0.912279,292.927,150.867,0.927179,256.669,149.46,0.850779,238.577,206.584,0.912764,223.279,271.998,0.910014,329.154,152.267,0.883914,338.902,210.776,0.879827,340.199,273.358,0.916203,284.543,269.251,0.783422,260.846,267.846,0.75642,259.481,351.359,0.916201,252.524,440.47,0.856548,308.221,272.035,0.724248,294.28,351.39,0.933383,280.388,429.336,0.830591,291.526,92.3907,0.926827,305.45,93.7999,0.972994,281.718,97.9975,0.871699,316.556,104.875,0.98325,287.309,451.64,0.822729,295.654,448.828,0.81817,273.427,436.331,0.710476,249.696,462.766,0.734127,240.024,460.009,0.731943,256.728,447.424,0.773919
0,297.098,99.3417,0.916308,292.887,150.889,0.92248,255.334,150.829,0.847907,238.553,207.983,0.892675,224.666,272.013,0.920643,329.092,152.261,0.888744,340.243,213.56,0.8607,340.245,271.993,0.922042,284.52,270.636,0.783051,259.497,269.202,0.74722,260.813,350.015,0.931174,252.574,440.462,0.847014,308.222,273.426,0.729818,294.297,352.752,0.931416,280.327,429.354,0.829967,291.491,92.4315,0.938505,305.444,93.8269,0.978226,278.981,99.3331,0.888304,315.204,103.577,0.942696,284.571,452.997,0.774518,294.266,450.211,0.793116,273.395,436.332,0.720322,252.506,462.768,0.728281,242.804,460.015,0.756552,256.708,446.078,0.806862
0,295.742,99.3274,0.918633,292.858,152.279,0.915626,255.303,150.886,0.854223,237.208,209.391,0.885018,224.66,270.62,0.906964,329.061,153.674,0.881827,340.207,214.895,0.86916,340.255,271.995,0.917678,284.498,270.639,0.763647,259.444,269.217,0.731752,259.466,351.412,0.912983,253.884,440.539,0.843033,308.203,273.428,0.725633,294.272,354.126,0.923111,278.981,427.993,0.829661,290.126,93.7334,0.92816,305.382,93.8439,0.972227,278.969,100.774,0.870274,315.153,104.918,0.951318,283.178,451.674,0.809499,292.859,448.875,0.828436,273.346,434.929,0.743713,255.316,464.2,0.693547,245.568,462.791,0.738708,256.679,447.461,0.809669
0,295.661,99.3329,0.927362,291.529,153.647,0.901843,253.941,152.262,0.86237,235.783,214.932,0.87347,224.706,273.401,0.914037,327.754,155.021,0.871317,340.281,216.297,0.856019,341.642,270.618,0.914317,284.536,273.422,0.757778,259.447,271.989,0.73362,259.467,352.731,0.911197,253.918,440.481,0.843628,308.252,277.561,0.712395,294.255,355.533,0.923149,278.96,429.314,0.83638,287.369,93.7734,0.913168,304.03,95.1377,0.949143,277.561,103.487,0.874364,313.769,104.952,0.92535,285.953,454.415,0.825544,294.281,450.241,0.854361,272.06,434.898,0.766778,258.057,464.135,0.729928,246.961,461.407,0.756247,255.336,446.074,0.76222
0,294.336,102.097,0.931695,291.51,153.687,0.897615,253.891,153.629,0.86033,237.162,213.527,0.889995,226.014,273.435,0.929531,327.726,153.699,0.882444,341.671,216.354,0.889808,343.053,273.421,0.886652,284.545,274.803,0.759673,259.494,273.385,0.73989,260.863,352.803,0.899586,255.308,443.305,0.812214,308.259,277.581,0.718501,292.913,354.193,0.899191,278.993,427.911,0.831741,287.314,95.1887,0.936234,302.678,95.2354,0.938407,276.199,103.544,0.920816,312.362,106.271,0.936477,283.169,453.005,0.758632,291.528,448.88,0.796271,273.371,433.502,0.686643,256.714,466.931,0.692934,246.946,464.174,0.742224,256.722,451.587,0.727859
0,294.281,102.154,0.930957,291.472,155.058,0.883516,252.558,153.679,0.860312,235.811,217.697,0.898949,224.69,273.439,0.923012,327.711,155.066,0.871259,343.049,216.306,0.882276,347.165,273.374,0.863304,284.51,274.784,0.759067,259.452,273.387,0.733675,260.836,354.149,0.900763,256.704,447.446,0.816908,308.234,277.552,0.719291,292.908,355.524,0.903966,280.321,425.203,0.837614,285.955,95.2063,0.935069,302.632,96.5389,0.928712,274.835,103.556,0.909479,312.375,104.932,0.91266,285.919,450.254,0.737093,292.917,447.416,0.779684,273.375,430.781,0.686863,258.056,471.126,0.724256,246.967,468.32,0.729195,258.12,453.075,0.719037
0,291.476,102.169,0.922048,291.456,156.416,0.880002,252.518,153.707,0.854129,234.411,216.324,0.894341,226.017,274.793,0.920695,327.697,156.422,0.861079,344.442,216.275,0.856429,348.632,270.638,0.89034,284.51,274.823,0.760952,259.436,273.436,0.73303,259.483,355.55,0.894835,258.094,447.417,0.799154,308.243,277.566,0.724147,292.931,356.928,0.920003,280.333,425.206,0.844248,283.163,95.2398,0.962773,298.475,95.2392,0.942197,273.408,104.954,0.927323,309.578,104.931,0.921362,285.943,453.03,0.792073,294.256,448.847,0.79904,273.377,430.755,0.711091,258.107,475.301,0.700793,249.704,471.14,0.664395,260.846,452.993,0.721384
0,290.099,103.523,0.924733,288.685,156.452,0.884258,249.763,155.092,0.850617,231.634,220.46,0.896337,224.664,276.181,0.897065,326.299,155.093,0.858314,345.838,217.74,0.881897,351.362,276.193,0.892127,281.799,274.814,0.723147,255.341,273.434,0.691599,259.504,355.562,0.898546,258.075,452.989,0.833823,306.863,277.557,0.706454,292.934,358.361,0.927562,279.007,425.145,0.840893,283.1,96.5619,0.954487,297.068,96.561,0.949309,271.986,104.95,0.941826,306.813,106.301,0.923409,285.94,452.979,0.8257,294.288,447.49,0.79898,273.362,429.316,0.72447,256.69,475.329,0.736486,246.951,472.52,0.752887,260.845,459.957,0.728414
0,285.947,103.553,0.947423,285.929,156.439,0.908385,248.295,156.416,0.850063,228.886,219.111,0.905577,220.498,276.17,0.898762,324.913,155.048,0.851889,347.219,216.348,0.888941,354.205,273.364,0.888215,281.746,272.031,0.736275,253.947,271.983,0.70854,259.516,351.42,0.906042,258.052,450.219,0.797248,306.836,273.422,0.729309,292.926,355.592,0.912681,280.366,422.413,0.835924,280.326,96.5543,0.938714,294.32,96.5869,0.974464,269.229,104.871,0.899552,305.431,106.333,0.944091,284.518,451.594,0.811923,292.863,447.439,0.791647,273.39,427.923,0.676148,256.664,475.28,0.740945,246.946,472.546,0.741614,260.895,457.174,0.705104
0,283.112,102.148,0.930199,284.49,155.048,0.925748,245.546,155.071,0.849753,228.803,217.72,0.929383,216.324,277.577,0.897821,322.122,153.626,0.861427,347.152,210.781,0.847107,356.932,269.255,0.864144,278.967,270.652,0.726478,252.511,270.587,0.723771,259.452,354.157,0.900161,256.689,451.617,0.795615,305.413,272.042,0.720529,292.916,355.59,0.903577,281.722,421.001,0.864528,274.831,95.164,0.951835,291.488,95.2235,0.929047,265.04,102.147,0.856472,302.624,104.919,0.914081,285.899,451.598,0.798457,292.928,447.415,0.746264,273.402,425.141,0.724663,256.685,480.879,0.741032,245.57,478.061,0.728799,259.495,458.563,0.658497
