,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,184.337,102.169,0.876107,224.696,138.384,0.595642,221.9,138.377,0.402166,213.527,201.021,0.0503791,0.0,0.0,0.0,226.064,138.357,0.827348,203.776,202.38,0.888459,142.514,224.703,0.869644,231.618,265.024,0.607955,223.263,266.429,0.530305,182.942,343.026,0.854239,150.848,426.592,0.788409,238.632,263.639,0.598213,278.948,344.415,0.802547,324.9,434.94,0.766157,0.0,0.0,0.0,191.26,93.752,0.900191,0.0,0.0,0.0,213.507,93.7777,0.93535,288.732,453.008,0.820492,299.871,454.437,0.802391,337.476,443.272,0.76749,114.689,422.424,0.662996,116.045,420.998,0.641626,153.664,440.515,0.687253
0,185.706,100.754,0.879287,221.906,139.75,0.632882,217.693,139.76,0.454709,0.0,0.0,0.0,0.0,0.0,0.0,224.706,139.719,0.840868,203.752,199.594,0.874262,138.345,223.28,0.871268,230.225,267.814,0.6156,219.12,269.198,0.550379,180.107,348.568,0.882703,157.801,432.145,0.813689,239.987,266.452,0.581396,281.744,348.559,0.824995,333.311,429.364,0.825233,0.0,0.0,0.0,192.59,92.4253,0.910373,0.0,0.0,0.0,213.502,93.7861,0.934107,302.675,454.441,0.755636,315.143,455.833,0.742001,347.162,432.161,0.770548,117.476,429.316,0.721234,121.654,427.931,0.673122,162.046,443.292,0.751839
0,182.894,102.126,0.907832,220.473,139.738,0.614242,214.941,139.731,0.431075,0.0,0.0,0.0,0.0,0.0,0.0,221.89,139.719,0.848813,198.21,198.261,0.866571,138.294,223.276,0.871697,226.061,266.421,0.635457,217.68,266.467,0.577512,180.129,345.789,0.880875,164.767,433.538,0.777036,234.389,265.076,0.605613,273.43,345.786,0.787847,333.285,420.972,0.752143,0.0,0.0,0.0,187.07,93.76,0.924433,0.0,0.0,0.0,209.338,93.8261,0.933561,313.79,455.794,0.699365,324.953,454.412,0.626993,347.228,423.807,0.670887,127.201,437.722,0.693824,129.975,434.909,0.670444,170.386,444.675,0.709911
0,181.526,100.728,0.902702,217.704,138.304,0.604468,212.169,136.974,0.439914,0.0,0.0,0.0,0.0,0.0,0.0,219.099,138.297,0.844198,199.608,196.822,0.870017,139.782,224.707,0.887754,224.708,263.667,0.650328,216.283,265.036,0.586998,178.754,344.439,0.876196,173.11,430.783,0.817844,234.408,263.658,0.619767,263.7,347.197,0.870794,337.426,416.853,0.804013,0.0,0.0,0.0,185.738,92.3718,0.898128,0.0,0.0,0.0,209.34,93.7441,0.926866,322.159,452.986,0.754228,333.299,450.263,0.701804,350.012,416.81,0.759274,135.566,444.659,0.645897,138.323,440.458,0.636984,181.478,441.862,0.756315
0,180.089,100.73,0.889988,216.335,135.589,0.591918,216.335,134.2,0.405377,0.0,0.0,0.0,0.0,0.0,0.0,216.318,136.92,0.834563,202.41,195.407,0.881616,142.502,228.872,0.866262,220.503,269.23,0.609066,212.146,270.612,0.552886,177.314,345.775,0.876438,181.519,433.545,0.806797,228.853,269.208,0.584569,258.085,351.413,0.873339,333.271,411.26,0.78522,0.0,0.0,0.0,184.302,92.3851,0.925959,0.0,0.0,0.0,206.554,93.7502,0.944794,329.068,451.671,0.836206,338.843,448.816,0.716969,347.172,407.091,0.686433,141.16,446.063,0.751896,143.906,441.858,0.712736,189.874,443.283,0.799192
0,180.081,99.3756,0.890846,216.286,134.141,0.587761,217.704,131.417,0.425233,0.0,0.0,0.0,0.0,0.0,0.0,214.931,134.164,0.822032,205.14,194.044,0.895896,149.43,233.042,0.869633,217.739,266.453,0.610527,209.35,267.831,0.551314,182.949,348.559,0.885357,194.013,434.92,0.834342,226.077,266.444,0.578514,245.536,354.189,0.843164,324.952,408.449,0.809789,0.0,0.0,0.0,184.245,92.3545,0.909291,0.0,0.0,0.0,205.147,93.7544,0.951487,329.096,448.859,0.792154,337.449,444.641,0.657048,336.088,404.311,0.622991,156.423,447.422,0.690023,159.212,441.921,0.630238,201.025,441.942,0.798519
0,180.093,96.6256,0.902715,216.301,131.403,0.607877,217.72,130.029,0.435081,0.0,0.0,0.0,0.0,0.0,0.0,214.915,131.413,0.834764,210.749,192.672,0.905351,159.246,238.603,0.882367,217.682,266.428,0.605935,209.333,267.808,0.533281,187.096,348.579,0.854107,206.527,439.092,0.836095,224.656,266.415,0.5874,228.886,349.968,0.888449,313.795,407.029,0.813018,0.0,0.0,0.0,184.267,89.6306,0.925237,0.0,0.0,0.0,205.139,92.4012,0.947058,315.166,446.035,0.69519,323.539,440.482,0.610392,326.327,401.517,0.696441,164.835,448.87,0.749164,167.589,446.03,0.688378,214.947,447.457,0.786279
0,177.348,95.1526,0.923328,216.332,131.391,0.630937,217.72,129.979,0.455828,0.0,0.0,0.0,0.0,0.0,0.0,214.93,132.776,0.836756,214.925,195.408,0.946295,170.353,245.525,0.870541,217.733,258.09,0.60918,212.117,259.459,0.515644,194.087,344.392,0.879983,216.326,436.335,0.829128,223.272,258.081,0.605451,216.317,347.183,0.859902,301.267,407.101,0.837778,0.0,0.0,0.0,184.251,86.8403,0.927227,0.0,0.0,0.0,205.202,92.3514,0.921646,295.694,446.079,0.807835,305.426,441.854,0.696223,313.773,404.273,0.811026,181.506,447.458,0.58385,185.681,441.895,0.568117,226.044,444.644,0.791161
0,180.122,93.7989,0.925426,219.085,130.023,0.71563,224.656,128.576,0.589184,0.0,0.0,0.0,0.0,0.0,0.0,214.942,132.741,0.849756,217.742,195.453,0.928798,182.917,248.328,0.893141,226.063,255.332,0.646436,224.672,256.706,0.482732,210.714,347.204,0.734113,227.41,437.734,0.854583,226.054,255.335,0.635861,209.349,348.557,0.838539,288.728,414.066,0.814222,0.0,0.0,0.0,184.34,85.4772,0.93091,0.0,0.0,0.0,205.196,90.9625,0.930049,272.017,451.63,0.839354,281.759,448.833,0.726309,301.24,414.028,0.810527,188.506,454.391,0.774558,189.896,450.233,0.723914,235.788,444.634,0.828259
0,180.098,95.1386,0.930604,217.742,131.381,0.693234,219.1,129.976,0.537256,0.0,0.0,0.0,0.0,0.0,0.0,216.335,132.764,0.843124,224.703,194.01,0.927295,195.456,255.269,0.881294,224.657,256.717,0.667814,230.217,256.709,0.510026,219.066,347.182,0.820799,251.103,432.134,0.769966,219.123,258.085,0.675456,201.005,345.813,0.842886,270.606,419.625,0.796758,0.0,0.0,0.0,184.332,86.7901,0.941667,0.0,0.0,0.0,206.536,91.0014,0.933749,245.532,446.063,0.362562,252.533,444.696,0.352004,283.18,422.367,0.755103,226.043,439.099,0.454943,0.0,0.0,0.0,255.326,441.873,0.43412
