,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,0.0,0.0,0.0,265.014,136.933,0.88967,305.444,139.691,0.820018,320.737,207.959,0.870917,324.911,272.012,0.894334,226.017,134.151,0.83304,206.601,202.422,0.892105,209.4,256.723,0.85276,262.32,265.063,0.647341,290.124,266.44,0.612468,285.917,356.924,0.875231,283.2,443.269,0.783766,237.201,265.043,0.622971,238.623,362.553,0.860273,241.349,461.372,0.744998,0.0,0.0,0.0,0.0,0.0,0.0,283.099,90.9908,0.870078,244.186,92.3839,0.880354,231.645,479.466,0.523461,231.642,478.079,0.617484,245.561,473.898,0.789135,281.774,465.52,0.497427,291.52,461.369,0.541764,285.914,453.069,0.703979
0,0.0,0.0,0.0,263.701,138.361,0.912543,305.412,139.76,0.84102,320.716,212.135,0.867718,327.681,274.819,0.897194,224.675,136.928,0.859746,206.622,205.205,0.879123,217.746,266.434,0.746624,263.631,267.823,0.643009,290.113,267.853,0.619501,284.549,358.319,0.865793,284.558,440.46,0.802296,238.54,267.845,0.621341,242.768,365.312,0.812156,240.039,462.786,0.771152,0.0,0.0,0.0,0.0,0.0,0.0,281.718,92.3578,0.794559,245.523,92.4137,0.815052,234.419,485.022,0.569836,238.614,483.638,0.605927,244.157,473.875,0.722765,277.596,461.372,0.521477,287.316,458.59,0.501998,285.95,450.218,0.733715
0,0.0,0.0,0.0,262.318,141.11,0.919088,304.062,142.537,0.841346,319.368,212.109,0.887881,327.728,272.009,0.912306,223.272,138.395,0.874308,206.623,205.192,0.864347,221.871,258.067,0.715378,262.274,270.609,0.662451,288.69,270.619,0.628299,283.193,363.883,0.82014,283.202,434.915,0.81508,237.195,270.604,0.634081,242.783,365.295,0.786332,241.376,461.391,0.799406,0.0,0.0,0.0,0.0,0.0,0.0,281.745,99.3239,0.809452,245.534,96.5988,0.870659,233.021,486.398,0.743856,244.138,485.052,0.742102,242.807,469.759,0.70903,278.999,457.215,0.657535,287.304,454.408,0.618465,285.901,443.277,0.696837
0,0.0,0.0,0.0,262.292,143.882,0.916759,302.674,146.701,0.846535,319.344,212.111,0.859233,329.12,273.386,0.903741,223.278,139.783,0.872081,206.613,206.578,0.85837,220.504,253.933,0.700692,262.223,271.99,0.656444,287.338,271.993,0.61567,283.119,350.0,0.825578,283.095,444.651,0.696358,235.821,270.61,0.614182,238.54,368.065,0.811592,238.603,460.001,0.745714,0.0,0.0,0.0,0.0,0.0,0.0,283.141,100.759,0.914089,245.551,98.0118,0.783056,235.782,486.47,0.689234,239.994,485.024,0.659078,241.366,471.131,0.633542,277.558,453.003,0.537474,284.556,452.999,0.541416,281.793,453.033,0.655422
0,0.0,0.0,0.0,265.016,146.683,0.904473,304.075,149.521,0.8513,320.719,214.962,0.89141,329.151,274.789,0.900603,226.068,142.529,0.866954,206.6,209.401,0.85738,228.859,251.154,0.514197,260.902,273.422,0.656218,287.325,274.801,0.631642,281.737,373.619,0.81515,278.99,440.49,0.709751,234.426,271.997,0.57995,237.167,369.464,0.822385,238.57,454.405,0.759674,0.0,0.0,0.0,0.0,0.0,0.0,284.53,102.105,0.909814,249.689,102.149,0.704915,237.225,485.052,0.655688,234.403,482.27,0.644795,241.396,464.19,0.627428,274.775,447.447,0.50309,281.801,448.809,0.525596,278.982,450.232,0.687866
0,0.0,0.0,0.0,262.295,149.484,0.921173,302.66,152.25,0.840217,320.756,217.728,0.897333,330.492,276.223,0.892308,224.684,146.711,0.860413,206.544,214.896,0.861832,233.037,251.119,0.444692,258.091,274.804,0.634167,283.175,276.181,0.603447,281.764,345.792,0.7697,274.771,423.76,0.727216,231.625,273.404,0.586735,235.786,369.505,0.807692,237.167,464.178,0.746975,0.0,0.0,0.0,0.0,0.0,0.0,284.58,103.54,0.933617,248.369,103.53,0.799611,228.86,493.362,0.667236,235.835,489.255,0.638789,238.58,475.268,0.606086,270.627,451.609,0.639729,277.571,448.851,0.58079,273.413,434.903,0.57594
0,0.0,0.0,0.0,263.705,150.862,0.916745,305.407,153.651,0.848916,322.145,217.691,0.896709,331.846,276.204,0.895317,226.049,148.112,0.873931,206.619,217.701,0.891607,235.823,251.133,0.37363,260.84,277.58,0.674088,284.599,277.608,0.642386,281.749,348.595,0.765673,274.811,427.963,0.720657,234.389,276.197,0.596829,237.146,369.505,0.812943,231.64,454.422,0.747455,0.0,0.0,0.0,0.0,0.0,0.0,285.988,106.35,0.912237,249.728,104.951,0.814001,230.218,494.833,0.69742,226.084,493.419,0.643583,234.421,466.957,0.563415,270.64,450.214,0.653523,276.225,447.469,0.622327,274.818,437.729,0.647279
0,0.0,0.0,0.0,266.472,150.881,0.897382,308.176,155.029,0.834801,322.177,223.268,0.866756,333.298,283.124,0.912442,227.44,148.048,0.875681,206.594,217.687,0.902979,234.409,251.119,0.371826,260.911,278.984,0.666758,287.354,280.355,0.626715,278.948,373.648,0.780099,273.464,444.642,0.818887,234.433,277.571,0.576439,237.179,372.297,0.868808,230.268,457.217,0.726648,0.0,0.0,0.0,0.0,0.0,0.0,290.131,106.307,0.90345,255.28,106.292,0.84138,230.26,496.221,0.621769,228.853,496.11,0.60378,231.636,468.368,0.640348,272.003,458.604,0.486085,278.993,457.215,0.566223,273.427,453.036,0.75038
0,0.0,0.0,0.0,270.572,150.885,0.912712,309.635,156.415,0.837935,326.336,227.447,0.934183,333.306,284.541,0.909846,228.875,146.662,0.869298,206.593,214.899,0.886218,227.422,252.54,0.621804,262.235,277.595,0.661928,287.355,277.605,0.625347,281.75,359.752,0.736115,273.447,441.865,0.793993,235.824,277.568,0.594548,246.935,375.073,0.827169,244.134,459.982,0.759243,0.0,0.0,0.0,0.0,0.0,0.0,292.882,107.759,0.902115,256.696,106.304,0.851266,223.316,494.824,0.639838,224.685,493.422,0.642861,249.733,466.916,0.668038,270.654,466.949,0.643411,278.94,464.15,0.542682,276.201,450.272,0.716387
0,0.0,0.0,0.0,270.638,150.904,0.924436,310.995,156.444,0.840891,327.73,228.814,0.950781,334.685,285.934,0.898683,230.216,146.666,0.868282,207.954,213.552,0.890228,226.061,256.677,0.648178,262.247,277.584,0.676636,288.714,278.946,0.631098,281.756,372.25,0.774722,276.165,444.644,0.786187,235.809,276.193,0.611139,248.301,373.694,0.837964,244.186,450.267,0.774774,0.0,0.0,0.0,0.0,0.0,0.0,294.335,109.13,0.889667,260.818,106.295,0.851246,227.47,493.402,0.675198,226.091,491.975,0.618317,249.73,457.177,0.619791,271.978,469.691,0.442349,280.331,465.564,0.44695,277.584,453.031,0.780998
0,0.0,0.0,0.0,271.981,150.877,0.927715,312.411,156.448,0.825943,327.761,227.46,0.934899,334.649,291.52,0.896149,230.279,145.335,0.856726,208.0,207.99,0.87034,220.493,263.661,0.732264,262.26,277.608,0.638436,288.707,278.95,0.608515,284.513,368.104,0.748129,274.788,443.281,0.800201,235.834,277.578,0.582466,256.729,375.022,0.779291,237.236,453.003,0.67512,0.0,0.0,0.0,0.0,0.0,0.0,295.69,113.264,0.889353,260.878,107.714,0.919539,226.086,492.0,0.712453,233.023,489.25,0.64325,233.018,461.376,0.459805,273.435,468.309,0.587953,279.01,464.161,0.592228,273.402,452.991,0.70645
0,0.0,0.0,0.0,273.393,148.069,0.922678,313.781,155.046,0.822913,327.727,227.435,0.939606,334.705,285.931,0.889136,235.778,141.094,0.865061,209.334,203.793,0.89293,210.732,249.765,0.849334,262.258,274.814,0.671166,288.744,277.598,0.627872,285.906,368.074,0.862393,274.816,446.041,0.785442,235.835,272.027,0.606457,232.998,355.525,0.81692,230.245,425.144,0.795408,0.0,0.0,0.0,0.0,0.0,0.0,297.093,110.509,0.864127,262.32,103.558,0.834144,233.049,479.439,0.54083,230.212,476.708,0.470008,230.239,434.884,0.675393,272.002,471.111,0.522572,278.966,466.961,0.568642,273.394,455.833,0.694819
0,0.0,0.0,0.0,274.813,146.706,0.900077,316.539,155.019,0.833214,327.741,224.659,0.91548,336.027,280.324,0.878452,237.19,139.695,0.873185,212.102,203.77,0.897939,207.987,249.773,0.947491,266.431,272.002,0.660538,292.872,274.805,0.649366,285.932,355.521,0.827819,274.844,447.474,0.747425,239.946,269.202,0.63673,234.426,347.215,0.836913,231.633,425.144,0.75938,0.0,0.0,0.0,0.0,0.0,0.0,302.639,106.28,0.906375,265.019,104.958,0.891946,235.834,476.71,0.541122,233.01,475.292,0.472917,230.262,433.553,0.571705,271.995,461.384,0.423066,278.977,461.347,0.504604,273.432,459.991,0.682321
0,0.0,0.0,0.0,274.764,143.928,0.897121,315.199,152.233,0.829215,327.755,223.257,0.92264,331.931,280.342,0.89306,237.166,138.302,0.859226,212.175,205.146,0.920878,205.23,259.516,0.928409,266.462,273.39,0.648194,292.917,277.561,0.647065,284.591,370.881,0.855665,274.813,453.033,0.774813,239.959,269.237,0.612383,233.017,352.757,0.861068,238.576,432.133,0.734779,0.0,0.0,0.0,0.0,0.0,0.0,301.217,106.295,0.862834,262.325,103.517,0.912444,235.792,475.316,0.630467,230.255,473.912,0.564162,244.181,441.911,0.668178,274.797,469.755,0.472704,281.728,468.339,0.574762,273.391,464.155,0.721152
0,0.0,0.0,0.0,276.222,142.485,0.895938,315.204,149.49,0.836829,327.706,221.904,0.897519,330.5,281.772,0.907078,238.601,135.598,0.864338,214.919,200.986,0.868675,205.129,260.905,0.909699,267.861,267.836,0.641172,294.293,270.639,0.642342,285.913,370.857,0.854208,274.83,454.412,0.747265,241.357,265.069,0.603307,234.428,350.004,0.883249,239.96,430.777,0.739548,0.0,0.0,0.0,0.0,0.0,0.0,301.253,102.103,0.880331,263.695,95.2192,0.847048,233.027,469.712,0.564159,228.862,468.293,0.54271,245.525,443.286,0.645832,274.795,478.105,0.583542,277.585,475.3,0.594715,272.031,464.159,0.634967
0,0.0,0.0,0.0,274.849,141.169,0.90113,315.165,148.102,0.844029,326.345,217.755,0.896259,329.106,274.821,0.912062,238.567,136.93,0.870147,213.56,200.982,0.862159,201.013,263.639,0.899013,267.821,269.243,0.652502,294.287,273.407,0.629323,284.599,373.673,0.842928,276.17,454.409,0.774607,239.98,267.832,0.619928,235.842,351.356,0.873399,241.398,437.738,0.746357,0.0,0.0,0.0,0.0,0.0,0.0,301.255,100.747,0.866021,262.298,95.1582,0.903336,235.827,466.986,0.535777,230.266,465.538,0.561073,246.919,448.873,0.76168,276.217,479.476,0.623292,276.199,476.692,0.64447,273.383,464.143,0.666807
0,0.0,0.0,0.0,273.413,141.147,0.92162,313.77,148.049,0.824544,327.665,217.72,0.926605,326.344,271.964,0.897834,235.828,136.966,0.881802,214.889,198.183,0.885661,198.23,262.271,0.904187,265.047,267.833,0.656404,291.518,270.619,0.63002,287.303,366.708,0.777139,274.85,455.797,0.762534,238.583,266.431,0.634508,237.231,349.962,0.866773,241.437,434.93,0.744175,0.0,0.0,0.0,0.0,0.0,0.0,299.873,100.766,0.870095,263.62,95.1829,0.885205,242.75,462.786,0.551944,235.825,459.971,0.549846,245.54,446.072,0.721324,277.594,476.683,0.61078,0.0,0.0,0.0,273.385,464.198,0.675166
0,0.0,0.0,0.0,273.405,143.887,0.908739,313.789,149.445,0.827368,327.652,217.726,0.928599,324.893,266.469,0.869192,235.799,139.7,0.867738,213.543,199.648,0.877674,195.482,262.255,0.911536,266.424,267.817,0.650415,292.915,269.247,0.628578,287.296,365.332,0.82077,276.175,457.225,0.751258,238.619,266.431,0.642687,238.603,352.748,0.845313,242.75,444.684,0.770512,0.0,0.0,0.0,0.0,0.0,0.0,298.504,103.522,0.887183,262.284,99.3633,0.84061,227.498,457.192,0.539422,227.456,457.205,0.67695,246.962,454.442,0.845026,278.968,472.544,0.523594,281.765,472.512,0.586149,273.382,468.305,0.667778
0,0.0,0.0,0.0,273.37,143.944,0.903174,313.797,149.53,0.835544,326.276,219.103,0.895826,320.787,265.049,0.873815,234.419,139.71,0.870181,214.874,200.972,0.887657,194.017,262.256,0.914202,265.054,267.825,0.632225,291.515,269.244,0.61985,288.736,362.478,0.800071,277.599,459.974,0.745336,238.606,266.447,0.634818,239.946,351.348,0.776755,241.343,441.9,0.761268,0.0,0.0,0.0,0.0,0.0,0.0,295.728,107.755,0.907531,259.492,104.955,0.912124,238.582,455.827,0.334563,231.625,454.389,0.471604,244.157,453.004,0.845459,278.986,478.103,0.574682,277.588,475.332,0.592348,274.797,469.715,0.666851
0,0.0,0.0,0.0,272.043,146.705,0.916369,313.792,152.24,0.828449,323.564,226.029,0.870131,315.183,277.566,0.822415,231.634,141.126,0.861575,213.517,198.2,0.875867,192.69,262.229,0.90838,265.028,270.613,0.629876,291.468,273.421,0.602849,284.586,376.422,0.873865,276.217,462.761,0.753205,238.625,269.216,0.630735,238.624,356.919,0.807315,238.634,434.952,0.791147,0.0,0.0,0.0,0.0,0.0,0.0,295.683,106.363,0.941166,260.89,104.88,0.956703,245.523,454.414,0.380275,234.416,448.818,0.43363,239.955,444.703,0.755212,278.995,478.081,0.561045,278.971,476.68,0.610362,273.426,472.486,0.678795
0,0.0,0.0,0.0,272.035,149.531,0.92303,313.741,153.674,0.833786,323.521,224.699,0.840953,313.764,278.944,0.850126,231.639,145.33,0.859217,210.769,199.578,0.862235,192.66,262.222,0.914478,266.448,273.412,0.628636,292.869,276.203,0.626694,284.568,373.694,0.882611,277.568,462.797,0.736983,239.994,272.008,0.615446,238.598,361.095,0.860577,238.638,436.319,0.764222,0.0,0.0,0.0,0.0,0.0,0.0,294.304,107.729,0.919069,259.488,106.338,0.895381,242.767,441.863,0.375876,231.639,437.714,0.495312,241.345,448.807,0.75703,276.186,480.839,0.548597,281.758,479.44,0.590029,274.816,473.894,0.6768
0,0.0,0.0,0.0,272.062,152.232,0.940862,312.393,155.081,0.83993,323.518,226.019,0.837613,309.625,272.047,0.7941,233.0,148.112,0.867976,209.401,199.627,0.876987,192.682,262.227,0.923356,266.454,276.199,0.638299,292.858,278.943,0.64992,284.541,375.092,0.89131,277.559,465.574,0.762126,240.004,274.814,0.632491,238.614,361.125,0.902192,239.979,434.942,0.799727,0.0,0.0,0.0,0.0,0.0,0.0,294.272,107.749,0.93174,258.112,106.359,0.849689,241.367,433.51,0.437308,231.659,433.551,0.556195,241.402,446.077,0.811008,277.591,480.835,0.474014,284.538,479.489,0.543291,274.807,476.679,0.704784
0,0.0,0.0,0.0,271.966,152.283,0.928537,309.571,156.459,0.845438,323.528,223.303,0.845077,308.226,270.644,0.833136,231.655,149.443,0.876737,207.921,205.152,0.916756,192.626,262.31,0.916725,265.069,280.341,0.660249,291.461,281.741,0.661383,284.519,380.591,0.89167,277.551,464.196,0.751999,239.968,278.975,0.633936,238.623,366.703,0.869617,239.992,436.341,0.758772,0.0,0.0,0.0,0.0,0.0,0.0,292.853,109.128,0.922589,259.435,110.478,0.895065,245.529,444.658,0.379965,234.414,441.876,0.47045,241.405,448.804,0.775542,276.21,479.449,0.484191,284.527,479.45,0.53461,274.793,475.307,0.708075
0,0.0,0.0,0.0,270.62,153.687,0.914649,308.239,157.852,0.855225,323.517,221.857,0.872818,309.642,273.371,0.879588,230.241,150.87,0.888194,206.626,205.136,0.904864,192.635,263.642,0.915184,265.02,280.358,0.660293,288.738,281.746,0.662705,283.175,379.195,0.880505,277.6,459.998,0.750867,239.946,280.357,0.647908,239.98,362.503,0.872926,242.736,439.076,0.79981,0.0,0.0,0.0,0.0,0.0,0.0,288.715,111.916,0.881631,256.684,111.917,0.861507,242.796,451.632,0.411342,234.435,448.848,0.514406,244.128,448.843,0.839513,288.709,494.783,0.634537,284.536,492.018,0.558742,273.412,469.709,0.633248
0,0.0,0.0,0.0,267.852,153.64,0.898364,306.796,156.465,0.85561,323.494,220.486,0.875668,309.57,269.245,0.797038,228.836,150.877,0.889967,207.951,203.813,0.914549,192.636,265.088,0.890612,263.624,277.575,0.679661,288.698,278.969,0.65358,281.772,372.236,0.8519,276.198,444.672,0.769153,238.559,276.215,0.659141,239.976,356.942,0.869845,242.753,437.725,0.803614,0.0,0.0,0.0,0.0,0.0,0.0,285.98,110.468,0.909818,251.122,109.097,0.904022,245.539,454.42,0.354816,234.437,450.267,0.444797,245.52,448.817,0.84912,280.334,487.816,0.551147,285.926,485.029,0.473486,272.009,454.449,0.653728
0,0.0,0.0,0.0,267.823,152.285,0.905548,306.793,155.037,0.850638,320.779,221.851,0.878154,310.972,273.437,0.855001,228.862,150.847,0.89055,207.954,205.183,0.916341,192.678,267.849,0.884585,262.254,274.813,0.67458,287.293,277.563,0.640473,280.39,372.265,0.859043,274.793,443.241,0.786654,237.224,274.783,0.654401,239.946,356.946,0.869286,242.797,437.742,0.794711,0.0,0.0,0.0,0.0,0.0,0.0,284.555,107.763,0.923368,251.157,110.472,0.875231,248.328,459.925,0.465237,238.575,454.418,0.490324,245.562,448.813,0.802895,281.731,482.294,0.554931,285.956,479.502,0.492448,270.63,453.013,0.688254
0,0.0,0.0,0.0,265.069,150.883,0.923563,305.4,152.293,0.867122,319.403,220.536,0.879194,308.205,277.618,0.826647,227.422,149.455,0.888663,207.991,206.553,0.906919,195.429,272.03,0.887509,262.25,276.164,0.659994,287.33,276.211,0.628128,283.156,369.501,0.906093,272.037,425.165,0.781845,237.206,274.79,0.644153,239.941,361.153,0.862566,241.409,436.343,0.796798,0.0,0.0,0.0,0.0,0.0,0.0,283.147,107.703,0.947772,249.713,107.719,0.915811,245.587,461.37,0.542276,237.224,457.211,0.58158,244.196,446.034,0.747142,267.835,454.453,0.435949,277.571,454.408,0.450958,270.587,434.906,0.642517
0,0.0,0.0,0.0,265.045,149.46,0.91203,304.063,149.508,0.851254,319.35,220.524,0.867626,315.18,273.368,0.868324,226.086,148.119,0.866966,209.357,206.566,0.897298,198.185,270.637,0.892729,262.289,273.392,0.679888,288.705,273.398,0.628699,283.185,368.049,0.877121,270.615,425.163,0.833692,237.225,273.416,0.662029,240.006,359.77,0.86667,242.758,440.521,0.786442,0.0,0.0,0.0,0.0,0.0,0.0,283.145,103.534,0.945029,249.68,104.898,0.916052,249.718,459.99,0.426416,238.603,455.83,0.495484,244.184,450.257,0.790219,267.832,457.222,0.430533,277.588,455.812,0.435745,267.807,432.146,0.671215
0,0.0,0.0,0.0,266.431,145.299,0.888488,305.38,146.733,0.855801,318.014,213.546,0.84416,317.944,262.253,0.928396,228.824,142.557,0.870893,210.779,206.565,0.890693,201.014,270.617,0.890217,262.315,269.202,0.684289,287.368,269.227,0.663839,288.738,359.721,0.856597,271.957,421.01,0.821417,238.557,269.208,0.656169,239.968,362.476,0.870864,246.931,450.205,0.830299,0.0,0.0,0.0,0.0,0.0,0.0,283.194,102.156,0.938441,249.674,103.549,0.828919,241.413,455.826,0.380114,237.186,457.204,0.588491,249.7,458.585,0.809411,277.576,464.149,0.402084,284.524,461.401,0.392241,266.433,427.972,0.668374
0,0.0,0.0,0.0,265.077,143.879,0.893699,304.051,145.292,0.845926,318.004,210.73,0.868924,318.006,263.621,0.916738,228.81,141.165,0.87936,210.786,207.961,0.869511,205.151,270.598,0.919001,263.628,265.075,0.666494,288.729,266.445,0.651833,291.48,355.589,0.868079,272.048,423.765,0.811951,237.237,265.057,0.644515,240.025,358.311,0.804122,246.985,451.605,0.82513,0.0,0.0,0.0,0.0,0.0,0.0,283.183,102.101,0.907148,249.678,100.719,0.894856,244.173,458.587,0.396508,238.575,459.97,0.579216,249.718,459.998,0.833427,285.927,468.336,0.450282,290.141,465.567,0.433168,267.8,429.396,0.669998
0,0.0,0.0,0.0,265.052,141.146,0.916183,305.384,143.887,0.846211,318.015,210.721,0.844311,318.015,265.076,0.896718,227.465,139.727,0.892734,210.756,205.221,0.885709,207.947,267.862,0.899048,263.625,266.435,0.655941,290.078,266.465,0.634744,288.751,355.56,0.850774,273.424,433.565,0.805574,237.198,266.424,0.646677,240.02,362.503,0.843651,248.319,454.442,0.790938,0.0,0.0,0.0,0.0,0.0,0.0,283.2,100.724,0.910572,248.336,99.3538,0.848911,253.911,466.933,0.27821,240.009,464.163,0.395435,248.341,464.162,0.766948,292.885,469.731,0.669179,294.268,468.319,0.622259,269.228,441.859,0.661557
0,0.0,0.0,0.0,265.087,141.141,0.90152,305.387,143.882,0.841105,317.988,209.34,0.848777,319.359,266.453,0.884426,227.486,139.753,0.891036,213.51,206.588,0.836511,209.328,265.071,0.87423,263.619,267.81,0.654429,288.733,267.86,0.641265,287.297,352.805,0.87286,280.405,430.727,0.779537,237.239,266.46,0.6423,241.347,363.871,0.850307,248.328,453.046,0.796246,0.0,0.0,0.0,0.0,0.0,0.0,284.537,99.3846,0.906308,248.321,100.768,0.854942,234.444,471.148,0.482833,234.429,469.737,0.605596,252.488,464.126,0.798683,285.921,455.822,0.504847,291.519,453.005,0.54341,278.981,440.507,0.659652
0,0.0,0.0,0.0,266.416,142.508,0.894723,305.392,143.92,0.850328,317.965,209.385,0.845225,319.384,270.657,0.905567,227.473,141.108,0.887541,213.509,208.007,0.809701,213.565,270.617,0.861064,262.295,266.444,0.653668,288.713,267.82,0.628668,287.318,350.001,0.887164,283.158,437.731,0.805534,237.203,266.425,0.647407,241.392,361.108,0.850629,246.985,450.247,0.764435,0.0,0.0,0.0,0.0,0.0,0.0,284.539,99.3753,0.907331,249.756,102.163,0.890565,237.195,473.904,0.622094,237.19,472.49,0.702331,251.16,459.994,0.768575,288.729,457.165,0.503192,292.928,454.404,0.596954,281.768,448.833,0.794163
0,0.0,0.0,0.0,265.04,145.264,0.889647,304.027,146.712,0.851729,317.939,214.891,0.84194,320.793,274.844,0.877239,227.466,142.487,0.886739,213.504,214.885,0.836826,216.334,266.452,0.832457,262.283,269.206,0.66716,288.696,269.249,0.639051,287.304,356.919,0.863442,284.578,436.329,0.833615,237.218,269.198,0.652579,241.384,361.129,0.829781,246.986,453.046,0.771205,0.0,0.0,0.0,0.0,0.0,0.0,283.199,103.501,0.939757,249.741,102.17,0.81527,240.023,473.895,0.613379,241.369,472.504,0.680227,251.112,464.125,0.783851,283.134,440.481,0.476706,291.531,441.865,0.533159,285.903,446.033,0.806835
0,0.0,0.0,0.0,267.853,148.117,0.894224,305.462,149.458,0.858511,319.376,221.861,0.882389,320.723,277.623,0.894094,228.872,146.737,0.85457,214.957,217.69,0.904295,220.483,260.854,0.841159,263.701,271.999,0.665382,290.133,271.996,0.638734,285.939,348.553,0.877054,287.369,432.137,0.777493,238.632,270.639,0.660432,242.735,358.349,0.828031,248.344,454.413,0.741243,0.0,0.0,0.0,0.0,0.0,0.0,285.941,102.176,0.919461,249.756,104.954,0.95476,242.8,479.503,0.642874,245.562,478.069,0.664747,252.508,464.198,0.697313,283.126,459.945,0.54125,291.476,455.83,0.487654,290.098,441.93,0.726614
