scorer,,,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril
bodyparts,,,Right_Hip,Right_Hip,Right_Knee,Right_Knee,Right_Ankle,Right_Ankle,Right_Toe,Right_Toe,Left_Hip,Left_Hip,Left_Knee,Left_Knee,Left_Ankle,Left_Ankle,Left_Toe,Left_Toe
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,BelowKnee_Posterior,img000.png,679.7879688483682,346.93718575518074,682.6907373055761,472.72381890086206,674.9500214196881,620.7650102184714,,,619.4162509464304,346.98744857608915,613.9918838183195,498.84873501573435,618.8298312469996,650.7602842762878,,
labeled-data,BelowKnee_Posterior,img001.png,679.7879688483682,346.93718575518074,680.7555583341041,475.6265873580701,677.8527898768962,625.6029576471515,,,618.4737928711486,351.82539600476923,613.9918838183195,497.8811455299983,617.8622417612636,651.7278737620238,,
labeled-data,BelowKnee_Posterior,img002.png,675.9176109054241,351.77513318386076,672.0472529624801,478.5293558152781,675.9176109054242,620.7650102184714,,,617.4810719749586,356.0769237340184,616.8946522755275,498.84873501573435,616.8946522755275,654.6306422192318,,
labeled-data,BelowKnee_Posterior,img003.png,677.8527898768962,360.48343855548484,673.9824319339521,484.33489272969416,673.9824319339522,619.7974207327354,,,615.851668558429,360.2279258214508,612.0567048468474,499.8163245014704,614.9594733040556,656.5658211907039,,
labeled-data,BelowKnee_Posterior,img004.png,676.8852003911602,358.54825958401284,674.950021419688,489.17284015837413,672.0472529624801,616.8946522755274,,,612.6682559567325,360.63422701821014,608.1863469039034,501.7515034729424,614.9594733040556,657.5334106764399,,
labeled-data,BelowKnee_Posterior,img005.png,676.8852003911602,364.3537964984289,670.1120739910081,493.04319810131824,664.9683510073855,617.5062033854124,,,612.6682559567327,364.8354919265509,610.1215258753755,500.78391398720635,610.7079455748063,653.6630527334959,,
labeled-data,BelowKnee_Posterior,img006.png,676.8852003911602,364.3537964984289,673.9824319339521,494.0107875870542,665.2741265623281,620.7650102184714,,,614.2473965523537,367.0010522216029,611.0891153611115,501.7515034729424,609.7654874995245,648.5695925707818,,
labeled-data,BelowKnee_Posterior,img007.png,681.7231478198403,364.3537964984289,673.7017877894638,494.34169455245103,665.2992579727822,624.6353681614155,,,615.5458930034863,366.6450138457519,608.1863469039034,501.7515034729424,608.1863469039035,643.0195683903997,,
