,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,253.927,125.836,0.947314,252.519,168.958,0.921216,220.531,170.384,0.879653,203.776,216.34,0.876061,209.377,227.505,0.859857,284.546,164.819,0.896402,301.223,217.669,0.909759,310.981,262.288,0.909177,256.727,272.004,0.788143,237.157,273.402,0.778149,234.452,336.091,0.857303,233.035,393.173,0.861495,278.966,270.614,0.771206,283.159,338.858,0.896021,287.3,423.816,0.789314,248.308,118.893,0.924155,260.891,118.905,0.949137,238.545,127.151,0.869319,269.265,127.202,0.869318,290.094,443.248,0.751161,301.243,441.846,0.818098,283.109,433.507,0.705232,233.042,419.609,0.860883,223.297,416.834,0.855224,237.2,397.323,0.739883
0,259.469,125.805,0.945232,255.342,169.014,0.90229,224.643,170.368,0.878001,205.191,219.12,0.903054,214.956,231.612,0.872887,287.324,166.225,0.88726,304.024,219.062,0.90725,313.782,265.026,0.89375,258.063,272.027,0.778625,235.834,273.41,0.749787,235.834,341.635,0.885352,235.797,388.979,0.87785,280.346,270.642,0.763248,285.986,340.288,0.895811,287.331,423.747,0.82251,252.485,118.883,0.933909,265.068,118.898,0.915115,241.427,127.149,0.919278,273.4,127.219,0.925852,288.687,444.677,0.768209,299.85,443.253,0.814451,283.154,430.747,0.752711,234.452,419.584,0.85812,226.02,415.44,0.820342,238.55,390.383,0.814106
0,263.681,125.776,0.936776,259.479,168.972,0.929512,227.468,168.96,0.893062,208.013,219.121,0.905304,217.681,234.453,0.911795,290.141,167.553,0.866615,306.842,219.142,0.898801,316.565,266.453,0.897493,260.835,272.004,0.814637,238.569,273.396,0.793173,237.207,347.157,0.901744,238.617,386.2,0.903678,283.164,270.597,0.800976,291.502,340.284,0.877777,288.686,423.812,0.806426,258.044,118.848,0.934402,270.611,118.849,0.946984,245.579,125.839,0.905157,276.178,125.783,0.6895,290.135,444.645,0.758997,301.276,441.915,0.825309,283.139,432.144,0.715816,235.817,416.852,0.895647,226.096,414.004,0.818882,242.749,387.571,0.781601
0,265.098,123.047,0.925149,260.891,166.188,0.945717,228.9,166.182,0.892901,213.541,216.287,0.901212,217.747,238.568,0.933423,292.876,164.848,0.884633,308.212,219.152,0.899157,319.336,267.813,0.905393,262.304,270.603,0.826766,240.025,271.987,0.807274,238.596,348.559,0.899298,242.736,386.203,0.90943,284.592,269.222,0.816172,291.541,340.216,0.895375,287.351,422.362,0.824051,259.509,117.448,0.969758,272.025,117.513,0.968707,248.327,125.765,0.892657,278.941,127.172,0.723342,288.753,444.633,0.810494,301.216,441.879,0.841176,283.162,429.343,0.76455,231.674,418.203,0.916692,224.697,414.012,0.842781,249.695,386.204,0.864192
0,267.835,120.236,0.91757,263.626,163.409,0.945457,231.634,163.42,0.883918,216.333,213.546,0.919132,220.471,246.943,0.891844,295.64,163.371,0.912946,309.606,217.73,0.889304,319.4,266.437,0.892388,265.022,270.597,0.796304,241.429,270.639,0.782321,238.547,347.177,0.903359,245.582,386.167,0.906242,287.341,269.243,0.776386,292.91,340.236,0.898989,287.307,420.981,0.830565,260.913,114.66,0.947703,273.423,114.711,0.962944,249.778,118.906,0.946123,281.787,120.274,0.852274,288.688,443.292,0.819522,298.488,441.843,0.827585,283.119,427.982,0.762027,234.424,416.845,0.903629,227.442,412.615,0.850029,251.164,386.214,0.94196
0,269.252,117.489,0.967888,263.69,160.665,0.931568,231.657,160.668,0.873504,217.755,210.785,0.910949,219.13,251.176,0.918285,297.045,160.672,0.906024,311.032,217.709,0.885753,320.748,266.432,0.885419,265.038,267.824,0.785627,242.772,269.193,0.773794,238.64,344.389,0.906159,249.71,387.622,0.937108,287.341,266.473,0.762698,292.922,338.852,0.909706,285.978,418.207,0.832384,262.255,111.912,0.943421,274.809,111.919,0.934082,251.156,117.481,0.960333,283.157,117.425,0.870447,285.952,441.856,0.83937,298.443,439.111,0.82707,283.149,423.815,0.746044,238.561,422.352,0.880587,230.252,416.844,0.783232,253.961,388.939,0.98524
0,269.213,116.036,0.959799,265.088,159.208,0.919268,234.407,159.186,0.864977,219.152,210.748,0.895653,217.768,252.568,0.912971,297.086,159.206,0.896529,312.358,214.881,0.883805,322.111,262.302,0.898096,265.046,267.799,0.775124,242.77,267.816,0.764555,238.592,340.275,0.930901,248.349,393.173,0.914509,287.34,266.473,0.752404,292.936,340.288,0.890731,285.907,416.815,0.82432,262.227,110.475,0.94998,273.462,109.144,0.939156,251.174,117.509,0.963525,281.796,117.415,0.879777,285.924,440.463,0.834449,297.057,437.715,0.864626,281.768,423.773,0.738453,238.578,429.31,0.825555,230.254,423.816,0.727909,253.89,394.557,0.917233
0,269.229,114.623,0.941905,266.423,157.858,0.901865,234.387,157.81,0.856061,221.875,212.111,0.877811,217.683,260.862,0.931622,297.114,157.83,0.881505,313.757,210.764,0.853505,322.145,260.891,0.906857,263.713,265.036,0.780881,241.423,265.045,0.768316,241.389,333.257,0.905946,248.295,398.689,0.860402,287.292,265.038,0.752571,290.116,338.825,0.888257,285.922,416.791,0.83264,262.263,107.704,0.966425,274.798,107.723,0.952588,252.485,116.056,0.929833,283.135,114.716,0.837188,284.582,436.31,0.838599,295.725,433.565,0.854366,281.775,422.41,0.740454,238.546,433.493,0.808189,230.252,429.309,0.751802,252.526,402.861,0.838526
0,270.613,110.527,0.934691,265.081,157.802,0.897672,233.044,157.803,0.856944,223.238,210.761,0.875243,216.265,260.823,0.921016,297.084,156.421,0.87595,313.812,209.367,0.875051,322.14,256.665,0.880167,263.705,262.281,0.781827,242.735,262.287,0.774107,242.737,330.457,0.865628,248.302,411.23,0.821253,285.958,262.29,0.759062,287.33,336.066,0.888663,284.584,414.048,0.855619,262.31,106.277,0.958231,274.836,106.274,0.954606,252.491,113.307,0.919119,283.163,113.251,0.747035,285.957,433.52,0.82587,297.058,430.742,0.853193,281.713,421.029,0.703774,242.78,439.112,0.751746,233.054,434.95,0.699242,252.553,418.203,0.817069
0,269.219,113.276,0.933889,265.023,157.848,0.916342,233.037,157.851,0.865401,221.917,212.106,0.876773,214.93,263.632,0.917559,297.04,156.433,0.884012,313.769,206.528,0.899999,322.121,249.73,0.919988,263.675,260.878,0.795017,241.424,260.903,0.77651,245.588,329.063,0.88508,248.346,414.007,0.851096,285.918,260.886,0.781978,285.989,334.663,0.88604,284.532,408.497,0.863088,262.267,106.348,0.970084,274.784,106.367,0.957724,252.525,113.294,0.89733,283.183,113.3,0.874622,283.138,433.513,0.791545,294.269,430.709,0.787366,281.743,416.798,0.69152,246.959,439.082,0.810886,237.204,436.307,0.783372,252.493,420.978,0.81669
