,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,226.105,145.273,0.784146,256.712,171.717,0.809401,262.255,170.34,0.713826,260.881,217.678,0.075254,0.0,0.0,0.0,251.165,171.782,0.911577,256.734,217.757,0.922155,227.456,259.479,0.890461,266.407,267.838,0.664863,265.085,267.839,0.550595,256.661,337.473,0.802201,263.629,409.821,0.867872,266.414,269.197,0.699814,252.559,337.488,0.871153,310.961,390.345,0.814647,0.0,0.0,0.0,228.823,139.697,0.872154,0.0,0.0,0.0,239.988,141.099,0.917033,297.095,423.775,0.840392,305.443,419.605,0.739433,322.162,390.354,0.796748,231.638,423.737,0.733916,235.823,419.579,0.696478,271.967,416.823,0.901555
0,231.668,153.637,0.2284,259.444,170.354,0.786653,265.046,168.988,0.703501,267.839,214.919,0.0750627,0.0,0.0,0.0,252.503,170.393,0.900891,262.27,214.902,0.907391,238.613,253.929,0.889406,266.446,267.85,0.71504,274.793,267.86,0.657726,265.024,337.41,0.859943,273.406,402.914,0.875403,259.458,267.829,0.69878,246.967,334.68,0.888831,302.657,393.16,0.84133,0.0,0.0,0.0,231.637,148.054,0.233682,252.567,138.322,0.173197,238.553,142.544,0.776517,284.51,421.034,0.835125,292.9,419.623,0.80978,315.156,394.578,0.898764,244.157,419.594,0.771304,246.953,416.802,0.714996,280.324,409.875,0.777874
0,228.868,145.333,0.860575,260.859,171.77,0.82817,266.432,171.714,0.701353,265.03,219.114,0.0663552,0.0,0.0,0.0,255.313,173.105,0.898756,266.43,216.346,0.912588,239.962,266.466,0.883637,267.798,270.628,0.757699,274.77,270.609,0.68781,269.204,329.101,0.830518,280.374,398.713,0.706034,260.837,270.648,0.733981,242.82,331.909,0.852978,285.977,400.125,0.798192,0.0,0.0,0.0,230.287,139.716,0.872248,0.0,0.0,0.0,241.416,139.78,0.88125,255.33,419.638,0.755353,266.422,421.031,0.686996,297.101,405.697,0.819149,251.136,419.566,0.382131,253.946,415.446,0.317493,292.892,402.906,0.173187
0,228.827,145.342,0.813697,260.841,171.719,0.784617,263.689,170.364,0.635696,278.951,219.091,0.102629,0.0,0.0,0.0,255.344,171.747,0.88117,272.019,217.738,0.931773,253.884,266.463,0.86559,265.072,267.803,0.705032,272.052,266.457,0.655924,266.426,327.667,0.872022,284.562,401.515,0.830517,258.115,267.852,0.709863,237.225,329.071,0.925312,269.231,401.488,0.805671,0.0,0.0,0.0,228.909,139.689,0.853936,0.0,0.0,0.0,240.028,138.304,0.899501,241.351,422.386,0.883495,251.107,423.743,0.820138,278.947,407.12,0.69397,273.415,422.376,0.0812477,0.0,0.0,0.0,294.248,408.481,0.840696
0,228.902,148.037,0.8963,260.819,171.766,0.763896,259.506,171.727,0.64667,280.34,212.158,0.0877439,0.0,0.0,0.0,258.118,171.775,0.855683,274.803,216.29,0.907287,263.636,266.471,0.826626,267.818,263.648,0.734464,274.786,262.243,0.692174,277.563,327.732,0.858295,295.654,402.924,0.831777,260.823,265.072,0.72262,238.543,329.068,0.910748,251.147,408.496,0.857225,228.793,141.125,0.175019,234.409,141.133,0.886232,0.0,0.0,0.0,248.373,142.514,0.877674,223.299,421.025,0.860021,231.616,423.811,0.864075,258.081,416.838,0.911273,271.993,418.258,0.78469,274.818,416.767,0.654995,305.4,409.872,0.795078
0,228.8,148.088,0.943359,259.443,173.133,0.74837,253.956,173.157,0.627805,0.0,0.0,0.0,0.0,0.0,0.0,260.9,171.776,0.898818,276.182,220.535,0.77301,278.941,274.832,0.733458,263.686,269.208,0.755623,270.614,267.848,0.654349,283.169,330.491,0.838462,306.807,404.325,0.84034,259.495,269.255,0.732545,238.536,334.642,0.870569,235.768,411.223,0.825659,0.0,0.0,0.0,230.279,141.089,0.933886,0.0,0.0,0.0,248.295,138.349,0.949467,202.418,418.169,0.8595,209.376,421.006,0.849058,241.374,419.632,0.814902,276.221,420.988,0.817838,281.732,418.224,0.749922,316.57,411.252,0.76453
0,226.063,145.311,0.400057,253.939,173.146,0.814302,249.727,173.182,0.689747,0.0,0.0,0.0,0.0,0.0,0.0,260.898,171.808,0.907108,281.732,217.679,0.839968,285.986,267.834,0.846155,267.805,266.418,0.758455,273.433,265.037,0.703369,283.134,326.328,0.862995,316.614,401.502,0.830761,260.884,267.801,0.72759,238.598,330.469,0.898539,217.706,409.872,0.868399,0.0,0.0,0.0,227.503,139.75,0.448232,0.0,0.0,0.0,238.58,142.536,0.705423,187.049,407.105,0.882153,192.671,412.668,0.86641,220.502,422.352,0.827113,287.37,419.634,0.835414,291.535,418.192,0.735736,327.661,407.119,0.804416
0,228.867,159.207,0.324268,253.919,177.303,0.831036,248.374,177.358,0.776655,241.355,234.429,0.807992,196.812,245.583,0.841126,260.897,175.933,0.896785,281.751,214.945,0.857216,294.246,263.709,0.894608,269.213,274.823,0.767832,274.772,273.434,0.646097,292.926,330.508,0.796525,323.535,402.874,0.775508,263.678,277.564,0.719404,238.611,337.431,0.890079,206.616,408.444,0.848524,0.0,0.0,0.0,228.903,152.316,0.345151,252.531,142.563,0.114789,238.586,149.458,0.794248,177.324,400.085,0.772684,182.881,405.687,0.803763,208.006,419.64,0.774459,295.72,419.583,0.792916,299.882,416.843,0.700134,333.295,408.498,0.731337
0,230.247,157.795,0.857628,258.115,173.165,0.776338,260.865,173.133,0.634812,283.181,212.131,0.0835671,0.0,0.0,0.0,255.321,173.131,0.882899,284.534,212.132,0.871043,297.082,259.497,0.86217,273.361,270.633,0.775696,283.115,269.206,0.695944,290.126,326.332,0.847432,333.309,398.738,0.82057,263.646,273.391,0.7407,237.174,333.286,0.837931,205.192,408.473,0.866783,227.5,150.908,0.244839,233.039,149.506,0.842521,0.0,0.0,0.0,246.975,146.656,0.853956,174.581,400.097,0.821504,180.139,405.696,0.8264,206.587,419.643,0.807936,304.027,419.568,0.797725,306.863,416.839,0.700851,343.075,405.684,0.761082
0,227.431,152.304,0.896336,252.523,178.687,0.785355,246.961,177.346,0.640815,0.0,0.0,0.0,0.0,0.0,0.0,256.718,178.725,0.83982,284.568,214.894,0.848322,302.68,263.671,0.900196,271.989,272.023,0.782414,278.974,270.621,0.659382,291.476,327.732,0.817578,337.431,394.524,0.825697,265.039,273.436,0.723026,230.242,333.283,0.876732,213.506,409.884,0.842244,227.397,146.728,0.552423,232.995,148.05,0.874533,0.0,0.0,0.0,249.688,149.433,0.943127,178.739,405.691,0.757482,184.331,411.29,0.759189,214.949,421.04,0.778608,316.534,416.863,0.802231,317.996,415.427,0.709403,347.204,398.746,0.760842
