,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,590.244,206.173,0.851949,637.193,239.511,0.712619,641.153,237.578,0.558621,635.259,315.92,0.156164,629.34,368.863,0.120858,635.264,241.382,0.861306,639.221,306.144,0.862334,588.339,364.924,0.820398,650.997,378.619,0.667562,649.024,378.633,0.549111,635.338,476.467,0.804828,650.867,572.589,0.814892,652.944,378.635,0.683706,635.253,476.634,0.879423,723.375,552.982,0.773055,590.178,196.349,0.0692312,600.006,194.543,0.909063,0.0,0.0,0.0,621.524,196.434,0.907073,697.939,597.999,0.762822,711.663,590.186,0.671402,739.086,552.95,0.758718,605.838,590.168,0.683381,609.801,586.329,0.660698,662.646,586.258,0.726816
0,592.149,204.223,0.8296,637.264,239.482,0.680308,645.036,235.618,0.53458,639.191,312.001,0.107973,613.702,366.838,0.134757,635.315,241.379,0.847817,646.931,306.169,0.859711,603.966,366.864,0.851779,652.936,376.679,0.669754,662.639,376.673,0.570381,649.03,474.618,0.778251,662.703,570.679,0.799334,650.877,378.585,0.706606,631.331,474.599,0.815108,705.815,554.946,0.808581,0.0,0.0,0.0,601.861,194.482,0.910377,0.0,0.0,0.0,621.522,196.378,0.921824,680.231,596.06,0.629209,688.182,592.146,0.598361,723.426,556.881,0.741689,619.53,588.289,0.748088,621.539,586.28,0.689068,670.527,584.305,0.672342
0,592.209,202.259,0.822793,643.066,239.501,0.704157,648.966,237.534,0.609285,637.219,323.727,0.15268,603.872,370.764,0.268626,635.354,241.388,0.853333,650.906,306.052,0.893681,613.73,366.927,0.802921,651.03,380.566,0.697636,662.709,380.574,0.606467,652.859,462.914,0.699175,670.555,562.787,0.688746,647.029,380.537,0.680541,621.6,474.547,0.807111,682.314,562.806,0.754405,0.0,0.0,0.0,601.893,194.44,0.915943,0.0,0.0,0.0,621.561,196.33,0.917506,639.18,588.296,0.596636,650.977,592.143,0.547842,697.951,570.665,0.742001,633.248,588.19,0.610284,633.337,584.342,0.539245,684.229,572.576,0.188278
0,598.035,202.292,0.821378,641.169,239.527,0.712931,645.044,237.581,0.613072,625.449,331.596,0.708238,586.285,370.74,0.835221,637.265,241.41,0.82345,652.928,310.028,0.775476,635.181,368.904,0.837821,660.686,378.609,0.684579,666.695,378.585,0.646014,664.72,462.848,0.842153,678.335,556.961,0.759434,648.976,380.527,0.694501,617.691,466.787,0.848088,662.663,570.635,0.807101,0.0,0.0,0.0,602.012,194.455,0.920975,0.0,0.0,0.0,625.457,196.33,0.899956,617.555,590.27,0.80472,629.351,596.105,0.741305,674.473,576.522,0.686924,615.679,588.158,0.0639938,0.0,0.0,0.0,688.127,570.524,0.580782
0,598.034,202.303,0.822068,643.114,241.407,0.741093,646.996,239.524,0.649681,627.439,325.711,0.678319,574.543,366.774,0.816275,639.156,241.445,0.83543,664.557,308.076,0.752842,650.846,372.776,0.801205,656.834,372.757,0.694073,668.569,370.796,0.678827,672.456,462.792,0.79382,695.94,560.836,0.764714,646.977,376.683,0.694844,617.616,462.937,0.868012,635.179,580.417,0.823352,0.0,0.0,0.0,602.006,194.461,0.932063,0.0,0.0,0.0,625.474,196.348,0.898708,586.282,588.34,0.749427,598.062,597.985,0.738402,647.016,588.304,0.818586,666.547,584.31,0.432524,670.529,578.413,0.303235,701.911,574.496,0.669174
0,598.062,202.328,0.815138,639.171,241.491,0.763925,637.224,241.507,0.694225,617.686,329.644,0.728554,568.572,357.06,0.771439,641.144,241.458,0.827808,666.566,310.034,0.732469,670.542,396.191,0.765953,652.937,380.52,0.700188,666.624,378.57,0.648406,680.397,464.872,0.795516,709.644,562.738,0.69937,646.966,382.464,0.714908,615.683,472.639,0.814046,607.8,580.408,0.769086,0.0,0.0,0.0,603.819,194.486,0.91809,0.0,0.0,0.0,625.442,196.366,0.897238,558.843,586.273,0.771054,572.509,592.127,0.81004,617.648,594.125,0.800721,672.478,586.332,0.567693,678.351,584.345,0.49879,715.636,572.647,0.587922
0,599.967,206.223,0.838724,641.12,243.364,0.760526,641.128,243.385,0.668562,617.693,325.725,0.781628,558.886,351.239,0.828974,639.174,241.517,0.842154,668.592,312.02,0.713106,682.339,384.442,0.815495,660.695,384.441,0.733905,670.538,382.52,0.679721,684.305,466.78,0.736094,719.505,560.846,0.705897,648.921,384.524,0.731271,615.676,476.542,0.836213,586.325,576.52,0.818951,0.0,0.0,0.0,603.85,196.371,0.924955,0.0,0.0,0.0,625.499,196.483,0.8635,537.282,570.671,0.827106,545.11,580.398,0.759526,588.337,596.042,0.780472,684.234,586.331,0.606887,690.122,584.35,0.512298,731.254,572.642,0.623783
0,594.112,208.13,0.847821,637.208,243.429,0.786595,635.315,243.48,0.69663,617.543,325.759,0.798681,554.943,349.167,0.814255,637.217,241.54,0.866286,672.465,304.173,0.827833,695.892,370.792,0.845852,662.628,386.467,0.730339,670.566,384.529,0.665209,694.035,472.673,0.806164,729.325,556.887,0.770233,648.984,388.437,0.693917,613.74,476.534,0.856628,570.694,574.505,0.831143,596.039,198.34,0.0638377,601.945,196.455,0.919726,0.0,0.0,0.0,625.446,200.324,0.829629,523.623,558.836,0.834851,533.344,570.553,0.750312,572.596,590.238,0.813204,697.979,586.189,0.610964,701.875,582.331,0.505787,743.06,568.681,0.596604
0,592.193,208.174,0.861092,637.262,243.498,0.806889,643.076,243.392,0.737823,613.7,327.715,0.739634,554.855,347.267,0.785424,635.267,245.383,0.849952,676.36,304.156,0.822022,699.87,370.756,0.836073,662.691,386.498,0.727926,676.391,384.554,0.668028,696.055,468.738,0.788878,743.081,556.821,0.760635,648.914,390.37,0.679167,605.872,476.519,0.864217,570.617,572.654,0.84192,592.139,198.396,0.0586161,601.872,196.505,0.909132,0.0,0.0,0.0,621.589,198.437,0.861121,523.556,558.85,0.828653,531.396,570.568,0.74331,572.541,590.197,0.826087,711.685,586.211,0.689373,713.698,582.369,0.582202,758.678,566.716,0.630222
0,592.203,210.173,0.861167,635.346,247.35,0.784998,641.16,245.372,0.712341,609.808,331.6,0.74827,550.99,347.293,0.774497,633.352,249.329,0.824103,678.369,306.047,0.844866,707.725,372.719,0.802025,660.754,392.304,0.702576,678.29,390.388,0.668144,697.985,476.511,0.844227,754.719,554.846,0.73832,645.027,392.345,0.662165,602.044,476.511,0.8763,576.464,576.527,0.757999,0.0,0.0,0.0,600.026,200.349,0.849522,0.0,0.0,0.0,619.654,202.303,0.861889,527.472,568.632,0.780206,539.188,574.567,0.747791,578.459,596.045,0.708222,725.409,584.269,0.653758,729.272,578.446,0.56729,766.499,558.855,0.622823
