,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,252.56,102.172,0.91781,216.299,131.42,0.878606,209.357,128.604,0.861559,180.092,181.519,0.844396,171.731,235.779,0.837589,221.89,135.572,0.826558,216.311,194.002,0.808372,241.372,230.284,0.887414,188.477,234.447,0.659383,189.84,235.831,0.686376,221.917,302.602,0.832024,249.749,380.633,0.85398,188.464,233.055,0.461051,153.63,297.106,0.812997,117.449,369.5,0.839894,249.76,95.191,0.942805,0.0,0.0,0.0,233.055,96.574,0.93262,0.0,0.0,0.0,143.888,390.391,0.617241,139.769,387.594,0.554879,106.368,376.438,0.844044,283.146,382.038,0.765361,278.966,386.158,0.775793,245.585,390.4,0.786646
0,251.109,107.753,0.912305,217.67,136.921,0.860589,212.176,135.542,0.84533,185.694,184.286,0.858592,178.736,248.313,0.787896,223.242,138.312,0.802474,217.757,198.214,0.80845,245.535,231.601,0.855184,192.636,242.792,0.724592,181.509,241.416,0.669006,153.698,298.495,0.764977,114.645,370.901,0.869672,202.42,244.191,0.70401,224.64,304.023,0.871916,242.809,383.44,0.838792,249.757,100.715,0.879114,0.0,0.0,0.0,234.45,96.5949,0.920013,0.0,0.0,0.0,277.605,391.794,0.810325,276.173,387.579,0.785108,237.24,394.553,0.803684,138.371,393.105,0.82299,129.962,393.143,0.81498,104.886,375.097,0.869955
0,251.179,111.882,0.902751,217.699,136.979,0.861772,212.137,136.918,0.83383,185.707,189.832,0.838772,181.501,242.771,0.869826,224.64,138.346,0.802212,219.099,196.832,0.746846,245.537,228.839,0.890052,195.471,248.318,0.739029,195.409,248.361,0.719803,226.04,306.855,0.886411,238.638,386.228,0.856943,198.231,246.972,0.611259,152.298,306.79,0.877649,114.624,366.66,0.837442,251.101,103.546,0.926447,0.0,0.0,0.0,235.781,97.9669,0.910338,0.0,0.0,0.0,131.417,393.17,0.718013,128.597,391.743,0.618771,103.532,372.259,0.847666,274.805,393.19,0.7587,266.435,397.334,0.777099,233.029,395.984,0.864121
0,253.902,107.752,0.892329,219.063,138.311,0.835642,216.283,138.339,0.847328,189.867,189.844,0.837583,185.689,244.168,0.851701,224.646,138.346,0.759688,219.091,195.477,0.699047,246.943,228.865,0.896915,195.47,245.569,0.718678,198.206,246.953,0.720675,226.031,310.967,0.781655,235.787,391.727,0.809868,194.036,244.187,0.527153,161.979,306.822,0.777003,116.059,362.488,0.787621,251.186,102.098,0.901956,0.0,0.0,0.0,235.821,99.3287,0.910348,0.0,0.0,0.0,129.98,397.316,0.577083,128.619,393.167,0.547219,104.882,365.289,0.652513,270.62,400.103,0.797026,262.275,404.279,0.817501,227.425,400.091,0.827982
0,256.664,104.888,0.916751,220.515,138.391,0.786375,217.711,139.713,0.869635,201.009,199.631,0.693185,192.635,251.114,0.769732,226.088,139.719,0.707163,217.734,196.84,0.643022,242.814,230.208,0.816216,196.804,245.58,0.723095,188.462,245.545,0.673269,169.009,311.003,0.853865,113.319,368.096,0.851979,205.183,246.943,0.684932,223.31,306.858,0.854669,227.49,391.744,0.848354,252.504,96.5957,0.933645,0.0,0.0,0.0,237.177,97.9733,0.956783,0.0,0.0,0.0,260.842,405.683,0.85964,259.482,401.491,0.787018,219.146,400.133,0.813354,130.013,398.756,0.832356,121.66,397.295,0.766203,102.159,368.102,0.860988
0,255.272,106.345,0.895166,219.133,138.367,0.766705,217.685,138.354,0.844211,199.65,195.472,0.824887,203.785,251.114,0.895189,224.668,139.724,0.665705,220.498,205.137,0.740465,244.134,235.831,0.874948,198.215,252.489,0.71277,191.215,251.141,0.688433,178.716,313.816,0.875435,118.905,362.571,0.871979,206.579,252.516,0.674621,220.538,309.602,0.841002,221.887,394.544,0.80186,252.489,99.3254,0.906358,0.0,0.0,0.0,237.163,97.9647,0.946947,0.0,0.0,0.0,255.276,408.478,0.832394,253.932,404.307,0.786658,213.526,404.27,0.845683,127.192,393.184,0.803043,117.471,388.943,0.732871,110.46,362.517,0.849568
0,255.309,106.318,0.931602,217.735,138.326,0.765906,219.103,138.387,0.843962,205.209,201.0,0.791297,214.906,249.751,0.893446,214.945,136.92,0.599901,209.361,201.017,0.476826,228.887,233.055,0.862086,194.05,248.312,0.711909,198.213,249.723,0.691878,216.296,313.756,0.875404,214.965,397.296,0.83691,189.829,245.569,0.623128,195.392,313.804,0.827943,128.645,361.136,0.854984,252.507,99.3271,0.927402,0.0,0.0,0.0,235.819,97.9933,0.945771,0.0,0.0,0.0,125.797,398.731,0.770551,124.389,395.94,0.717709,117.485,361.095,0.761691,249.75,409.83,0.788406,241.397,412.673,0.817712,206.579,405.654,0.898849
0,255.288,106.313,0.907181,217.693,138.302,0.842721,223.271,139.735,0.861658,212.162,201.002,0.844349,223.31,251.084,0.903715,210.752,135.594,0.737604,207.992,201.0,0.189071,230.234,237.187,0.266577,198.245,245.536,0.70933,203.786,246.916,0.719186,213.523,317.942,0.866075,207.926,398.687,0.829757,194.031,244.162,0.624369,200.961,316.603,0.849841,138.351,362.513,0.854551,251.171,98.0121,0.907566,0.0,0.0,0.0,235.793,99.3805,0.93082,0.0,0.0,0.0,136.949,401.496,0.795653,136.962,397.366,0.755103,127.176,361.14,0.736907,242.783,411.258,0.801926,233.052,414.059,0.797112,198.253,407.055,0.835168
0,252.494,110.513,0.88556,216.273,138.382,0.745996,217.745,139.767,0.855819,214.909,201.024,0.882143,234.385,253.907,0.894386,209.334,136.972,0.618348,200.993,196.849,0.0600953,0.0,0.0,0.0,203.754,244.193,0.65822,205.146,245.562,0.719533,210.733,316.554,0.82763,200.997,401.507,0.848428,201.023,244.171,0.549315,205.194,315.146,0.813469,152.227,363.87,0.866706,249.772,103.507,0.918585,0.0,0.0,0.0,231.672,100.738,0.919982,0.0,0.0,0.0,153.659,398.749,0.773592,150.923,395.907,0.702431,141.12,363.886,0.750461,234.427,414.054,0.822505,226.089,416.835,0.872566,193.991,408.503,0.856641
0,253.892,109.152,0.896295,216.266,139.787,0.766651,219.067,142.502,0.857776,219.101,205.144,0.907532,245.586,256.72,0.886189,209.341,139.695,0.641697,206.536,200.98,0.0709988,0.0,0.0,0.0,203.756,249.733,0.609991,205.173,251.117,0.668171,203.824,320.738,0.723294,194.02,404.259,0.853926,200.984,248.358,0.458452,207.932,316.603,0.709529,163.384,369.451,0.842385,251.1,103.519,0.94159,0.0,0.0,0.0,231.67,103.575,0.944933,0.0,0.0,0.0,170.404,404.268,0.791271,168.994,398.684,0.678489,150.903,369.481,0.774173,230.242,416.85,0.807647,220.513,419.613,0.818275,185.691,409.846,0.872466
