,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,240.03,93.8429,0.94139,248.3,128.673,0.884095,209.385,134.182,0.779404,192.616,191.24,0.845914,175.928,249.687,0.859724,281.781,127.226,0.858868,306.853,181.46,0.871533,315.168,226.056,0.850588,249.781,237.226,0.734871,221.882,238.572,0.665823,224.669,337.466,0.726165,220.49,416.796,0.752784,276.228,237.201,0.673613,271.946,330.515,0.8167,272.005,429.359,0.829163,234.421,88.2179,0.838599,249.69,85.4798,0.915091,227.379,95.2292,0.76782,260.857,93.8055,0.915344,270.577,450.188,0.690886,281.742,447.455,0.723002,269.236,437.701,0.585661,219.147,433.553,0.687187,210.751,430.753,0.688235,226.07,421.012,0.617227
0,241.366,93.8462,0.947184,248.368,130.001,0.892921,212.122,135.566,0.779235,192.657,191.253,0.856013,178.733,249.708,0.841681,283.135,127.244,0.874434,308.235,181.536,0.86809,315.198,226.043,0.853824,251.072,238.577,0.743974,223.26,238.609,0.669196,224.674,338.829,0.733615,220.501,416.804,0.749648,277.584,238.564,0.677274,271.939,334.659,0.79718,271.967,430.722,0.813792,235.816,88.2003,0.850629,249.741,85.4751,0.927275,227.396,95.2013,0.705214,260.933,93.7927,0.892745,270.586,450.25,0.679704,281.732,448.863,0.728471,266.447,439.08,0.613854,219.117,434.897,0.69414,210.737,430.759,0.692232,227.396,421.023,0.620418
0,242.772,93.841,0.920949,249.746,130.021,0.916624,214.914,135.546,0.801411,194.021,192.638,0.904453,181.472,248.354,0.863986,284.519,128.552,0.877598,311.001,182.832,0.864141,316.533,224.69,0.851663,251.088,238.568,0.742336,224.644,238.597,0.672775,224.693,337.469,0.690251,220.525,416.781,0.739132,277.597,238.578,0.67182,270.626,336.066,0.791764,271.975,430.754,0.806608,237.225,86.8581,0.871109,251.106,85.4635,0.929358,228.794,95.1968,0.691801,262.286,93.7814,0.892816,271.982,450.244,0.728897,283.119,448.841,0.778179,266.426,439.132,0.630233,219.119,434.913,0.689657,210.743,430.767,0.685866,227.422,420.991,0.61568
0,246.936,93.8444,0.913529,251.099,130.014,0.914252,216.292,135.534,0.820851,194.098,192.618,0.900882,182.874,246.929,0.851932,285.922,128.542,0.883865,315.155,181.52,0.871054,316.577,224.648,0.854736,251.124,239.946,0.752312,224.653,239.962,0.678081,226.07,338.788,0.713007,221.869,416.775,0.731525,278.992,239.974,0.690106,270.619,337.437,0.803798,271.96,432.144,0.782549,238.613,86.8497,0.908395,252.513,85.4583,0.89927,228.889,95.1368,0.766924,263.668,93.7609,0.879358,271.953,451.579,0.692117,281.775,450.213,0.750454,265.056,440.504,0.623518,219.104,434.925,0.683965,210.74,430.771,0.678733,227.422,420.996,0.612262
0,248.366,93.8073,0.9256,251.18,130.001,0.899091,216.338,134.162,0.828916,195.466,191.241,0.886245,184.25,248.289,0.86423,288.7,128.559,0.854886,316.577,181.465,0.896581,317.937,226.012,0.887356,251.145,239.987,0.740114,224.69,239.977,0.673991,226.07,338.826,0.716933,221.909,416.774,0.721892,280.387,240.013,0.700815,271.97,337.471,0.825068,271.952,432.165,0.783058,240.006,86.8197,0.906575,255.295,85.4355,0.871182,231.662,95.127,0.712545,267.821,93.742,0.841576,269.227,451.677,0.688543,280.383,451.584,0.753652,266.443,440.474,0.63382,219.081,434.937,0.672054,210.73,430.771,0.663418,227.462,421.012,0.614957
0,251.079,93.7796,0.938247,253.896,129.975,0.862106,217.693,132.797,0.813446,196.877,188.488,0.836339,187.083,244.144,0.812313,292.85,128.549,0.843134,317.922,181.537,0.915826,319.328,223.296,0.862842,252.497,239.962,0.727244,226.067,239.947,0.687053,227.378,338.83,0.737643,223.288,416.83,0.730429,281.772,240.015,0.719757,271.977,336.078,0.810626,271.96,434.926,0.777296,242.759,85.4851,0.866809,259.453,84.125,0.900761,235.789,95.1242,0.748171,270.628,93.7104,0.857039,269.24,451.69,0.700395,281.719,451.597,0.769151,266.46,440.53,0.607906,217.762,434.943,0.692827,210.732,430.762,0.683037,227.485,423.788,0.629463
0,251.175,93.7529,0.940381,258.094,128.598,0.893979,219.153,129.972,0.824354,200.999,187.106,0.827277,192.64,245.566,0.832822,294.29,127.229,0.8794,318.042,181.504,0.891805,320.756,224.668,0.826294,252.569,239.948,0.705276,227.426,238.605,0.68795,227.409,334.664,0.689118,224.664,415.421,0.707092,283.113,239.982,0.711305,271.978,336.078,0.803636,271.969,436.298,0.770286,245.574,85.4374,0.872315,260.849,84.0673,0.957979,237.211,93.8326,0.730752,272.073,92.3643,0.860531,266.43,453.037,0.682138,278.955,451.678,0.73378,269.235,441.872,0.571131,217.752,434.928,0.65462,210.73,430.723,0.653793,227.501,419.644,0.575217
0,253.944,92.4244,0.879499,260.819,128.588,0.935915,223.286,128.645,0.803756,203.796,185.692,0.87447,194.043,241.368,0.90079,295.703,127.223,0.86872,322.158,181.497,0.841727,326.267,224.661,0.81072,255.328,239.956,0.698101,227.505,238.612,0.703,227.488,334.683,0.650999,226.025,414.056,0.662565,283.18,240.02,0.714937,272.044,336.039,0.818371,271.961,434.939,0.758215,249.673,84.0543,0.947869,262.288,84.0157,0.979533,239.926,93.7089,0.747682,273.464,91.0112,0.843669,265.063,453.046,0.692373,278.954,451.695,0.749038,269.213,440.547,0.56069,217.733,434.933,0.591835,210.767,430.725,0.578565,228.802,419.628,0.518966
0,259.43,91.0057,0.866291,262.276,127.235,0.938349,227.44,128.574,0.866242,205.198,184.323,0.920342,195.451,238.614,0.910725,298.481,127.143,0.827728,326.325,180.099,0.853339,327.692,221.9,0.854862,259.476,238.557,0.708402,228.912,237.187,0.661171,227.488,336.039,0.631226,226.018,415.379,0.730428,284.554,239.963,0.698855,273.375,337.411,0.83347,271.962,434.918,0.768486,251.064,84.0082,0.970458,263.698,82.6898,0.934781,240.057,93.7193,0.768771,276.198,89.5939,0.807505,265.054,454.394,0.701898,278.964,453.026,0.769697,269.213,440.506,0.582834,219.102,436.303,0.69918,210.76,430.747,0.692436,228.802,419.592,0.603456
0,260.864,88.2134,0.884308,263.667,127.166,0.899549,228.797,127.2,0.864432,206.555,182.914,0.92764,198.206,237.218,0.850377,302.638,125.786,0.807014,327.744,178.727,0.882752,327.747,223.281,0.855555,260.846,238.613,0.726596,230.252,238.577,0.66289,228.841,338.86,0.778342,226.03,415.394,0.750683,285.945,240.011,0.68353,273.43,338.792,0.867124,271.971,432.138,0.793507,251.207,82.6563,0.933826,267.836,82.6074,0.895587,244.15,92.3511,0.716922,280.335,85.4692,0.823585,265.036,453.03,0.716601,278.957,451.695,0.768764,267.845,439.145,0.60508,221.872,436.334,0.732707,212.143,430.767,0.720339,228.818,419.592,0.597951
