,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,281.755,81.2724,0.869798,317.972,107.717,0.451329,309.603,111.882,0.223666,0.0,0.0,0.0,0.0,0.0,0.0,318.025,99.3387,0.742748,329.132,160.577,0.853608,295.702,228.887,0.85892,352.757,226.064,0.492743,361.1,226.074,0.332311,294.27,351.385,0.27142,281.771,471.117,0.0664718,349.967,224.66,0.449364,285.988,351.352,0.790451,283.103,480.849,0.680491,0.0,0.0,0.0,285.911,71.444,0.903264,0.0,0.0,0.0,308.25,70.0947,0.826011,235.801,489.211,0.531869,248.333,494.753,0.533041,292.88,487.837,0.615062,230.269,485.037,0.053514,0.0,0.0,0.0,0.0,0.0,0.0
0,280.353,82.5962,0.866336,317.927,107.73,0.456465,309.626,110.51,0.217525,0.0,0.0,0.0,0.0,0.0,0.0,317.936,100.732,0.765055,331.88,160.601,0.851059,295.738,228.875,0.843194,351.405,227.424,0.473472,359.71,226.078,0.308186,295.64,358.307,0.472677,271.98,469.71,0.420022,349.975,224.683,0.440506,287.35,352.763,0.748719,274.794,483.648,0.623582,0.0,0.0,0.0,284.558,71.4497,0.918454,0.0,0.0,0.0,308.218,70.1089,0.829493,220.509,485.008,0.441301,227.469,489.235,0.387571,284.497,493.348,0.691927,219.112,479.456,0.270854,221.884,475.347,0.232184,283.126,480.831,0.105527
0,276.22,82.6264,0.871495,316.532,109.099,0.46246,306.85,113.291,0.230203,0.0,0.0,0.0,0.0,0.0,0.0,316.588,102.138,0.776768,334.646,160.604,0.842718,297.052,228.891,0.825743,349.988,228.822,0.450361,354.164,227.466,0.287445,295.696,354.155,0.379191,273.364,465.545,0.242343,347.208,227.463,0.424573,291.492,352.759,0.734961,273.377,483.601,0.683405,0.0,0.0,0.0,283.165,71.4884,0.937644,0.0,0.0,0.0,305.463,71.435,0.875122,221.897,482.266,0.451333,228.82,485.101,0.448359,283.084,493.386,0.680948,219.096,476.723,0.112809,220.523,475.344,0.0725942,283.174,483.68,0.0607034
0,273.477,82.6431,0.911711,312.399,107.746,0.503563,306.821,111.89,0.284817,0.0,0.0,0.0,0.0,0.0,0.0,315.128,102.126,0.734586,336.081,160.644,0.870128,297.085,228.891,0.825725,349.954,228.854,0.461163,352.767,228.835,0.294376,295.689,359.721,0.376663,274.775,476.69,0.211293,345.816,228.875,0.455386,291.481,356.95,0.696521,273.465,483.686,0.641177,0.0,0.0,0.0,283.076,71.5077,0.925002,0.0,0.0,0.0,304.05,71.4417,0.858982,224.652,485.023,0.547049,230.237,490.597,0.503349,284.528,494.744,0.628164,248.331,468.319,0.0608376,256.612,462.777,0.059848,285.964,486.474,0.0813794
0,272.041,82.6464,0.898304,309.585,109.111,0.502512,304.034,114.669,0.292106,0.0,0.0,0.0,0.0,0.0,0.0,312.396,102.132,0.73179,338.778,160.598,0.888301,297.101,228.81,0.824215,348.607,228.854,0.47487,354.155,227.476,0.312073,295.669,358.337,0.372404,276.192,476.678,0.140185,344.414,230.239,0.462022,291.507,358.343,0.693798,276.195,483.683,0.631851,271.995,72.9917,0.0555217,278.963,71.5077,0.882957,0.0,0.0,0.0,299.857,71.4414,0.826916,227.441,486.427,0.650959,235.808,493.371,0.54123,285.99,493.413,0.591585,227.456,483.663,0.13948,228.842,483.666,0.0852499,294.281,494.686,0.0650861
0,270.582,82.5947,0.847189,306.861,111.892,0.479021,299.862,117.475,0.274467,0.0,0.0,0.0,0.0,0.0,0.0,309.604,103.516,0.744217,338.816,159.249,0.876814,295.758,227.482,0.824234,347.195,230.26,0.450119,356.936,228.851,0.301757,301.245,369.482,0.490326,273.427,479.465,0.428125,340.238,233.011,0.466986,294.234,362.566,0.738511,281.706,487.818,0.557127,0.0,0.0,0.0,273.445,71.4836,0.924338,0.0,0.0,0.0,297.104,70.1349,0.845509,228.909,492.01,0.424561,235.807,496.118,0.346972,290.128,494.829,0.522079,227.457,487.811,0.37024,228.837,485.066,0.335125,292.864,493.349,0.109707
0,266.423,81.2805,0.821518,304.015,113.276,0.559216,294.295,118.876,0.354775,277.608,181.497,0.158544,276.217,228.876,0.249249,306.868,103.497,0.770301,338.816,159.199,0.862238,295.67,227.479,0.851337,341.638,230.237,0.453313,347.203,228.849,0.290249,301.25,368.065,0.42093,283.101,479.466,0.243556,338.869,230.266,0.461425,294.321,365.302,0.724139,283.124,485.043,0.591797,0.0,0.0,0.0,272.061,70.1273,0.913865,0.0,0.0,0.0,295.691,70.0922,0.873197,230.252,492.023,0.519015,238.597,494.803,0.463396,294.275,494.763,0.548087,230.252,490.63,0.122018,238.593,485.08,0.0882107,299.835,493.382,0.10147
0,263.657,81.2738,0.874275,301.246,113.294,0.641316,294.282,118.885,0.470625,297.114,182.896,0.333196,277.61,227.408,0.646815,306.78,102.163,0.760153,338.787,159.186,0.846192,294.325,228.853,0.847082,341.617,230.26,0.492451,347.189,228.87,0.321993,305.36,372.223,0.606807,278.992,480.857,0.434569,338.847,231.637,0.499294,294.32,363.956,0.731606,284.602,485.082,0.591877,0.0,0.0,0.0,271.939,71.4266,0.900389,0.0,0.0,0.0,294.304,70.064,0.858121,239.955,494.762,0.265562,253.911,508.716,0.198214,295.708,494.754,0.601684,233.021,494.774,0.463971,233.024,492.004,0.404129,294.282,486.446,0.117455
0,262.273,79.872,0.878206,297.1,114.677,0.688284,290.134,123.031,0.47513,297.112,187.084,0.373613,263.699,237.2,0.644562,305.467,102.149,0.760965,337.44,156.459,0.809364,294.22,228.851,0.825818,340.228,230.261,0.487926,341.642,230.232,0.315832,304.043,372.239,0.531925,284.597,476.706,0.359404,338.833,231.635,0.479753,295.641,366.674,0.702428,288.71,486.422,0.580204,0.0,0.0,0.0,269.24,70.1238,0.86581,0.0,0.0,0.0,294.226,68.7092,0.81415,238.616,494.745,0.387819,242.767,496.226,0.325571,299.847,494.753,0.559784,237.21,494.775,0.308957,238.556,491.989,0.254895,304.024,489.209,0.11298
0,260.918,78.4555,0.870617,297.093,111.889,0.60505,290.123,123.03,0.384947,302.634,185.705,0.354615,260.908,237.211,0.77645,305.38,97.9452,0.741826,336.057,156.464,0.793494,291.523,228.828,0.815659,338.848,228.857,0.471332,340.257,228.827,0.316003,305.362,372.308,0.61666,285.972,482.257,0.482906,336.075,228.872,0.45332,295.642,369.465,0.707654,292.915,486.455,0.565387,0.0,0.0,0.0,266.433,65.937,0.820115,0.0,0.0,0.0,290.124,63.1658,0.796537,242.763,494.785,0.240109,253.913,497.625,0.208752,305.375,494.753,0.560754,239.948,494.826,0.478895,239.965,493.38,0.431921,305.454,489.252,0.157884
