,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,0.0,0.0,0.0,239.951,121.621,0.864097,283.18,127.174,0.814026,309.635,189.876,0.809148,330.535,251.072,0.871902,195.498,118.842,0.823144,166.196,182.892,0.84533,150.891,238.613,0.877827,235.798,234.429,0.52932,272.015,233.037,0.509306,263.635,361.145,0.805068,260.9,472.525,0.773023,199.631,235.81,0.50372,208.015,355.559,0.792603,206.622,450.235,0.808575,0.0,0.0,0.0,0.0,0.0,0.0,262.308,84.0519,0.593096,227.476,82.6925,0.651517,199.624,440.537,0.413346,195.465,447.436,0.563779,209.36,461.38,0.806334,260.862,494.832,0.518436,260.903,494.752,0.483895,262.244,483.684,0.661193
0,0.0,0.0,0.0,239.931,124.383,0.85838,283.151,127.225,0.830589,306.867,185.709,0.888972,327.717,249.775,0.863879,195.461,120.234,0.815057,164.784,181.475,0.824268,149.535,238.572,0.841723,234.412,234.409,0.542497,270.579,230.262,0.496355,262.288,362.539,0.728734,260.909,466.949,0.774652,201.018,237.183,0.495766,209.359,352.792,0.800069,206.568,450.262,0.774486,0.0,0.0,0.0,0.0,0.0,0.0,262.244,84.0225,0.575606,227.455,82.6801,0.720358,207.982,457.195,0.311041,199.621,454.413,0.407199,207.947,461.396,0.765115,265.047,496.123,0.67762,256.684,494.769,0.667821,262.255,473.886,0.583493
0,0.0,0.0,0.0,238.554,125.777,0.863949,280.369,127.188,0.808863,305.462,187.106,0.889183,322.161,249.723,0.850565,195.398,123.051,0.807383,162.078,181.488,0.875823,148.114,239.976,0.884151,231.619,234.413,0.54621,267.844,230.236,0.515529,270.584,329.117,0.259861,0.0,0.0,0.0,198.201,237.2,0.522666,210.74,354.167,0.772217,206.644,450.266,0.801197,0.0,0.0,0.0,0.0,0.0,0.0,260.893,85.4106,0.563051,227.393,84.0141,0.713601,199.6,441.926,0.284282,195.455,448.853,0.435426,209.343,461.407,0.704276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,238.517,127.2,0.883267,278.96,128.618,0.791712,305.376,191.246,0.872639,317.945,251.081,0.912736,195.382,125.784,0.808575,162.055,175.967,0.852193,143.921,239.981,0.835313,230.245,235.814,0.541904,265.059,230.26,0.487657,265.061,343.018,0.443944,260.932,465.564,0.730174,198.208,238.59,0.487913,210.752,358.319,0.746704,209.352,451.626,0.7728,0.0,0.0,0.0,0.0,0.0,0.0,260.861,85.4123,0.55062,224.67,84.0725,0.656251,195.421,444.684,0.38211,194.05,450.235,0.543415,214.891,462.789,0.704612,259.495,493.395,0.400878,260.881,489.228,0.356629,262.236,473.959,0.588277
0,0.0,0.0,0.0,235.794,128.555,0.864799,274.852,128.638,0.803776,303.98,195.419,0.856257,312.367,248.352,0.828973,193.992,127.231,0.82645,161.968,175.957,0.872318,141.16,238.634,0.837556,237.161,233.033,0.51869,270.635,230.225,0.518561,263.676,347.21,0.603713,260.822,461.349,0.760196,202.406,235.824,0.48536,212.157,356.941,0.758402,207.999,451.619,0.808962,0.0,0.0,0.0,0.0,0.0,0.0,258.104,91.011,0.392096,220.525,88.2284,0.74684,196.877,447.449,0.375554,195.423,450.274,0.549516,212.156,462.729,0.772823,263.678,494.836,0.643111,253.938,493.403,0.6499,259.476,464.207,0.522878
0,0.0,0.0,0.0,234.407,128.561,0.868053,274.828,130.025,0.809816,297.094,198.212,0.851865,305.47,249.744,0.902575,192.638,127.144,0.822972,160.646,175.923,0.878827,143.891,235.808,0.80836,231.663,231.65,0.544667,267.835,228.856,0.524281,263.649,329.081,0.505736,260.866,464.175,0.67816,199.609,235.815,0.516121,210.776,354.19,0.766994,207.977,450.229,0.790154,0.0,0.0,0.0,0.0,0.0,0.0,256.697,91.0049,0.556564,217.785,88.1996,0.604075,196.841,450.264,0.31043,195.409,453.006,0.460296,210.735,461.34,0.669154,262.261,494.774,0.471929,252.521,493.383,0.487249,263.645,472.521,0.452932
0,0.0,0.0,0.0,230.272,128.594,0.884572,273.448,131.389,0.818538,295.711,198.204,0.872822,301.239,248.359,0.784531,188.479,127.198,0.8169,159.185,178.709,0.832378,146.688,238.578,0.858193,230.242,241.372,0.577928,263.669,239.987,0.539299,263.706,330.497,0.349729,260.828,361.143,0.138289,198.233,241.379,0.509306,212.114,352.783,0.790964,207.962,451.629,0.783532,0.0,0.0,0.0,0.0,0.0,0.0,253.9,92.3991,0.5706,216.356,90.9894,0.64137,196.852,450.282,0.25029,195.408,453.062,0.377011,209.36,462.729,0.641739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,228.8,128.569,0.920998,271.961,129.999,0.828466,294.3,192.625,0.915018,297.084,239.937,0.843058,184.324,127.193,0.858861,155.036,182.915,0.858467,149.501,240.051,0.869775,228.917,237.19,0.559941,263.643,234.416,0.52918,262.302,329.119,0.499883,260.851,461.374,0.782681,198.204,238.577,0.524191,210.756,356.945,0.769653,208.0,451.635,0.784831,0.0,0.0,0.0,0.0,0.0,0.0,251.171,93.7592,0.662443,216.246,92.4019,0.699328,198.223,448.848,0.223356,195.415,451.657,0.373562,209.361,462.744,0.677258,270.594,494.757,0.593925,258.071,493.355,0.574942,260.877,466.935,0.565988
0,0.0,0.0,0.0,227.473,128.574,0.92126,270.572,129.977,0.813889,294.211,194.017,0.91013,294.285,239.984,0.845971,184.279,127.212,0.858879,156.428,181.513,0.851122,152.242,238.601,0.869144,228.859,238.571,0.571403,260.917,234.422,0.544776,262.228,349.966,0.706975,260.925,460.005,0.799787,196.838,239.979,0.522871,209.35,355.58,0.775769,208.005,451.655,0.791683,0.0,0.0,0.0,0.0,0.0,0.0,249.707,89.5853,0.556411,214.932,88.241,0.636908,205.147,450.251,0.391459,198.224,453.006,0.520046,209.372,462.768,0.783752,267.817,493.39,0.615245,258.103,490.608,0.584159,260.902,469.718,0.594577
0,0.0,0.0,0.0,227.425,128.56,0.907123,269.21,129.972,0.794636,287.315,194.068,0.848182,292.893,239.94,0.814941,182.952,127.204,0.849474,155.081,182.838,0.854844,156.438,239.929,0.861455,228.905,241.382,0.589221,265.057,240.002,0.545706,260.89,354.195,0.816333,260.809,457.192,0.774638,195.486,241.398,0.560665,210.739,359.728,0.818598,208.004,451.644,0.801977,0.0,0.0,0.0,0.0,0.0,0.0,249.662,88.2302,0.510593,213.547,88.2387,0.63018,195.503,450.271,0.464482,195.397,453.026,0.622069,212.145,462.771,0.780219,269.212,486.445,0.624986,256.702,485.02,0.653304,259.489,462.822,0.585907
0,0.0,0.0,0.0,226.028,128.6,0.885254,265.075,129.987,0.791748,290.115,205.156,0.783405,284.57,226.077,0.055166,182.915,127.26,0.849362,155.071,181.524,0.847786,159.234,233.048,0.824073,228.909,235.797,0.566317,262.297,230.261,0.547253,260.898,343.013,0.626829,260.919,457.174,0.754141,198.22,238.575,0.52908,207.992,355.571,0.767397,209.358,451.668,0.784563,0.0,0.0,0.0,0.0,0.0,0.0,246.954,91.0047,0.629007,209.349,91.0013,0.615031,198.203,451.651,0.358898,195.473,455.809,0.502661,212.152,462.774,0.74213,263.653,493.381,0.635392,256.7,489.215,0.589802,263.659,464.144,0.471781
0,0.0,0.0,0.0,223.271,128.624,0.861694,263.633,129.985,0.842458,283.207,194.013,0.897035,284.584,220.514,0.345283,182.852,127.246,0.844763,153.662,180.122,0.835047,159.256,231.649,0.848052,228.856,240.025,0.610099,262.288,238.565,0.569366,260.848,331.89,0.730021,260.885,451.606,0.746803,195.488,242.778,0.548148,207.945,356.948,0.771404,209.375,450.271,0.739688,0.0,0.0,0.0,0.0,0.0,0.0,242.807,92.4,0.640744,206.603,91.0188,0.606837,206.627,462.791,0.296549,205.196,462.78,0.378072,212.126,461.403,0.690423,265.039,490.601,0.586818,256.687,486.423,0.577655,260.9,458.571,0.438238
0,0.0,0.0,0.0,220.498,128.641,0.86803,262.319,130.004,0.840694,283.194,195.43,0.935984,281.732,231.63,0.185783,181.499,128.553,0.833946,152.28,181.466,0.848714,160.61,234.405,0.827885,228.836,241.383,0.604947,262.271,238.61,0.572317,260.838,330.521,0.833797,0.0,0.0,0.0,195.465,244.173,0.542075,207.958,356.962,0.77095,210.736,450.277,0.800444,0.0,0.0,0.0,0.0,0.0,0.0,242.774,92.4217,0.645533,206.584,92.3844,0.615886,195.389,459.963,0.510217,196.82,461.35,0.590881,216.281,461.368,0.76889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,219.104,128.564,0.891251,260.927,128.648,0.854939,283.162,195.448,0.809471,288.74,238.563,0.277935,181.489,127.216,0.832991,150.924,181.476,0.867034,160.607,233.017,0.821118,228.807,231.639,0.578179,260.912,228.857,0.558016,260.926,338.898,0.823867,262.245,440.461,0.791554,195.466,235.811,0.528948,209.371,355.563,0.768348,210.745,451.639,0.781738,0.0,0.0,0.0,0.0,0.0,0.0,241.396,90.9739,0.563043,206.583,91.0066,0.60569,196.848,453.009,0.335163,195.463,457.186,0.489772,214.92,462.775,0.785561,262.233,485.02,0.551237,266.448,482.254,0.465808,262.232,448.863,0.574128
0,0.0,0.0,0.0,217.756,128.547,0.90278,260.83,128.572,0.851117,274.846,180.085,0.832735,291.508,221.866,0.767568,180.121,127.225,0.834235,150.832,175.958,0.876095,160.581,233.022,0.831403,228.814,235.807,0.579323,262.233,230.254,0.560395,262.306,351.339,0.830545,262.287,429.377,0.787445,195.435,238.615,0.544267,208.02,352.785,0.786756,209.35,451.651,0.775142,0.0,0.0,0.0,0.0,0.0,0.0,241.361,91.0171,0.573431,206.562,92.3436,0.648659,198.207,453.044,0.304342,195.457,457.212,0.467523,212.146,462.795,0.719023,259.488,472.52,0.386515,263.68,471.104,0.340086,262.309,439.124,0.557986
