,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,227.493,99.3891,0.934691,233.04,138.386,0.912082,200.961,139.748,0.86429,182.926,191.244,0.877272,171.718,239.965,0.902786,266.435,138.29,0.866362,284.528,181.543,0.876235,298.491,219.129,0.878724,228.81,234.42,0.750706,205.16,233.035,0.740618,203.739,302.663,0.84196,198.23,386.15,0.836619,251.12,235.833,0.71898,239.96,312.395,0.857794,238.536,388.983,0.855963,220.537,93.8032,0.947293,234.447,93.8089,0.93751,213.507,99.3944,0.808738,244.192,99.3716,0.867031,233.054,411.256,0.779107,244.183,408.464,0.810164,235.807,394.565,0.665851,201.003,409.897,0.713891,189.877,407.048,0.701144,201.006,390.373,0.668416
0,227.493,99.388,0.934954,233.042,138.394,0.911112,200.963,139.766,0.865672,182.923,191.262,0.878386,170.407,239.985,0.900144,266.437,136.991,0.866009,284.53,181.547,0.877273,298.475,219.131,0.87895,228.814,234.424,0.75124,205.157,233.042,0.741166,203.749,302.651,0.844294,198.219,384.836,0.839566,251.13,235.833,0.717642,239.965,312.372,0.85597,238.536,388.988,0.854956,220.535,93.8064,0.947088,234.446,93.8089,0.936627,213.503,100.715,0.808889,244.192,99.377,0.866271,233.05,411.255,0.776068,244.18,408.465,0.80591,235.802,394.57,0.665182,201.001,409.889,0.714766,189.873,407.042,0.702036,200.997,390.37,0.673115
0,227.498,99.3808,0.93413,233.029,139.694,0.912037,200.958,139.787,0.86039,182.913,191.276,0.880938,170.398,239.998,0.900182,266.435,136.985,0.866858,284.527,181.547,0.878343,298.481,219.132,0.878869,228.799,234.421,0.751302,205.13,233.038,0.739075,202.412,302.62,0.846451,198.223,384.834,0.848119,251.127,235.833,0.719979,239.962,312.36,0.855028,238.537,388.983,0.855481,220.541,93.7951,0.947666,234.455,93.8031,0.937791,213.505,99.3907,0.818832,244.196,99.3683,0.864859,233.059,411.256,0.777223,244.186,408.464,0.807875,235.802,394.561,0.667463,200.992,409.895,0.729007,189.87,407.055,0.718237,201.009,390.371,0.683966
0,227.496,99.3629,0.936678,233.035,139.686,0.907285,199.634,139.748,0.852184,182.906,191.264,0.875556,171.707,239.991,0.904849,266.446,138.297,0.868129,284.539,182.861,0.87901,298.512,219.099,0.880037,228.824,234.397,0.756489,205.151,232.999,0.739948,202.431,302.606,0.846624,198.246,384.813,0.852768,251.153,235.819,0.720023,239.963,312.358,0.854473,238.532,388.989,0.856264,221.851,93.787,0.946448,235.764,93.7927,0.939688,213.532,99.4,0.797616,245.531,99.3824,0.863544,233.055,411.252,0.78314,244.183,408.468,0.814059,235.791,394.565,0.6659,200.978,409.838,0.731142,189.853,405.68,0.723636,201.031,390.357,0.696868
0,228.822,103.503,0.945775,231.663,139.724,0.922685,199.635,139.789,0.882693,182.945,191.23,0.868482,171.771,238.572,0.872454,265.038,138.355,0.888451,284.529,184.284,0.856983,299.845,219.155,0.842986,228.861,239.989,0.745217,206.577,239.964,0.740683,201.029,312.405,0.785365,200.973,386.173,0.797268,251.099,241.353,0.722633,240.017,315.141,0.868591,238.555,387.62,0.864335,221.874,96.5776,0.943024,235.784,95.2391,0.930925,212.17,102.16,0.874386,244.162,100.746,0.86845,235.771,411.218,0.814188,245.549,408.437,0.827316,235.797,393.169,0.669684,199.601,401.509,0.692915,189.89,398.716,0.683068,205.144,390.399,0.674091
0,227.46,99.3915,0.943751,234.381,138.384,0.913479,200.996,139.707,0.879442,184.274,191.241,0.879084,170.404,240.01,0.921983,266.482,138.343,0.873905,284.559,184.247,0.885918,295.738,219.115,0.928815,228.842,235.793,0.780707,205.206,234.407,0.757315,205.145,301.26,0.873796,202.383,390.364,0.79568,251.152,237.205,0.738623,240.038,313.788,0.892919,238.57,388.941,0.861938,220.511,95.1351,0.944228,234.433,95.1434,0.931979,212.174,102.143,0.739567,245.561,102.139,0.855246,235.839,411.278,0.812823,248.297,408.468,0.847568,235.768,394.526,0.623514,209.349,415.399,0.626049,198.19,412.66,0.561438,203.819,397.302,0.670133
0,228.88,104.882,0.943924,234.382,139.742,0.917807,201.007,141.097,0.879555,184.272,189.892,0.876094,170.377,238.596,0.897012,266.435,139.699,0.881289,284.514,184.318,0.883561,295.72,223.257,0.895274,228.825,237.213,0.769451,205.158,235.798,0.752359,203.79,301.288,0.867834,202.381,393.138,0.785447,251.148,239.972,0.730021,241.362,315.125,0.876464,238.636,386.235,0.865034,223.242,98.0021,0.923453,235.835,97.9292,0.917434,213.544,104.914,0.881144,245.55,103.495,0.82463,237.179,409.864,0.7903,248.303,407.071,0.828544,237.173,391.778,0.641246,212.153,416.804,0.691349,202.383,416.786,0.649119,202.408,398.758,0.673165
0,228.901,103.562,0.939842,233.038,141.127,0.908586,201.019,142.487,0.874295,184.266,194.054,0.851803,170.377,241.401,0.878715,265.073,139.781,0.883074,283.193,184.338,0.905568,297.041,221.909,0.907343,230.222,241.349,0.75504,206.615,239.977,0.734561,202.43,315.194,0.791549,202.396,395.947,0.719602,252.478,241.394,0.732709,242.748,315.157,0.874903,238.613,387.56,0.876313,223.238,97.989,0.92229,237.147,96.5987,0.925491,213.508,104.979,0.884267,245.534,103.515,0.81881,237.172,409.838,0.810915,246.961,407.062,0.845905,235.807,393.156,0.670367,212.11,415.433,0.511884,199.626,414.052,0.47171,205.159,401.501,0.512458
0,228.892,104.916,0.949333,232.997,141.166,0.896697,200.967,142.548,0.861326,184.255,194.02,0.86259,170.397,242.779,0.874101,265.051,139.786,0.885114,284.536,185.677,0.893748,295.737,221.904,0.893101,227.493,237.232,0.748096,205.172,237.171,0.736188,198.24,313.814,0.819197,205.162,402.878,0.832876,249.76,239.977,0.712807,241.427,316.559,0.887771,238.629,386.163,0.882544,223.24,99.3642,0.916778,235.845,97.9851,0.916837,213.52,106.286,0.871352,245.568,104.889,0.825596,238.617,408.483,0.802969,248.339,405.671,0.83628,235.803,390.388,0.652943,213.491,422.414,0.712499,202.411,422.373,0.68649,207.949,408.472,0.681983
0,228.872,104.912,0.945376,234.446,142.56,0.886657,201.017,142.537,0.876868,184.257,194.038,0.888025,170.393,242.804,0.890668,267.824,142.55,0.858783,284.519,187.094,0.894533,295.733,224.683,0.920834,228.803,242.743,0.754397,205.187,240.017,0.744994,205.137,320.712,0.80426,206.566,401.486,0.804855,251.075,244.141,0.731763,242.811,322.103,0.825251,238.639,384.76,0.885205,221.903,99.3792,0.909217,235.813,97.9426,0.916235,214.879,106.313,0.862304,245.574,103.513,0.855536,237.208,408.439,0.820447,246.968,405.646,0.831387,235.793,388.965,0.65501,209.328,419.612,0.676731,198.231,418.211,0.706575,210.747,405.664,0.645057
