,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,237.181,111.885,0.896816,267.841,135.522,0.680771,266.437,135.569,0.521357,269.244,175.96,0.0501385,0.0,0.0,0.0,267.837,134.148,0.864639,272.018,175.917,0.883339,256.668,217.755,0.879204,287.361,214.941,0.645783,287.335,214.949,0.491892,284.539,308.179,0.825245,294.311,377.82,0.836137,288.713,214.948,0.670502,274.756,305.479,0.886532,317.976,377.842,0.849733,235.833,106.36,0.168903,241.354,106.291,0.913774,0.0,0.0,0.0,259.432,106.323,0.883639,292.891,400.098,0.791929,299.869,402.875,0.742336,329.073,383.398,0.817905,265.063,388.96,0.759587,269.214,384.843,0.686755,297.134,386.147,0.761502
0,237.155,111.91,0.909273,267.856,134.191,0.691749,267.811,134.172,0.581715,256.717,180.114,0.159231,249.78,163.468,0.0636912,267.858,134.161,0.857764,271.988,177.348,0.853506,259.464,219.073,0.901713,290.109,217.69,0.654153,294.277,214.933,0.523817,287.322,304.052,0.790483,294.313,375.015,0.817073,285.973,219.111,0.671642,267.867,305.384,0.884499,315.201,373.642,0.81905,237.143,106.378,0.16382,240.03,106.301,0.945792,0.0,0.0,0.0,258.078,106.286,0.892034,294.244,400.14,0.843823,301.247,400.133,0.814204,327.713,377.798,0.852405,263.675,387.572,0.839952,267.824,384.767,0.788678,297.05,386.154,0.535521
0,237.182,113.307,0.92108,267.869,135.529,0.642196,269.217,135.537,0.511327,265.055,181.529,0.145663,259.431,212.129,0.197897,266.459,134.155,0.847545,272.029,180.116,0.905955,258.117,217.763,0.892575,291.484,219.074,0.665057,294.302,216.329,0.532882,287.36,297.046,0.771229,295.69,370.855,0.679876,287.36,220.484,0.673288,259.46,302.653,0.873529,306.853,368.069,0.78572,237.149,107.763,0.150893,241.345,106.369,0.939126,0.0,0.0,0.0,259.436,106.361,0.895773,292.887,398.757,0.653927,295.719,398.723,0.687692,319.374,369.476,0.804119,262.267,388.947,0.846259,265.07,384.833,0.790205,295.729,388.952,0.33306
0,237.186,116.022,0.917829,266.47,135.596,0.666425,265.075,136.974,0.527803,267.856,178.693,0.0917312,0.0,0.0,0.0,267.823,134.173,0.855199,273.396,177.372,0.915486,259.5,219.072,0.901037,292.859,216.33,0.666155,298.456,214.92,0.525588,290.076,299.878,0.741011,292.88,369.498,0.714896,287.346,217.738,0.685541,255.267,305.455,0.903176,299.901,362.556,0.813017,235.807,109.131,0.290899,241.349,107.735,0.952683,0.0,0.0,0.0,259.5,106.322,0.907918,290.1,395.929,0.589018,292.919,393.126,0.581342,311.021,366.666,0.747001,266.425,388.996,0.770554,269.228,386.153,0.719654,297.073,383.441,0.36913
0,237.187,111.902,0.829246,269.21,132.774,0.663042,271.985,130.04,0.559617,277.58,174.513,0.0503763,0.0,0.0,0.0,266.409,134.161,0.872567,274.769,175.905,0.922323,260.863,219.069,0.889851,291.464,221.866,0.628092,299.85,219.09,0.52556,287.316,304.022,0.830158,290.1,373.677,0.747872,283.152,223.302,0.628851,249.761,301.285,0.873166,295.695,373.647,0.777602,0.0,0.0,0.0,240.037,106.289,0.873872,0.0,0.0,0.0,255.275,106.279,0.861409,278.987,395.897,0.546194,283.134,394.542,0.554719,305.413,380.607,0.69455,263.644,386.22,0.743035,267.804,383.435,0.661563,297.064,384.776,0.328819
0,237.187,114.628,0.921179,266.441,134.185,0.609082,266.426,134.193,0.494211,0.0,0.0,0.0,0.0,0.0,0.0,266.424,132.808,0.860798,274.783,174.563,0.908933,262.255,217.685,0.904337,287.306,220.523,0.570219,291.487,220.473,0.41636,291.47,298.433,0.678707,0.0,0.0,0.0,284.524,223.26,0.615981,244.138,299.887,0.848053,280.388,370.853,0.811246,235.818,107.752,0.246476,241.353,106.368,0.942021,0.0,0.0,0.0,259.454,106.337,0.891468,255.306,393.166,0.851301,263.636,393.18,0.872925,294.281,376.401,0.748098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,238.591,110.523,0.942051,265.05,135.516,0.705202,263.633,135.548,0.61103,274.773,177.324,0.106425,259.488,201.032,0.208358,265.094,134.164,0.880605,274.815,177.351,0.898395,258.104,220.521,0.886933,288.74,216.327,0.666338,294.321,213.548,0.561969,292.926,297.106,0.786391,295.729,375.061,0.845176,284.536,219.09,0.665642,239.973,302.652,0.871313,266.409,377.87,0.825034,237.191,106.295,0.69899,244.141,104.97,0.931382,0.0,0.0,0.0,260.826,106.311,0.922439,235.792,394.497,0.859906,241.413,395.934,0.842641,274.804,384.762,0.806871,278.957,382.033,0.171441,0.0,0.0,0.0,302.608,383.423,0.831193
0,237.163,114.68,0.931101,266.477,134.204,0.633821,267.845,134.206,0.480548,291.484,182.887,0.0650725,0.0,0.0,0.0,265.06,134.15,0.860209,276.184,177.328,0.873423,259.509,219.09,0.903764,284.548,230.234,0.655519,292.894,231.615,0.548891,295.666,305.377,0.865965,299.891,375.084,0.832226,277.593,228.88,0.681773,241.38,297.094,0.867093,249.685,375.063,0.816703,235.796,107.747,0.35777,241.338,107.707,0.943574,0.0,0.0,0.0,258.091,106.355,0.896111,216.339,387.607,0.810032,224.652,391.749,0.777267,256.678,384.747,0.842567,269.245,387.553,0.798677,274.79,384.776,0.667932,306.83,384.79,0.865549
0,237.158,114.667,0.941683,262.288,136.919,0.744762,258.089,138.3,0.608724,267.839,192.667,0.135145,252.497,226.052,0.291276,265.087,134.169,0.880875,278.944,173.205,0.868521,259.497,221.883,0.82245,278.994,227.442,0.638528,273.408,227.464,0.535464,241.417,299.841,0.629721,238.554,376.464,0.474532,284.531,226.073,0.632314,297.038,303.99,0.625716,299.9,373.674,0.594456,235.793,107.752,0.512321,241.359,107.738,0.950038,0.0,0.0,0.0,258.076,107.707,0.892414,270.649,387.573,0.156357,0.0,0.0,0.0,306.806,383.372,0.597274,209.328,386.232,0.46342,207.96,384.774,0.42154,242.744,384.857,0.344215
0,234.384,116.042,0.885673,260.903,136.931,0.729592,255.325,138.335,0.609639,260.856,191.232,0.195439,249.78,224.66,0.38266,263.704,134.202,0.881413,278.985,174.582,0.810669,262.281,223.267,0.77078,274.815,226.04,0.611413,265.047,226.055,0.546407,244.19,298.468,0.803484,227.472,380.578,0.848944,284.546,224.693,0.613846,294.328,301.239,0.864879,302.658,377.864,0.826123,234.434,110.51,0.0588124,238.539,109.1,0.900423,0.0,0.0,0.0,252.565,107.738,0.859694,267.869,387.549,0.87081,274.834,390.399,0.821689,309.587,386.212,0.864932,194.042,383.368,0.837768,195.456,380.579,0.791533,231.637,388.987,0.869631
