,Nose_x,Nose_y,Nose_likelihood,Neck_x,Neck_y,Neck_likelihood,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_likelihood,Right_Elbow_x,Right_Elbow_y,Right_Elbow_likelihood,Right_Wrist_x,Right_Wrist_y,Right_Wrist_likelihood,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_likelihood,Left_Elbow_x,Left_Elbow_y,Left_Elbow_likelihood,Left_Wrist_x,Left_Wrist_y,Left_Wrist_likelihood,MidHip_x,MidHip_y,MidHip_likelihood,Right_Hip_x,Right_Hip_y,Right_Hip_likelihood,Right_Knee_x,Right_Knee_y,Right_Knee_likelihood,Right_Ankle_x,Right_Ankle_y,Right_Ankle_likelihood,Left_Hip_x,Left_Hip_y,Left_Hip_likelihood,Left_Knee_x,Left_Knee_y,Left_Knee_likelihood,Left_Ankle_x,Left_Ankle_y,Left_Ankle_likelihood,Right_Eye_x,Right_Eye_y,Right_Eye_likelihood,Left_Eye_x,Left_Eye_y,Left_Eye_likelihood,Right_Ear_x,Right_Ear_y,Right_Ear_likelihood,Left_Ear_x,Left_Ear_y,Left_Ear_likelihood,Left_BigToe_x,Left_BigToe_y,Left_BigToe_likelihood,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_likelihood,Left_Heel_x,Left_Heel_y,Left_Heel_likelihood,Right_BigToe_x,Right_BigToe_y,Right_BigToe_likelihood,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_likelihood,Right_Heel_x,Right_Heel_y,Right_Heel_likelihood
0,611.741,163.013,0.872762,650.96,190.536,0.697883,649.001,190.548,0.591358,650.972,253.224,0.153407,637.184,274.737,0.264546,651.013,190.559,0.854475,664.532,253.188,0.841288,633.276,310.009,0.840573,686.196,306.146,0.645103,682.293,308.06,0.528235,668.61,431.499,0.727439,694.006,527.506,0.725745,692.068,306.134,0.688548,670.543,433.477,0.771601,729.234,537.284,0.825264,613.665,151.335,0.0608303,617.662,149.465,0.937714,0.0,0.0,0.0,639.176,149.44,0.860966,688.15,556.868,0.569051,698.006,560.818,0.590467,743.004,541.257,0.833938,647.003,543.166,0.693274,649.014,541.187,0.623739,697.87,539.213,0.529074
0,613.659,163.061,0.879061,651.019,190.532,0.669904,650.958,190.527,0.557948,656.803,251.26,0.109703,637.298,272.841,0.240992,651.016,190.555,0.848028,664.589,253.247,0.863107,633.305,310.018,0.840858,692.054,306.156,0.635933,694.006,306.109,0.49259,658.754,431.498,0.725673,693.987,525.615,0.783912,690.083,308.065,0.658218,658.756,431.589,0.783858,723.453,525.614,0.79743,615.601,151.41,0.0530753,617.663,149.508,0.923989,0.0,0.0,0.0,639.145,149.453,0.863112,695.91,558.856,0.759611,707.712,558.883,0.725049,739.09,531.438,0.738088,648.985,543.256,0.747013,650.995,541.187,0.696746,697.856,539.284,0.570288
0,611.766,163.058,0.879264,652.893,190.519,0.656128,652.923,188.605,0.543156,662.658,247.378,0.11717,637.225,272.825,0.353062,651.024,192.417,0.841866,664.642,253.183,0.868713,635.24,308.16,0.853895,694.033,306.129,0.659488,699.924,304.185,0.535184,674.414,425.599,0.694417,697.865,519.674,0.724833,686.187,308.075,0.665614,648.909,431.502,0.860098,713.62,521.608,0.79402,613.731,151.376,0.060152,617.676,149.497,0.924558,0.0,0.0,0.0,639.188,149.45,0.860654,690.111,556.942,0.69892,699.895,556.908,0.720111,729.294,523.533,0.812385,650.95,543.212,0.721557,654.827,539.308,0.667045,699.939,535.284,0.22798
0,611.71,163.048,0.877337,652.89,190.494,0.651581,652.919,188.583,0.526957,660.74,247.361,0.0928891,0.0,0.0,0.0,651.024,190.538,0.841738,664.673,249.335,0.872826,635.318,310.023,0.841591,695.976,306.126,0.675202,705.794,304.147,0.561561,682.29,415.854,0.765444,695.926,507.962,0.511622,686.227,308.099,0.657717,635.366,431.489,0.837787,701.904,517.706,0.746964,0.0,0.0,0.0,617.634,149.475,0.923492,0.0,0.0,0.0,639.147,149.419,0.871692,662.716,543.185,0.690804,678.364,547.113,0.662884,715.662,521.622,0.79036,656.793,539.3,0.328281,656.842,537.265,0.271646,711.692,509.941,0.149307
0,609.766,163.017,0.875915,652.929,186.652,0.660169,656.826,184.696,0.542753,654.839,247.326,0.0772294,0.0,0.0,0.0,650.975,188.603,0.83998,664.667,249.313,0.867312,639.172,308.059,0.82321,696.059,304.206,0.679151,709.649,302.192,0.576956,688.156,415.763,0.69031,693.985,509.821,0.338101,688.182,306.196,0.66765,633.208,427.579,0.822217,692.064,517.702,0.727854,0.0,0.0,0.0,617.598,149.448,0.931204,0.0,0.0,0.0,637.255,149.409,0.875404,652.858,543.159,0.808966,666.641,545.147,0.771222,707.741,523.564,0.747875,654.845,529.479,0.114996,654.871,525.574,0.108989,709.719,511.861,0.139938
0,607.868,163.005,0.87947,652.883,186.615,0.670234,656.798,184.678,0.54308,654.839,247.335,0.0936329,0.0,0.0,0.0,650.927,186.651,0.843675,664.681,245.466,0.890821,645.006,306.215,0.82923,695.954,306.162,0.660488,705.785,304.157,0.550245,690.109,415.83,0.70457,697.943,400.161,0.17006,684.291,310.052,0.644173,621.525,421.732,0.826305,674.473,523.663,0.797181,607.875,151.348,0.0581302,617.571,149.433,0.926163,0.0,0.0,0.0,635.366,149.371,0.890504,635.198,547.128,0.814033,648.945,551.015,0.812388,692.103,529.492,0.692778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,607.843,161.173,0.868694,651.001,186.607,0.674831,652.935,186.603,0.533187,658.764,247.384,0.0873357,0.0,0.0,0.0,650.863,186.586,0.855689,666.522,245.42,0.906986,645.036,308.121,0.826026,692.032,304.208,0.657432,696.032,304.115,0.528161,690.127,415.826,0.510173,0.0,0.0,0.0,684.269,306.144,0.686042,621.583,419.752,0.763158,650.991,529.453,0.742094,605.905,151.358,0.0510581,617.527,149.405,0.915322,0.0,0.0,0.0,635.292,149.338,0.911205,605.915,547.069,0.690376,619.542,552.955,0.727955,666.562,539.246,0.746262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,607.804,161.153,0.869239,650.926,186.59,0.700614,650.973,186.593,0.565982,650.93,255.199,0.164831,635.323,290.486,0.221437,649.053,184.673,0.859642,666.583,245.421,0.899968,646.941,308.055,0.850105,692.081,306.094,0.65621,697.999,304.113,0.544686,690.1,413.936,0.581485,694.004,411.901,0.223574,682.348,308.094,0.674799,617.694,415.928,0.852547,633.199,529.513,0.788996,605.829,151.321,0.061531,615.685,149.418,0.90961,0.0,0.0,0.0,635.245,149.342,0.923052,584.308,543.198,0.758659,594.114,551.04,0.735731,639.217,541.215,0.74612,695.905,429.549,0.161428,684.284,429.619,0.139512,0.0,0.0,0.0
0,605.89,161.13,0.883416,648.992,186.633,0.701193,647.038,188.569,0.563972,660.704,255.176,0.146655,635.363,292.405,0.158482,648.995,184.684,0.869106,666.643,245.391,0.88426,646.985,308.093,0.855353,684.233,306.103,0.660632,688.145,304.185,0.498393,619.642,413.823,0.450247,617.68,519.684,0.241947,684.216,306.183,0.682345,619.663,417.759,0.760238,615.604,535.339,0.71311,603.949,151.358,0.143947,615.665,149.419,0.908832,0.0,0.0,0.0,635.252,149.39,0.921562,566.667,539.316,0.762144,576.459,547.08,0.720056,619.654,547.089,0.628218,568.666,539.193,0.132081,572.595,537.245,0.114207,621.548,537.258,0.0694777
0,603.975,162.993,0.919399,647.046,188.574,0.706658,641.125,192.439,0.58873,648.99,259.16,0.214712,633.374,306.131,0.331744,648.957,186.584,0.869219,666.641,245.363,0.886636,647.002,308.057,0.856013,682.363,306.147,0.683179,690.106,304.187,0.517177,693.964,413.829,0.241903,0.0,0.0,0.0,682.272,308.121,0.686351,621.508,425.605,0.789012,600.007,539.161,0.722431,603.84,151.422,0.128953,613.678,149.467,0.871309,0.0,0.0,0.0,635.176,149.401,0.926083,552.949,537.237,0.742579,558.878,541.305,0.747984,603.998,552.908,0.704456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,603.848,162.994,0.934766,645.047,190.568,0.714689,637.217,194.403,0.658572,639.21,270.805,0.417645,619.631,327.662,0.58724,648.892,186.642,0.844526,666.627,243.477,0.888051,646.985,306.168,0.871257,682.301,306.152,0.681861,688.15,304.184,0.520862,693.974,413.826,0.275181,0.0,0.0,0.0,680.366,308.133,0.666444,623.507,427.604,0.768023,588.314,539.204,0.747074,601.983,151.392,0.114279,609.751,149.459,0.869667,0.0,0.0,0.0,633.343,149.403,0.912162,541.17,529.439,0.765764,552.924,539.292,0.783517,596.083,554.892,0.71025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,601.977,161.157,0.934374,637.235,194.353,0.799455,633.253,194.512,0.759815,633.352,274.717,0.79552,613.674,325.762,0.792306,647.016,186.655,0.834234,666.651,243.515,0.907335,647.036,306.158,0.897573,680.359,306.133,0.695207,682.293,304.199,0.536735,692.034,415.78,0.340745,0.0,0.0,0.0,680.297,308.094,0.696701,623.5,427.584,0.780522,588.297,539.288,0.799613,601.877,151.342,0.108245,605.882,149.434,0.909147,0.0,0.0,0.0,633.201,149.349,0.903237,541.298,537.235,0.761266,554.899,543.188,0.800157,596.107,554.959,0.736798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,601.925,161.127,0.926717,637.244,192.481,0.766645,633.336,194.457,0.706504,633.366,274.863,0.793588,604.001,325.728,0.835204,643.099,184.688,0.812055,666.602,243.444,0.917491,647.025,306.115,0.887783,680.378,306.18,0.710671,686.214,304.217,0.577405,692.099,423.682,0.560274,709.735,523.61,0.662087,676.404,310.04,0.659355,621.594,427.612,0.820353,594.115,541.186,0.796907,601.844,149.498,0.0847204,603.995,149.411,0.927074,0.0,0.0,0.0,629.415,149.35,0.873049,543.215,539.227,0.793203,554.986,547.074,0.813351,601.915,556.808,0.771843,668.618,539.27,0.507892,676.414,537.306,0.422866,715.549,533.393,0.52815
