,Nose_x,Nose_y,Nose_likelihood,Neck_x,Neck_y,Neck_likelihood,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_likelihood,Right_Elbow_x,Right_Elbow_y,Right_Elbow_likelihood,Right_Wrist_x,Right_Wrist_y,Right_Wrist_likelihood,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_likelihood,Left_Elbow_x,Left_Elbow_y,Left_Elbow_likelihood,Left_Wrist_x,Left_Wrist_y,Left_Wrist_likelihood,MidHip_x,MidHip_y,MidHip_likelihood,Right_Hip_x,Right_Hip_y,Right_Hip_likelihood,Right_Knee_x,Right_Knee_y,Right_Knee_likelihood,Right_Ankle_x,Right_Ankle_y,Right_Ankle_likelihood,Left_Hip_x,Left_Hip_y,Left_Hip_likelihood,Left_Knee_x,Left_Knee_y,Left_Knee_likelihood,Left_Ankle_x,Left_Ankle_y,Left_Ankle_likelihood,Right_Eye_x,Right_Eye_y,Right_Eye_likelihood,Left_Eye_x,Left_Eye_y,Left_Eye_likelihood,Right_Ear_x,Right_Ear_y,Right_Ear_likelihood,Left_Ear_x,Left_Ear_y,Left_Ear_likelihood,Left_BigToe_x,Left_BigToe_y,Left_BigToe_likelihood,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_likelihood,Left_Heel_x,Left_Heel_y,Left_Heel_likelihood,Right_BigToe_x,Right_BigToe_y,Right_BigToe_likelihood,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_likelihood,Right_Heel_x,Right_Heel_y,Right_Heel_likelihood
0,0.0,0.0,0.0,682.346,208.113,0.87991,729.289,210.145,0.880742,756.729,286.527,0.866507,776.25,351.205,0.919715,635.31,204.226,0.836162,617.51,278.728,0.83211,605.882,331.595,0.823463,688.139,331.577,0.621867,727.361,329.652,0.616031,725.323,460.877,0.723048,717.556,572.54,0.732977,650.903,331.6,0.642566,662.709,462.875,0.834411,652.956,590.181,0.817872,0.0,0.0,0.0,0.0,0.0,0.0,709.723,163.141,0.731518,666.659,163.104,0.613061,635.3,590.186,0.572321,635.186,596.063,0.713994,660.719,603.883,0.818596,713.64,582.371,0.371659,727.268,584.29,0.421793,717.58,586.197,0.684784
0,0.0,0.0,0.0,682.352,208.191,0.888089,729.316,210.209,0.879594,758.565,288.407,0.883892,776.29,351.227,0.912666,635.307,206.173,0.840509,617.563,278.721,0.850327,607.819,329.663,0.799084,688.138,331.591,0.617551,727.405,331.584,0.608414,725.312,460.94,0.717138,717.571,572.567,0.744739,650.886,331.58,0.636285,662.717,462.911,0.824479,652.962,590.201,0.815786,0.0,0.0,0.0,0.0,0.0,0.0,709.731,163.176,0.701872,666.657,163.127,0.638186,635.291,590.187,0.576496,635.185,596.076,0.713454,660.726,603.897,0.820101,713.653,584.29,0.399368,727.267,584.318,0.451269,719.471,586.227,0.70685
0,0.0,0.0,0.0,684.199,210.013,0.884045,729.338,210.197,0.885089,758.578,288.414,0.89147,776.35,351.242,0.896818,637.209,206.217,0.831494,617.602,278.71,0.861125,607.876,331.614,0.798154,688.154,331.576,0.613456,727.386,329.649,0.611858,725.35,462.8,0.739684,717.593,572.602,0.75543,650.893,331.585,0.642115,664.544,462.783,0.844186,652.968,590.195,0.813574,0.0,0.0,0.0,0.0,0.0,0.0,711.562,163.186,0.710105,668.543,163.146,0.623221,635.306,588.317,0.565118,635.187,596.044,0.704477,660.708,603.908,0.81894,713.684,582.329,0.412871,727.294,584.265,0.469957,719.479,586.26,0.72494
0,0.0,0.0,0.0,684.227,208.205,0.877754,729.333,210.17,0.886931,758.602,288.426,0.896397,776.412,353.093,0.883335,637.267,208.081,0.827381,617.616,278.678,0.865235,609.806,329.66,0.787196,688.142,329.624,0.615339,727.344,327.697,0.617082,725.333,460.866,0.733828,717.588,572.61,0.751113,650.901,329.639,0.648667,664.577,460.907,0.854946,654.825,588.328,0.808185,0.0,0.0,0.0,0.0,0.0,0.0,711.59,165.008,0.706325,668.584,163.192,0.596067,637.213,588.3,0.52853,635.243,594.127,0.677887,660.707,603.882,0.812018,713.691,578.462,0.401327,727.302,582.332,0.450596,719.478,586.282,0.721487
0,0.0,0.0,0.0,682.386,210.02,0.882084,729.297,210.162,0.88809,758.637,288.447,0.912999,778.306,353.13,0.863938,637.273,208.131,0.837207,617.631,276.813,0.86664,609.784,331.54,0.789046,688.167,329.623,0.614696,727.356,329.614,0.621118,725.365,460.821,0.73291,719.464,572.605,0.751772,650.921,329.643,0.64189,664.612,460.816,0.844245,654.888,588.297,0.792118,0.0,0.0,0.0,0.0,0.0,0.0,711.637,165.022,0.721929,670.518,164.991,0.599808,635.33,590.176,0.527661,635.218,594.149,0.670662,662.622,603.893,0.814119,713.7,576.485,0.387199,727.326,580.38,0.432917,719.483,586.274,0.727844
0,0.0,0.0,0.0,684.299,210.023,0.864694,729.358,210.17,0.881226,758.659,288.431,0.919501,778.344,353.121,0.859192,641.142,208.088,0.81483,617.654,276.791,0.867989,607.879,331.554,0.789645,690.096,327.68,0.610001,727.412,327.663,0.61853,725.404,458.956,0.705729,717.555,572.644,0.72707,650.928,327.697,0.637331,664.604,460.863,0.838462,654.874,588.237,0.792627,0.0,0.0,0.0,0.0,0.0,0.0,711.671,165.024,0.695777,670.558,164.979,0.60383,637.207,588.273,0.48077,635.281,592.191,0.609346,660.733,602.009,0.772602,715.552,582.367,0.370044,727.312,584.314,0.436001,717.558,586.309,0.703727
0,0.0,0.0,0.0,688.135,210.047,0.857237,731.239,210.202,0.872318,758.72,288.434,0.930087,780.281,353.097,0.845524,645.027,206.233,0.817665,617.682,276.753,0.877454,607.837,327.688,0.789632,690.122,325.737,0.620925,727.398,325.72,0.63101,727.227,460.817,0.728873,717.565,574.513,0.732297,650.989,327.657,0.641889,664.572,460.933,0.854302,654.818,582.369,0.777073,0.0,0.0,0.0,0.0,0.0,0.0,711.732,165.044,0.719675,674.434,165.004,0.588627,635.302,599.97,0.599616,635.319,599.978,0.680276,662.651,592.191,0.748608,713.696,582.385,0.411345,727.291,584.324,0.470133,717.547,586.346,0.731735
0,0.0,0.0,0.0,690.106,210.034,0.847922,731.285,210.198,0.870047,760.604,286.558,0.9147,782.198,351.231,0.841639,646.987,206.195,0.822725,617.708,274.845,0.881149,605.926,325.721,0.814873,692.029,325.691,0.627397,727.387,325.687,0.6357,725.401,460.824,0.757793,719.474,572.657,0.733821,651.022,325.692,0.644115,664.559,458.927,0.819003,654.893,572.638,0.758474,0.0,0.0,0.0,0.0,0.0,0.0,713.577,165.063,0.714757,676.356,165.002,0.605122,637.27,601.89,0.491872,635.275,598.017,0.608604,662.679,588.222,0.772406,713.677,580.41,0.440365,727.287,584.265,0.480163,717.579,586.348,0.733325
0,0.0,0.0,0.0,692.021,210.031,0.851916,731.322,210.199,0.864295,760.647,286.475,0.894514,784.128,351.095,0.82518,647.01,206.163,0.823167,619.501,274.81,0.888266,603.991,327.698,0.837881,692.047,323.774,0.646513,727.404,323.76,0.64328,725.395,457.0,0.762525,719.495,572.612,0.75148,652.862,323.789,0.656303,664.59,451.138,0.816202,658.787,558.922,0.768575,0.0,0.0,0.0,0.0,0.0,0.0,713.638,165.104,0.707445,678.289,165.048,0.667112,641.159,601.917,0.607753,635.313,598.024,0.633304,664.639,572.609,0.765136,715.577,576.49,0.471861,727.326,580.394,0.515504,719.474,586.281,0.74569
0,0.0,0.0,0.0,693.961,210.053,0.874427,733.215,210.213,0.856835,762.57,286.485,0.870907,786.129,349.241,0.84118,648.904,206.203,0.844618,617.712,276.728,0.877788,602.014,327.694,0.835943,692.1,323.807,0.637477,729.24,323.779,0.639826,725.417,458.911,0.783026,719.469,572.594,0.761073,652.92,325.737,0.640173,664.608,447.237,0.854678,662.69,547.129,0.76882,0.0,0.0,0.0,0.0,0.0,0.0,713.658,165.119,0.724681,678.364,165.089,0.667326,643.106,594.147,0.593776,637.191,590.212,0.620839,666.592,558.821,0.691209,715.647,582.334,0.478156,727.338,584.293,0.565562,717.552,586.28,0.747813
