,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,299.86,118.869,0.894536,274.822,149.482,0.858108,269.2,149.447,0.892574,262.307,199.594,0.919072,281.732,248.327,0.891912,283.146,149.533,0.800283,280.393,203.792,0.703945,294.296,228.818,0.87916,255.309,234.427,0.688422,242.772,231.659,0.666758,235.772,312.423,0.812194,214.962,394.561,0.870673,267.841,237.18,0.664978,287.319,310.992,0.859446,298.468,388.978,0.847954,295.706,114.641,0.884566,0.0,0.0,0.0,281.786,114.695,0.869218,0.0,0.0,0.0,333.29,390.337,0.78843,330.479,386.221,0.773264,292.912,400.087,0.89973,246.925,405.722,0.816429,238.571,408.487,0.822634,206.585,402.876,0.870615
0,302.645,121.672,0.904922,273.419,149.494,0.827327,269.201,150.895,0.87982,266.413,199.573,0.889203,291.467,238.626,0.864192,280.375,148.1,0.745634,283.197,194.009,0.609219,294.284,226.043,0.877284,255.335,226.035,0.720987,245.534,223.28,0.698856,242.816,315.192,0.778503,214.913,393.168,0.897095,266.435,227.474,0.691246,284.524,312.42,0.855053,295.725,390.349,0.846352,297.131,116.083,0.933724,0.0,0.0,0.0,281.757,116.108,0.870941,0.0,0.0,0.0,329.144,393.12,0.788187,326.334,388.998,0.73775,291.512,400.113,0.788277,248.328,407.056,0.841055,239.954,409.822,0.841222,205.214,398.763,0.930852
0,305.38,111.883,0.923279,277.58,146.685,0.74731,273.383,146.679,0.882028,271.956,195.444,0.893216,297.07,234.388,0.809808,283.176,146.671,0.685555,281.747,198.238,0.0661698,0.0,0.0,0.0,259.481,231.62,0.624781,248.347,230.236,0.612729,245.54,313.754,0.808951,214.933,391.764,0.880405,270.609,231.655,0.569948,284.554,308.216,0.747832,295.696,386.183,0.854774,297.099,107.715,0.904209,302.684,106.318,0.239461,281.765,114.685,0.867912,0.0,0.0,0.0,327.722,395.914,0.846245,324.958,393.113,0.787517,290.116,395.979,0.821048,246.949,407.096,0.837407,237.227,409.828,0.805791,205.219,398.71,0.898497
0,305.428,106.359,0.867672,276.216,145.32,0.715127,274.769,146.668,0.876243,276.184,198.19,0.858945,302.598,244.196,0.84447,281.719,145.286,0.622318,281.763,195.405,0.148062,301.209,227.439,0.307145,259.474,233.009,0.599558,249.768,231.663,0.609286,242.776,312.421,0.788152,214.894,391.75,0.866718,269.222,231.658,0.530265,283.135,305.456,0.731441,294.244,383.406,0.864819,298.429,103.534,0.818607,0.0,0.0,0.0,283.178,113.245,0.852855,0.0,0.0,0.0,324.9,395.938,0.869976,323.519,391.775,0.788536,285.919,393.11,0.824912,245.554,407.039,0.863121,237.191,408.466,0.86106,205.172,397.346,0.914988
0,306.833,117.453,0.950714,280.362,145.325,0.72351,277.564,146.675,0.866766,277.612,195.412,0.892569,305.396,238.61,0.922616,284.516,145.309,0.652613,283.152,195.431,0.104362,0.0,0.0,0.0,262.281,231.642,0.660584,251.132,231.62,0.628342,241.431,312.416,0.801707,214.938,388.975,0.852223,274.775,231.643,0.626789,284.499,313.818,0.861466,292.934,384.834,0.903536,302.622,111.906,0.882765,308.179,113.261,0.192408,284.506,113.293,0.840266,0.0,0.0,0.0,323.554,397.34,0.896871,322.143,394.507,0.839035,284.582,394.533,0.896103,244.141,407.048,0.861792,234.43,408.426,0.844929,205.182,394.537,0.916644
0,306.784,110.526,0.903154,281.785,145.334,0.74806,279.006,146.707,0.882739,280.359,191.222,0.906016,304.075,230.239,0.93776,285.918,143.932,0.657809,0.0,0.0,0.0,0.0,0.0,0.0,263.624,241.384,0.607443,249.714,242.746,0.571213,242.738,323.515,0.82841,209.34,391.723,0.845227,277.547,241.368,0.572506,285.912,316.549,0.895755,291.493,386.148,0.869066,298.497,106.333,0.852386,306.777,104.941,0.371582,283.105,113.277,0.850164,0.0,0.0,0.0,320.782,395.965,0.806812,319.341,393.147,0.757766,283.161,394.558,0.857083,240.001,405.71,0.797022,230.249,407.109,0.815532,199.6,397.303,0.85444
0,306.796,109.103,0.93001,283.16,145.298,0.72348,280.403,145.304,0.8686,285.948,196.819,0.87416,313.822,238.637,0.91504,287.309,143.943,0.608469,272.045,196.815,0.0572227,0.0,0.0,0.0,263.69,234.422,0.659284,252.53,234.397,0.624517,244.129,319.335,0.77808,208.013,390.337,0.840379,276.181,234.432,0.631554,284.523,313.809,0.865267,290.102,384.833,0.848685,299.878,104.909,0.913484,306.862,104.957,0.590457,283.173,109.143,0.822378,0.0,0.0,0.0,322.152,395.98,0.831823,320.727,393.132,0.769765,281.778,395.883,0.879444,239.99,407.024,0.832843,230.24,408.442,0.826611,198.227,395.888,0.870636
0,308.251,113.257,0.906638,284.557,145.273,0.767797,281.731,143.926,0.857207,290.149,198.208,0.861371,320.718,238.6,0.871448,290.089,143.952,0.698152,305.38,195.424,0.257648,306.837,227.477,0.23756,267.846,234.398,0.66195,258.061,233.049,0.638864,246.927,313.778,0.71507,206.567,390.376,0.857069,278.967,234.398,0.606626,283.145,311.028,0.822168,288.698,384.831,0.837579,303.998,107.685,0.901991,308.24,106.337,0.355124,287.297,111.9,0.799959,0.0,0.0,0.0,322.175,397.328,0.745631,320.77,393.185,0.681883,281.733,395.89,0.828448,235.847,405.666,0.862021,227.491,407.08,0.866691,195.469,395.94,0.877658
0,309.638,121.653,0.786498,283.144,143.881,0.710683,283.116,143.945,0.851129,292.847,196.817,0.856791,324.921,237.245,0.897924,284.536,142.489,0.575732,301.252,196.81,0.144569,305.422,226.083,0.129076,267.853,235.809,0.633031,256.718,235.819,0.601848,244.179,320.776,0.830576,205.195,387.586,0.864639,278.983,235.793,0.581525,283.199,310.992,0.860498,285.924,384.812,0.880478,308.198,114.68,0.806787,0.0,0.0,0.0,295.655,113.279,0.830032,0.0,0.0,0.0,317.955,395.98,0.821909,315.17,393.137,0.765747,277.584,393.123,0.82558,233.048,404.318,0.870566,224.685,405.689,0.883611,194.051,393.14,0.907518
0,312.426,113.286,0.534361,284.526,142.547,0.75309,283.133,145.339,0.855322,292.917,192.681,0.887008,324.877,234.384,0.861147,287.339,139.78,0.632941,285.908,194.06,0.142263,304.012,228.882,0.100044,267.811,227.439,0.676154,256.695,227.435,0.649466,235.829,308.2,0.842425,203.784,383.378,0.893859,278.939,227.446,0.615145,284.543,309.61,0.87024,284.501,386.188,0.898954,310.97,107.678,0.614024,0.0,0.0,0.0,299.896,113.283,0.787318,0.0,0.0,0.0,316.591,397.332,0.795577,313.794,394.513,0.743489,276.194,394.565,0.822843,233.005,405.723,0.846616,221.89,407.045,0.820555,195.397,387.596,0.913216
0,312.412,114.629,0.799686,284.503,139.709,0.754154,281.784,139.732,0.885144,294.255,192.654,0.900726,329.058,234.382,0.902322,287.352,139.706,0.621217,285.924,194.005,0.0888008,0.0,0.0,0.0,266.464,227.459,0.719785,256.675,227.431,0.689913,241.34,305.468,0.861821,202.433,381.991,0.888816,277.587,228.82,0.672664,283.139,309.636,0.862945,283.134,384.84,0.894945,309.58,107.678,0.818301,0.0,0.0,0.0,295.676,109.096,0.831497,0.0,0.0,0.0,316.529,398.722,0.807366,313.768,394.58,0.753256,274.757,393.17,0.80995,227.495,405.643,0.868165,217.717,404.322,0.857916,194.069,384.81,0.917171
0,312.357,110.503,0.894822,285.957,141.148,0.735868,283.128,139.724,0.869298,294.331,192.654,0.884788,327.757,233.003,0.916593,291.528,143.896,0.630433,287.354,194.035,0.160094,294.256,214.963,0.345633,266.477,223.302,0.741987,258.088,221.91,0.716332,244.187,305.382,0.838931,201.007,380.625,0.873999,276.204,224.687,0.712769,280.395,309.575,0.813177,278.952,384.754,0.864528,305.465,106.305,0.952797,312.363,106.29,0.55545,288.699,110.502,0.839859,0.0,0.0,0.0,310.992,394.578,0.881408,308.186,391.756,0.788745,270.606,390.401,0.878713,227.467,401.512,0.845322,217.705,401.533,0.839427,191.275,383.434,0.9153
0,313.751,113.313,0.864513,281.776,135.589,0.718879,283.133,136.986,0.881884,294.341,189.873,0.86586,322.158,227.437,0.874886,280.34,134.158,0.58977,280.376,187.072,0.334936,292.889,216.318,0.534016,260.905,220.518,0.641635,263.643,221.887,0.6922,277.596,305.401,0.796566,276.174,383.419,0.870657,256.716,220.472,0.461791,249.71,305.466,0.841889,202.399,373.685,0.857565,309.588,107.671,0.879423,0.0,0.0,0.0,294.333,107.685,0.874676,0.0,0.0,0.0,224.705,402.888,0.839622,220.515,398.748,0.764475,191.253,377.839,0.827357,308.257,391.761,0.808988,301.29,394.556,0.886306,269.263,390.364,0.80843
0,312.349,114.698,0.919069,283.131,135.574,0.696515,281.758,135.573,0.866601,287.301,184.291,0.919312,320.711,226.022,0.87119,284.522,135.585,0.580187,290.126,194.026,0.12881,316.61,220.512,0.317522,263.697,224.666,0.737925,256.68,223.312,0.718082,256.665,301.255,0.83132,203.777,372.271,0.84044,273.389,226.043,0.697765,276.209,301.236,0.788475,273.402,384.811,0.864347,308.18,107.726,0.930015,312.407,109.129,0.0547276,292.887,106.293,0.857472,0.0,0.0,0.0,306.817,394.509,0.856398,303.998,391.711,0.783225,265.024,394.507,0.825663,226.078,402.92,0.880488,216.336,401.507,0.839705,192.64,375.076,0.911343
0,309.583,110.472,0.920681,283.138,136.992,0.748932,280.337,135.587,0.857055,285.981,185.648,0.876715,319.322,226.048,0.900413,285.957,138.364,0.655074,294.273,194.031,0.222924,298.478,219.119,0.297412,265.021,224.688,0.688289,256.681,224.695,0.669122,260.874,302.635,0.862885,206.577,370.853,0.860115,273.416,226.029,0.618746,273.385,299.869,0.741707,270.629,383.442,0.854474,305.405,104.902,0.91697,309.595,104.914,0.225446,290.078,104.951,0.864751,0.0,0.0,0.0,301.279,394.545,0.857285,298.477,391.718,0.79747,262.225,393.101,0.84292,226.062,402.848,0.84065,216.319,398.75,0.774553,195.433,372.268,0.943776
0,309.653,109.142,0.857004,280.362,135.584,0.697699,278.99,135.544,0.86285,284.51,185.677,0.906337,316.614,227.47,0.905926,281.727,136.964,0.613919,278.955,189.831,0.307386,291.504,216.336,0.543093,260.859,224.662,0.726319,252.524,226.072,0.731147,267.795,302.654,0.83579,209.349,370.86,0.890591,269.214,223.25,0.655156,272.018,301.285,0.691241,269.182,384.77,0.845836,306.821,103.57,0.896111,0.0,0.0,0.0,292.867,106.268,0.895075,0.0,0.0,0.0,302.641,395.887,0.867664,299.833,391.771,0.782416,260.822,394.493,0.84912,233.068,398.749,0.872926,223.301,398.71,0.790259,199.589,372.28,0.944121
0,309.624,114.623,0.920163,281.737,138.309,0.737185,277.619,136.991,0.866726,281.708,184.324,0.897911,313.738,227.449,0.903396,284.546,138.354,0.620204,280.348,194.02,0.172113,299.865,226.072,0.378125,259.495,224.702,0.723465,253.925,226.061,0.732798,267.82,302.602,0.821088,216.324,372.273,0.888026,266.43,224.67,0.628197,270.568,301.257,0.749522,263.678,384.833,0.880229,306.777,107.679,0.955988,308.23,107.688,0.0841959,288.688,104.975,0.883212,0.0,0.0,0.0,299.83,395.928,0.830717,295.692,393.115,0.732845,256.7,394.519,0.881638,239.971,400.131,0.82703,230.266,400.096,0.758756,205.217,373.712,0.953586
0,308.215,103.559,0.916073,278.941,138.322,0.720683,274.841,138.355,0.897613,276.197,187.074,0.899439,308.191,230.253,0.91717,281.766,136.987,0.590454,277.58,187.057,0.0852006,285.92,220.471,0.133652,253.932,224.649,0.676196,252.542,226.042,0.731431,270.58,304.062,0.850047,221.856,373.657,0.882781,256.678,223.273,0.528849,267.865,305.419,0.802173,260.921,384.835,0.862731,304.042,97.9971,0.902004,0.0,0.0,0.0,285.981,103.557,0.918766,0.0,0.0,0.0,292.909,397.337,0.782349,290.08,394.549,0.743343,255.319,393.155,0.714697,246.952,394.555,0.790461,238.608,395.898,0.803106,212.125,376.433,0.852764
0,305.444,107.694,0.919861,280.382,138.384,0.754371,274.764,138.348,0.89384,273.396,185.657,0.929885,304.066,228.874,0.907135,285.935,139.71,0.674734,277.555,192.626,0.130377,292.917,224.684,0.191627,252.54,224.691,0.679092,251.148,226.092,0.713834,273.39,304.043,0.890221,231.642,376.427,0.876159,255.29,224.646,0.51345,256.668,304.034,0.827002,255.307,383.394,0.698994,298.442,103.508,0.863891,304.034,102.168,0.458846,281.754,109.14,0.873687,0.0,0.0,0.0,291.495,398.71,0.716928,288.704,395.918,0.692188,255.303,393.186,0.298318,256.692,401.501,0.927162,248.332,401.488,0.93558,221.882,379.255,0.912885
0,302.604,103.551,0.94273,277.55,139.76,0.751223,273.393,141.125,0.881449,272.006,187.084,0.90625,299.855,227.479,0.93979,281.769,139.701,0.64404,0.0,0.0,0.0,0.0,0.0,0.0,246.954,227.458,0.687709,251.102,228.857,0.713104,276.182,301.285,0.848171,244.131,379.205,0.837135,241.418,226.071,0.544026,252.55,299.872,0.828591,258.081,384.775,0.724222,294.269,99.3558,0.934064,302.618,97.9825,0.727725,279.01,107.7,0.865996,0.0,0.0,0.0,284.553,401.477,0.772609,281.793,397.305,0.728328,256.702,395.91,0.274525,265.054,407.115,0.651233,256.684,407.062,0.594681,233.021,383.424,0.831376
0,298.439,103.52,0.915992,274.797,139.722,0.760478,270.645,139.72,0.883076,269.197,187.085,0.878769,292.906,226.079,0.904022,280.387,139.71,0.623102,266.455,191.283,0.125282,277.556,221.889,0.321198,244.176,221.92,0.697153,246.916,223.292,0.726775,277.595,298.504,0.843827,248.373,384.79,0.81846,242.746,221.89,0.549006,249.782,302.656,0.855137,256.681,383.367,0.782593,291.495,99.3454,0.903293,298.486,97.9309,0.746238,277.562,107.696,0.83777,0.0,0.0,0.0,283.127,407.064,0.616658,281.739,402.869,0.521775,252.521,393.132,0.262375,273.424,408.49,0.649842,269.196,409.835,0.537639,239.992,393.145,0.789471
0,291.458,107.746,0.915396,271.99,139.776,0.769177,269.247,141.126,0.884013,263.669,184.303,0.932044,288.69,223.305,0.840799,274.803,139.732,0.642555,269.239,194.021,0.199218,281.729,219.133,0.660844,241.417,223.251,0.701124,246.927,223.296,0.724472,276.169,297.099,0.826293,260.916,387.57,0.807455,237.177,221.907,0.54949,249.697,305.406,0.860035,248.303,386.155,0.80459,283.137,103.56,0.92067,295.633,104.888,0.895815,271.977,111.869,0.828687,301.284,113.262,0.14756,273.366,395.959,0.0784782,0.0,0.0,0.0,239.992,395.899,0.840353,295.658,402.904,0.853117,285.943,405.685,0.862064,252.494,397.338,0.737208
0,297.069,114.692,0.814433,266.481,141.121,0.723125,265.053,139.787,0.885282,262.296,187.091,0.902742,285.932,228.815,0.847682,269.237,141.165,0.58092,276.171,198.221,0.290974,291.482,223.269,0.619392,242.757,226.054,0.672969,245.533,226.081,0.709467,272.063,304.038,0.847543,272.032,395.895,0.796926,239.972,226.07,0.514919,252.535,306.786,0.852457,244.169,390.326,0.812822,294.274,107.688,0.799491,0.0,0.0,0.0,281.718,109.143,0.827513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.201,397.377,0.856995,306.854,401.515,0.790089,298.478,405.701,0.82776,265.061,405.645,0.708421
0,295.697,111.899,0.8997,266.416,141.157,0.749942,263.623,139.738,0.889851,259.507,191.235,0.898077,285.947,234.414,0.899345,269.241,143.902,0.694926,276.225,195.403,0.785367,297.035,226.044,0.877945,239.996,226.068,0.682382,242.785,227.433,0.694597,278.943,299.886,0.791739,285.932,388.95,0.805425,234.448,226.081,0.519271,244.167,305.385,0.833043,238.618,387.59,0.875776,291.521,104.96,0.867959,0.0,0.0,0.0,276.162,106.362,0.858532,0.0,0.0,0.0,269.259,397.293,0.678209,265.082,393.152,0.575137,230.228,397.284,0.806076,320.752,393.098,0.684923,315.202,395.91,0.753421,281.719,397.329,0.883661
0,292.904,117.465,0.958327,266.467,145.331,0.819005,259.471,139.73,0.906847,258.088,189.848,0.889971,280.373,227.449,0.840228,273.442,149.491,0.776579,279.006,195.41,0.712453,291.498,220.518,0.847304,246.922,226.071,0.690315,239.96,226.036,0.689124,241.406,306.835,0.566329,235.818,388.976,0.720165,253.926,227.448,0.602384,281.748,302.654,0.54784,297.068,390.329,0.663773,287.294,113.244,0.91316,294.237,113.273,0.497089,269.264,114.633,0.902363,0.0,0.0,0.0,333.253,387.608,0.693256,330.472,386.17,0.686136,291.51,401.476,0.639441,270.656,400.098,0.765411,263.664,402.923,0.748635,227.43,397.323,0.784344
0,291.498,117.471,0.961674,265.09,145.302,0.830987,258.122,142.51,0.899067,255.309,191.235,0.887343,279.007,230.287,0.838748,273.405,146.721,0.803822,281.712,192.625,0.712153,292.917,224.691,0.86702,249.739,231.648,0.755953,238.553,231.628,0.706576,238.602,311.03,0.843424,230.279,387.593,0.866614,262.227,233.002,0.722654,274.792,305.416,0.867616,305.45,384.816,0.810005,285.915,113.289,0.961139,292.871,113.298,0.385174,270.592,114.626,0.907895,0.0,0.0,0.0,341.598,380.644,0.750722,338.805,379.209,0.755499,302.655,398.694,0.759382,265.05,395.981,0.829757,256.695,400.14,0.817665,224.649,395.91,0.885455
0,284.594,116.038,0.957811,266.461,145.329,0.817184,258.101,143.881,0.88269,252.551,192.611,0.909718,281.728,227.455,0.804671,276.187,148.06,0.774022,276.167,196.831,0.525176,292.912,224.68,0.796704,244.135,234.396,0.682152,237.215,234.414,0.678491,274.837,306.861,0.850574,312.41,382.024,0.844788,249.744,233.056,0.583592,238.549,316.603,0.885906,227.43,390.377,0.874415,280.325,110.475,0.918393,288.728,110.477,0.884539,265.043,113.315,0.75194,0.0,0.0,0.0,258.121,401.492,0.833335,253.949,398.724,0.796909,217.708,397.354,0.879986,344.441,373.624,0.747904,341.618,379.191,0.757241,309.619,393.157,0.822518
0,283.17,116.081,0.962801,265.052,146.695,0.794984,258.044,143.943,0.855634,252.519,192.677,0.916392,278.942,233.052,0.841463,273.427,148.091,0.689177,270.642,198.212,0.347546,284.568,220.468,0.763851,237.213,237.187,0.664514,241.383,238.571,0.659613,276.197,306.835,0.850107,316.603,379.249,0.845484,233.018,235.82,0.515928,237.152,312.364,0.835575,220.507,390.375,0.840946,276.193,110.474,0.888881,287.306,110.495,0.903514,262.227,114.626,0.822947,0.0,0.0,0.0,258.059,400.148,0.851819,252.543,398.686,0.803553,213.498,398.704,0.877841,347.187,369.497,0.731977,344.447,373.667,0.742323,315.193,390.371,0.777677
0,287.345,117.446,0.950357,260.863,146.733,0.850356,252.549,145.313,0.892829,251.177,192.663,0.919157,281.767,235.771,0.850613,267.811,148.129,0.802994,276.159,195.423,0.67774,292.938,226.021,0.86795,248.379,239.955,0.728435,238.575,239.974,0.693051,232.996,312.406,0.780564,217.667,391.714,0.858414,259.508,238.604,0.685799,273.436,305.478,0.848144,316.567,381.981,0.811379,283.093,113.268,0.940894,287.299,113.244,0.154608,263.657,116.011,0.869722,0.0,0.0,0.0,347.207,372.275,0.802854,344.433,372.219,0.754179,313.771,394.499,0.761827,251.13,402.879,0.801091,245.534,404.318,0.798501,208.002,397.369,0.851434
0,285.962,118.867,0.934736,252.53,145.275,0.728781,252.562,145.335,0.880451,252.479,194.061,0.885124,287.312,234.41,0.803182,252.502,142.548,0.592636,262.286,201.01,0.354999,292.886,227.457,0.778982,234.406,241.407,0.653299,238.593,242.783,0.659965,274.776,309.592,0.848652,316.569,381.989,0.851749,230.219,240.001,0.49861,227.446,316.54,0.872768,213.559,390.392,0.844881,281.783,114.619,0.928278,0.0,0.0,0.0,263.625,114.663,0.868308,0.0,0.0,0.0,244.172,400.129,0.783566,239.992,398.696,0.76011,205.146,397.344,0.880835,348.574,370.902,0.785353,344.439,376.476,0.743748,313.818,393.113,0.802035
0,285.902,118.852,0.925173,259.434,149.463,0.832826,251.18,146.681,0.890748,252.478,194.077,0.92777,283.164,237.205,0.879126,265.024,150.876,0.80792,276.159,198.222,0.842374,298.509,228.886,0.896247,230.271,234.439,0.685284,230.234,235.805,0.729019,272.06,306.774,0.87154,309.618,382.047,0.832401,233.009,234.415,0.539768,226.091,315.133,0.882749,209.335,388.981,0.845352,281.748,113.281,0.901904,0.0,0.0,0.0,265.027,114.704,0.834606,0.0,0.0,0.0,244.152,401.487,0.783269,239.95,398.721,0.756178,202.342,397.356,0.925836,345.836,375.07,0.769274,341.608,381.976,0.762628,308.178,394.553,0.86694
