,Nose_x,Nose_y,Nose_likelihood,Neck_x,Neck_y,Neck_likelihood,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_likelihood,Right_Elbow_x,Right_Elbow_y,Right_Elbow_likelihood,Right_Wrist_x,Right_Wrist_y,Right_Wrist_likelihood,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_likelihood,Left_Elbow_x,Left_Elbow_y,Left_Elbow_likelihood,Left_Wrist_x,Left_Wrist_y,Left_Wrist_likelihood,MidHip_x,MidHip_y,MidHip_likelihood,Right_Hip_x,Right_Hip_y,Right_Hip_likelihood,Right_Knee_x,Right_Knee_y,Right_Knee_likelihood,Right_Ankle_x,Right_Ankle_y,Right_Ankle_likelihood,Left_Hip_x,Left_Hip_y,Left_Hip_likelihood,Left_Knee_x,Left_Knee_y,Left_Knee_likelihood,Left_Ankle_x,Left_Ankle_y,Left_Ankle_likelihood,Right_Eye_x,Right_Eye_y,Right_Eye_likelihood,Left_Eye_x,Left_Eye_y,Left_Eye_likelihood,Right_Ear_x,Right_Ear_y,Right_Ear_likelihood,Left_Ear_x,Left_Ear_y,Left_Ear_likelihood,Left_BigToe_x,Left_BigToe_y,Left_BigToe_likelihood,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_likelihood,Left_Heel_x,Left_Heel_y,Left_Heel_likelihood,Right_BigToe_x,Right_BigToe_y,Right_BigToe_likelihood,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_likelihood,Right_Heel_x,Right_Heel_y,Right_Heel_likelihood
0,694.037,131.755,0.918768,684.259,204.279,0.842578,633.323,198.427,0.849791,604.019,288.386,0.879657,590.222,366.804,0.880931,739.09,208.171,0.818755,748.912,298.28,0.796225,750.863,380.577,0.802504,666.662,370.786,0.686489,635.182,368.78,0.683623,631.318,492.224,0.754854,619.507,615.658,0.798639,699.927,376.627,0.642146,694.039,492.318,0.897539,672.496,609.825,0.753102,682.311,119.993,0.927067,705.752,122.009,0.832828,666.643,131.801,0.959634,715.545,135.688,0.910164,680.355,637.226,0.693232,695.979,635.273,0.795302,664.555,621.582,0.684766,619.584,649.03,0.689179,603.93,646.985,0.641302,623.487,621.599,0.564775
0,694.037,131.755,0.918851,684.258,204.281,0.842277,633.322,198.428,0.848978,604.014,288.386,0.88079,590.218,366.803,0.881036,739.091,208.17,0.818461,748.912,298.281,0.796646,750.864,380.579,0.802777,666.662,370.786,0.68628,635.182,368.782,0.683444,631.33,492.23,0.7554,619.507,615.655,0.799864,699.926,376.626,0.642174,694.043,492.313,0.898852,672.496,609.823,0.753375,682.311,119.993,0.926912,705.752,122.009,0.832708,666.643,131.801,0.959468,715.545,135.687,0.910532,680.356,637.227,0.693184,695.98,635.274,0.79517,664.555,621.579,0.686538,619.577,649.026,0.693604,603.924,646.979,0.646275,623.483,621.594,0.567098
0,695.956,131.832,0.93867,684.303,208.095,0.843991,635.185,200.361,0.834737,605.857,286.547,0.867187,590.22,366.887,0.885516,739.104,210.055,0.829126,748.92,298.27,0.79056,748.935,380.563,0.797437,668.59,372.709,0.656847,635.301,368.823,0.674023,633.215,492.274,0.733441,619.596,615.68,0.79762,703.816,376.677,0.615253,695.875,494.137,0.899814,672.474,611.734,0.751184,684.239,120.076,0.884593,707.769,125.889,0.853438,668.608,131.833,0.916198,715.646,135.761,0.866739,684.227,637.21,0.710515,697.934,635.213,0.809888,662.716,621.598,0.70394,619.57,648.96,0.709185,603.945,645.025,0.659701,625.445,621.614,0.603731
0,696.054,133.725,0.94856,686.238,208.14,0.839403,635.279,202.297,0.828015,605.916,288.431,0.869439,590.268,368.749,0.874471,740.985,210.083,0.838669,750.824,298.289,0.783134,750.818,382.457,0.810403,672.475,368.869,0.656408,637.25,366.871,0.658445,633.316,492.192,0.766585,619.7,617.597,0.770993,707.764,372.743,0.631743,695.881,492.273,0.903683,672.465,607.838,0.753535,686.184,123.907,0.851993,709.697,127.857,0.875135,670.506,133.658,0.91063,719.48,135.736,0.845997,684.224,635.346,0.722592,697.913,633.342,0.792355,662.706,619.668,0.715427,621.567,650.913,0.694294,605.912,648.906,0.655486,627.43,623.52,0.58499
0,697.905,133.781,0.941186,688.187,208.153,0.838681,637.18,202.275,0.818293,607.817,288.524,0.868869,590.267,368.882,0.855243,741.039,210.114,0.852137,752.785,300.26,0.792317,750.824,382.583,0.825635,676.36,368.838,0.660401,639.22,366.84,0.645723,635.189,482.487,0.760102,629.349,617.61,0.724481,709.74,372.732,0.654958,695.887,492.264,0.90176,670.557,607.841,0.761217,688.141,125.879,0.841193,711.57,129.762,0.89987,670.566,133.715,0.901771,721.461,137.65,0.83877,684.226,637.199,0.713688,697.904,633.362,0.778416,662.715,619.607,0.739354,627.438,650.861,0.637482,613.698,647.016,0.590901,633.309,623.535,0.638074
0,697.954,135.698,0.9206,692.059,210.094,0.872245,637.238,206.165,0.804608,607.859,290.491,0.84923,592.147,370.778,0.843295,743.01,212.089,0.867104,756.674,304.13,0.859066,752.803,384.422,0.834322,678.388,370.815,0.681032,645.042,368.805,0.661959,635.297,484.403,0.705373,631.279,617.666,0.729643,711.664,378.583,0.679688,695.902,494.202,0.902153,670.561,605.929,0.758634,690.114,129.726,0.850507,711.595,131.667,0.930097,672.505,133.766,0.896562,725.296,141.517,0.853714,684.268,635.299,0.711881,697.93,633.271,0.764128,664.547,619.575,0.72915,625.461,652.869,0.623544,611.773,649.01,0.602322,635.238,627.427,0.636928
0,697.995,135.738,0.897922,692.093,210.169,0.876571,637.24,208.138,0.815228,609.825,290.513,0.841296,592.207,370.809,0.827639,743.052,212.145,0.859066,758.601,304.095,0.866896,754.783,382.483,0.831579,680.223,374.718,0.677542,645.077,370.79,0.655765,637.218,490.276,0.725535,633.203,617.679,0.802128,711.682,380.584,0.693962,695.898,494.286,0.890865,670.53,605.924,0.757099,690.128,129.753,0.854923,711.657,131.691,0.944835,672.496,133.835,0.8872,725.388,143.482,0.877283,686.215,637.181,0.720031,697.996,633.323,0.777269,664.545,619.571,0.728455,633.24,650.924,0.715702,617.641,648.92,0.693609,635.232,627.445,0.674296
0,698.03,137.639,0.873462,692.102,210.209,0.876943,637.235,208.194,0.824287,609.824,292.396,0.829281,592.187,370.831,0.819956,743.08,212.184,0.85529,758.662,304.117,0.879254,756.721,382.47,0.856235,680.216,376.659,0.684514,645.062,372.71,0.655912,639.215,492.17,0.694944,633.308,619.631,0.791716,711.667,382.476,0.698495,695.905,494.22,0.907617,670.515,603.968,0.781478,692.048,129.844,0.877576,711.672,131.766,0.96461,672.495,135.751,0.86948,725.384,145.471,0.896807,682.342,635.355,0.752271,697.907,633.29,0.782404,664.58,617.576,0.72181,635.228,652.929,0.716332,619.623,650.894,0.722144,635.301,631.356,0.623653
0,697.995,139.632,0.869559,692.092,212.062,0.878644,637.209,210.102,0.840399,609.771,294.36,0.817239,590.253,378.623,0.818948,743.045,214.064,0.854157,758.684,304.152,0.893885,756.756,380.602,0.860383,678.357,374.696,0.67515,643.086,370.783,0.654967,643.059,486.342,0.703389,633.354,621.536,0.79735,711.66,380.556,0.686734,695.912,494.224,0.908488,668.596,605.842,0.790866,692.035,131.713,0.894288,711.645,131.854,0.960286,672.475,137.65,0.856495,725.351,147.371,0.912051,684.234,637.205,0.757597,697.898,633.31,0.779129,664.55,617.627,0.737421,635.325,650.973,0.689083,621.528,649.029,0.697858,635.324,633.257,0.659813
0,697.937,143.523,0.898997,692.024,212.114,0.86635,635.331,210.19,0.851759,609.754,294.409,0.810726,590.218,382.434,0.847206,743.013,214.091,0.84894,758.699,304.154,0.897056,758.623,380.513,0.857059,678.357,380.535,0.674595,641.173,376.636,0.636219,645.001,496.162,0.546551,633.335,625.455,0.799736,711.687,382.549,0.684902,695.927,498.156,0.855171,668.563,603.975,0.812609,688.182,131.785,0.897895,711.593,133.682,0.946504,670.539,139.621,0.857581,723.439,147.368,0.894475,682.232,637.297,0.766608,695.973,633.377,0.780645,662.716,615.684,0.698931,637.245,651.001,0.764701,621.595,650.892,0.777795,635.311,635.219,0.653571
0,696.071,145.433,0.914151,688.175,212.198,0.847996,635.244,212.071,0.87437,607.797,298.289,0.819931,590.188,382.483,0.868559,742.958,216.02,0.827211,758.713,304.163,0.907677,758.763,380.5,0.87737,678.308,380.555,0.679774,641.135,374.721,0.642943,645.012,494.196,0.58472,633.354,629.376,0.805073,711.65,382.585,0.691989,695.888,498.158,0.844373,668.54,603.979,0.811032,684.312,133.649,0.911726,709.673,133.765,0.90635,668.539,143.501,0.877881,719.537,147.411,0.885701,682.261,637.281,0.773043,695.992,633.347,0.789852,662.718,617.569,0.700931,641.135,651.03,0.769666,625.434,650.965,0.77034,635.303,635.322,0.659666
0,695.966,147.342,0.92731,686.231,214.088,0.838901,635.183,212.165,0.872255,605.946,300.227,0.821411,590.214,382.555,0.861819,742.927,217.93,0.818346,758.768,304.184,0.904144,760.618,380.579,0.894868,676.354,382.502,0.678361,639.156,378.637,0.652297,643.093,535.322,0.476264,633.342,631.354,0.826229,711.577,384.497,0.685327,694.056,500.108,0.825346,666.716,605.85,0.807245,682.387,133.749,0.933195,707.713,133.834,0.878379,666.664,145.481,0.916191,717.585,147.451,0.899568,682.311,637.255,0.7639,696.026,633.33,0.794111,662.716,617.599,0.731151,641.148,654.852,0.699075,625.464,652.926,0.715136,635.277,637.226,0.628103
0,695.874,147.379,0.923676,684.296,216.04,0.836225,633.329,214.076,0.853247,607.819,302.171,0.827479,590.197,382.596,0.875859,741.048,217.985,0.803455,760.663,304.236,0.900709,760.726,380.545,0.887632,674.436,382.52,0.678509,637.256,378.631,0.657863,641.136,500.092,0.51714,635.266,631.34,0.762138,711.564,384.517,0.685775,694.016,503.953,0.823893,668.529,603.97,0.810449,682.302,133.789,0.951795,705.754,135.694,0.86593,666.578,147.34,0.946359,715.615,149.329,0.929808,680.356,637.187,0.776449,695.928,633.269,0.772755,664.536,615.655,0.700568,639.213,660.745,0.653254,625.457,656.832,0.659361,639.21,637.204,0.57878
0,693.977,147.4,0.906693,684.26,219.892,0.838703,633.313,216.029,0.831838,605.94,304.121,0.851988,590.264,384.493,0.854996,740.995,219.884,0.792287,762.597,304.224,0.887089,768.443,378.642,0.815437,674.461,382.535,0.684385,637.252,380.541,0.662838,643.111,500.074,0.696969,635.312,633.294,0.758443,711.602,384.514,0.687603,693.976,507.847,0.811742,666.672,603.903,0.836648,682.202,133.795,0.958702,701.905,135.694,0.867802,664.69,147.364,0.955744,713.736,149.362,0.952237,682.342,637.182,0.80043,695.99,633.23,0.780954,662.675,613.716,0.688668,643.09,664.59,0.703874,627.387,662.636,0.67107,639.192,641.11,0.581294
0,688.149,147.395,0.887197,682.387,219.906,0.85079,633.263,216.04,0.826811,605.906,304.082,0.845515,590.248,384.529,0.845104,739.061,219.892,0.780729,762.659,304.128,0.856499,772.415,370.84,0.862766,672.492,384.454,0.688566,637.205,382.487,0.677738,641.174,507.861,0.665325,637.256,633.276,0.681242,709.706,386.428,0.680341,693.98,507.907,0.818705,666.706,603.833,0.829008,680.281,133.815,0.933575,698.01,135.689,0.925753,664.628,147.4,0.956713,713.619,149.387,0.971026,682.322,635.28,0.81859,695.959,631.335,0.799082,662.716,609.778,0.711449,641.169,668.541,0.633061,627.417,664.704,0.647293,645.062,637.196,0.553001
