scorer,,,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar
bodyparts,,,Right_Hip,Right_Hip,Right_Knee,Right_Knee,Right_Ankle,Right_Ankle,Right_Toe,Right_Toe,Left_Hip,Left_Hip,Left_Knee,Left_Knee,Left_Ankle,Left_Ankle,Left_Toe,Left_Toe
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,BelowKnee_Left,img000.png,,,,,,,,,613.4101630795723,329.9211603356617,673.0615601198615,482.97408695219326,738.9920515854444,612.4804094738739,682.480201757802,643.0909947971802
labeled-data,BelowKnee_Left,img001.png,,,,,,,,,613.4101630795723,338.5549151704404,672.2766733166998,486.8985209680018,749.1955800265464,604.6315414422569,698.9628246241975,642.3061079940185
labeled-data,BelowKnee_Left,img002.png,,,,,,,,,603.2066346384702,333.06070754830847,663.642918481921,484.5438605585167,755.47467445184,598.3524470169633,713.8756738842699,642.3061079940185
labeled-data,BelowKnee_Left,img003.png,,,,,,,,,600.851974228985,340.1246887767638,651.0847296313339,486.8985209680018,757.8293348613252,590.5035789853463,730.3582967506657,643.8758816003419
labeled-data,BelowKnee_Left,img004.png,,,,,,,,,599.2822006226617,337.77002836727866,643.2358615997168,488.46829457432517,752.3351272391933,583.4395977568909,740.5618251917678,643.8758816003418
labeled-data,BelowKnee_Left,img005.png,,,,,,,,,596.1426534100149,339.33980197360205,625.1834651269978,492.3927285901336,742.1315987980911,580.3000505442441,746.0560328138997,646.230542009827
labeled-data,BelowKnee_Left,img006.png,,,,,,,,,593.7879930005297,344.83400959573396,607.9159554574403,490.8229549838103,727.2187495380188,575.590729725274,724.8640891285338,639.9514475845333
labeled-data,BelowKnee_Left,img007.png,,,,,,,,,591.4333325910446,343.2642359894105,593.003106197368,493.17761539329535,707.5965794589763,578.7302769379207,697.3930510178742,641.5212211908567
