,Nose_x,Nose_y,Nose_likelihood,Neck_x,Neck_y,Neck_likelihood,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_likelihood,Right_Elbow_x,Right_Elbow_y,Right_Elbow_likelihood,Right_Wrist_x,Right_Wrist_y,Right_Wrist_likelihood,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_likelihood,Left_Elbow_x,Left_Elbow_y,Left_Elbow_likelihood,Left_Wrist_x,Left_Wrist_y,Left_Wrist_likelihood,MidHip_x,MidHip_y,MidHip_likelihood,Right_Hip_x,Right_Hip_y,Right_Hip_likelihood,Right_Knee_x,Right_Knee_y,Right_Knee_likelihood,Right_Ankle_x,Right_Ankle_y,Right_Ankle_likelihood,Left_Hip_x,Left_Hip_y,Left_Hip_likelihood,Left_Knee_x,Left_Knee_y,Left_Knee_likelihood,Left_Ankle_x,Left_Ankle_y,Left_Ankle_likelihood,Right_Eye_x,Right_Eye_y,Right_Eye_likelihood,Left_Eye_x,Left_Eye_y,Left_Eye_likelihood,Right_Ear_x,Right_Ear_y,Right_Ear_likelihood,Left_Ear_x,Left_Ear_y,Left_Ear_likelihood,Left_BigToe_x,Left_BigToe_y,Left_BigToe_likelihood,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_likelihood,Left_Heel_x,Left_Heel_y,Left_Heel_likelihood,Right_BigToe_x,Right_BigToe_y,Right_BigToe_likelihood,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_likelihood,Right_Heel_x,Right_Heel_y,Right_Heel_likelihood
0,539.313,139.606,0.886048,590.198,194.452,0.679604,582.358,194.501,0.573326,0.0,0.0,0.0,0.0,0.0,0.0,600.006,194.369,0.811347,568.629,282.639,0.814712,476.607,319.771,0.864234,617.551,368.877,0.596783,603.927,370.779,0.513854,556.822,447.221,0.510069,513.776,513.76,0.527735,625.436,370.755,0.580773,676.362,484.405,0.65832,733.192,605.871,0.505659,0.0,0.0,0.0,547.081,131.678,0.876166,0.0,0.0,0.0,574.6,133.654,0.907168,686.192,635.272,0.260035,699.894,637.204,0.288279,756.685,621.523,0.451178,504.011,523.604,0.27921,509.852,525.474,0.311727,505.967,523.606,0.496434
0,539.234,141.576,0.886335,588.313,194.498,0.683334,582.335,194.527,0.565106,0.0,0.0,0.0,0.0,0.0,0.0,599.927,194.42,0.806122,564.758,280.66,0.780576,474.612,315.917,0.82552,607.862,370.806,0.557813,598.018,370.818,0.491248,552.955,451.107,0.52822,511.887,521.6,0.460444,619.669,372.724,0.563905,676.364,486.35,0.698079,744.984,601.928,0.63022,0.0,0.0,0.0,543.214,131.708,0.905545,0.0,0.0,0.0,574.489,133.629,0.924706,699.945,635.301,0.358936,711.649,637.218,0.365237,764.555,607.863,0.504715,507.942,527.5,0.403432,507.866,525.642,0.394356,509.841,527.542,0.394715
0,535.361,143.497,0.835458,586.262,194.452,0.646228,574.533,194.512,0.498035,0.0,0.0,0.0,0.0,0.0,0.0,590.184,194.379,0.804446,560.844,274.859,0.813315,474.605,315.895,0.818384,603.863,368.875,0.586369,588.318,370.762,0.489389,549.056,456.953,0.454898,0.0,0.0,0.0,615.695,370.779,0.563116,664.719,486.358,0.723827,748.863,590.259,0.618824,0.0,0.0,0.0,541.218,131.746,0.949237,0.0,0.0,0.0,572.592,133.707,0.93695,715.593,635.316,0.409812,727.297,635.321,0.404624,774.332,601.879,0.554088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,533.341,139.617,0.831377,584.318,192.506,0.616201,572.617,194.389,0.490932,560.803,272.835,0.0537707,0.0,0.0,0.0,588.23,190.565,0.788283,562.782,274.753,0.829836,476.483,317.917,0.862195,601.892,374.685,0.608646,586.227,376.625,0.53558,539.313,470.71,0.409526,523.639,519.65,0.387984,615.693,374.677,0.581885,652.878,490.284,0.8047,756.747,586.349,0.763494,0.0,0.0,0.0,539.345,131.655,0.940979,0.0,0.0,0.0,570.675,133.631,0.955207,729.294,637.275,0.698406,744.992,637.214,0.585694,774.426,586.292,0.737835,513.765,537.24,0.260202,507.916,533.406,0.2709,525.567,525.523,0.324418
0,531.44,137.651,0.832878,580.409,190.51,0.593047,572.573,190.547,0.450504,558.85,268.917,0.0509266,0.0,0.0,0.0,586.21,186.658,0.784254,566.675,272.88,0.84182,478.616,321.794,0.860731,592.134,368.852,0.56263,580.395,370.768,0.487863,543.176,458.935,0.518989,525.611,521.617,0.461734,603.968,368.836,0.566912,639.16,492.307,0.828326,746.962,576.521,0.7288,0.0,0.0,0.0,539.319,129.784,0.926497,0.0,0.0,0.0,570.553,131.819,0.950798,742.977,633.333,0.746859,758.648,631.283,0.601234,766.503,572.555,0.662576,521.601,537.247,0.391932,511.853,535.308,0.388164,531.418,525.531,0.364232
0,529.449,135.703,0.864795,580.4,186.586,0.57608,576.475,184.683,0.417963,0.0,0.0,0.0,0.0,0.0,0.0,582.36,184.67,0.754682,570.505,272.89,0.861646,486.383,331.554,0.767424,588.247,374.702,0.595803,574.495,376.665,0.535282,537.326,511.841,0.51099,551.034,615.661,0.734813,602.02,372.763,0.564499,621.618,494.279,0.819629,739.09,572.632,0.761155,0.0,0.0,0.0,539.237,127.85,0.905334,0.0,0.0,0.0,568.658,131.765,0.934715,744.9,631.286,0.648454,758.636,621.524,0.585354,758.614,568.674,0.628675,498.099,625.493,0.537892,502.041,619.593,0.559644,560.84,625.435,0.674209
0,529.468,133.794,0.887421,576.524,186.59,0.593016,570.572,188.543,0.496559,0.0,0.0,0.0,0.0,0.0,0.0,586.221,182.766,0.800909,572.524,272.897,0.8797,502.005,337.423,0.776726,586.25,372.738,0.591925,570.665,374.682,0.54125,541.287,525.502,0.735362,568.629,617.582,0.748526,599.984,372.738,0.555172,603.915,494.213,0.876432,727.271,570.673,0.779843,0.0,0.0,0.0,539.237,125.881,0.892238,0.0,0.0,0.0,568.661,131.724,0.923177,723.404,631.318,0.590824,733.182,623.498,0.528595,743.055,566.706,0.683459,511.829,631.279,0.622073,515.773,621.553,0.597175,580.411,627.45,0.684143
0,527.547,133.72,0.912031,580.375,182.763,0.607781,572.534,184.661,0.506654,0.0,0.0,0.0,0.0,0.0,0.0,586.232,182.711,0.808228,582.377,272.726,0.846229,519.688,341.363,0.77475,588.167,368.774,0.652954,574.578,368.827,0.565396,554.841,527.529,0.710046,584.344,619.512,0.748182,598.027,368.786,0.610203,586.334,492.267,0.858698,705.757,572.516,0.740987,0.0,0.0,0.0,539.198,122.006,0.898316,0.0,0.0,0.0,568.649,131.647,0.8995,695.961,627.413,0.56564,707.745,619.583,0.504775,727.26,570.566,0.672756,525.607,633.211,0.683433,529.462,625.465,0.62487,599.938,631.285,0.68546
0,529.454,133.655,0.9194,584.297,182.713,0.586776,574.516,182.745,0.462528,0.0,0.0,0.0,0.0,0.0,0.0,586.357,180.844,0.829288,586.3,272.812,0.904433,539.166,351.1,0.8117,594.104,359.031,0.529714,588.275,360.996,0.419238,570.603,492.193,0.552901,599.959,617.654,0.743502,599.943,359.023,0.569299,574.497,490.244,0.749035,684.253,578.481,0.722793,0.0,0.0,0.0,539.252,120.092,0.921048,0.0,0.0,0.0,568.681,129.739,0.877501,664.552,637.203,0.691034,678.349,635.203,0.568226,705.771,578.462,0.699685,541.287,633.32,0.691712,543.227,629.373,0.624632,613.715,631.288,0.722808
0,529.49,133.642,0.907703,584.284,182.733,0.616236,572.617,184.641,0.488671,0.0,0.0,0.0,0.0,0.0,0.0,588.162,182.674,0.822235,596.04,272.731,0.825772,554.955,359.001,0.803431,598.025,362.923,0.58926,600.004,364.854,0.443696,586.246,488.31,0.679318,631.312,604.0,0.669388,594.097,362.925,0.586276,568.646,492.173,0.820948,664.587,590.176,0.752545,0.0,0.0,0.0,539.281,120.088,0.93023,0.0,0.0,0.0,570.502,127.865,0.878097,631.317,641.156,0.59936,645.018,641.127,0.517847,682.275,594.123,0.722415,566.667,635.211,0.562222,562.791,633.201,0.499567,637.261,619.678,0.383221
