,Nose_x,Nose_y,Nose_likelihood,Neck_x,Neck_y,Neck_likelihood,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_likelihood,Right_Elbow_x,Right_Elbow_y,Right_Elbow_likelihood,Right_Wrist_x,Right_Wrist_y,Right_Wrist_likelihood,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_likelihood,Left_Elbow_x,Left_Elbow_y,Left_Elbow_likelihood,Left_Wrist_x,Left_Wrist_y,Left_Wrist_likelihood,MidHip_x,MidHip_y,MidHip_likelihood,Right_Hip_x,Right_Hip_y,Right_Hip_likelihood,Right_Knee_x,Right_Knee_y,Right_Knee_likelihood,Right_Ankle_x,Right_Ankle_y,Right_Ankle_likelihood,Left_Hip_x,Left_Hip_y,Left_Hip_likelihood,Left_Knee_x,Left_Knee_y,Left_Knee_likelihood,Left_Ankle_x,Left_Ankle_y,Left_Ankle_likelihood,Right_Eye_x,Right_Eye_y,Right_Eye_likelihood,Left_Eye_x,Left_Eye_y,Left_Eye_likelihood,Right_Ear_x,Right_Ear_y,Right_Ear_likelihood,Left_Ear_x,Left_Ear_y,Left_Ear_likelihood,Left_BigToe_x,Left_BigToe_y,Left_BigToe_likelihood,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_likelihood,Left_Heel_x,Left_Heel_y,Left_Heel_likelihood,Right_BigToe_x,Right_BigToe_y,Right_BigToe_likelihood,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_likelihood,Right_Heel_x,Right_Heel_y,Right_Heel_likelihood
0,0.0,0.0,0.0,649.004,192.498,0.881499,705.752,194.374,0.772025,729.208,288.499,0.914432,741.069,380.505,0.841786,592.197,192.421,0.785262,572.485,288.442,0.885689,572.671,353.097,0.838306,649.011,368.876,0.666328,684.306,370.813,0.600858,682.267,492.175,0.731351,680.208,621.549,0.686374,613.71,368.816,0.581887,617.536,498.098,0.753893,617.596,650.911,0.72095,0.0,0.0,0.0,0.0,0.0,0.0,676.415,125.908,0.757371,621.609,127.789,0.777774,617.689,684.209,0.643606,623.514,680.376,0.640013,617.638,664.693,0.652696,686.221,649.024,0.400908,694.019,648.921,0.496002,674.445,637.199,0.585348
0,0.0,0.0,0.0,649.009,194.487,0.910361,705.775,194.532,0.80345,729.224,290.413,0.919916,742.968,380.574,0.862198,594.132,194.395,0.816377,572.507,290.388,0.889941,578.427,349.254,0.667579,648.967,370.772,0.647712,684.217,370.808,0.597229,680.339,482.484,0.724349,680.236,621.553,0.664626,613.651,370.767,0.55269,615.595,507.85,0.757627,617.55,650.911,0.716415,0.0,0.0,0.0,0.0,0.0,0.0,678.308,129.747,0.806233,621.546,129.771,0.845009,615.654,688.125,0.643503,621.603,682.327,0.666729,617.663,664.624,0.635789,680.311,648.957,0.429875,690.12,646.989,0.479961,680.247,637.204,0.587131
0,0.0,0.0,0.0,649.045,198.371,0.901677,707.738,200.299,0.783468,727.373,294.35,0.882353,743.04,382.586,0.906055,592.162,196.459,0.828237,570.632,290.493,0.896595,584.266,357.056,0.663476,648.936,374.697,0.638267,682.363,378.597,0.615073,680.287,482.435,0.63814,678.335,623.484,0.657277,611.72,372.745,0.553859,615.62,507.835,0.787784,617.538,652.919,0.696944,0.0,0.0,0.0,0.0,0.0,0.0,678.363,131.756,0.881794,621.53,131.831,0.87583,617.566,690.099,0.607658,623.516,682.373,0.603423,617.607,668.533,0.614864,678.341,629.368,0.259737,690.098,633.271,0.331104,676.426,637.198,0.606933
0,0.0,0.0,0.0,650.851,202.292,0.865022,707.758,208.112,0.780065,727.424,294.363,0.890112,743.059,384.474,0.890592,592.198,198.407,0.796487,570.518,300.247,0.825768,590.237,349.251,0.551429,648.875,380.565,0.656791,682.289,382.495,0.638588,678.358,492.235,0.664852,676.425,613.728,0.639186,607.829,378.608,0.576093,611.711,509.868,0.748456,615.635,654.848,0.675871,0.0,0.0,0.0,0.0,0.0,0.0,678.342,135.702,0.849914,623.513,135.663,0.829061,609.813,695.924,0.636382,619.56,692.03,0.600262,617.679,668.604,0.602061,668.621,635.275,0.454867,682.258,633.359,0.490038,676.396,629.372,0.584457
0,0.0,0.0,0.0,650.953,208.091,0.863928,709.639,210.1,0.827331,729.258,294.379,0.890782,744.894,384.484,0.900565,599.983,200.376,0.794202,570.558,302.179,0.852829,594.144,343.364,0.513758,648.88,382.523,0.665046,682.299,384.454,0.64181,678.356,494.175,0.70674,670.547,609.796,0.645775,607.812,380.574,0.583705,607.804,513.772,0.722695,615.648,652.945,0.733094,0.0,0.0,0.0,0.0,0.0,0.0,680.257,141.578,0.799471,623.513,137.676,0.782034,605.902,695.946,0.675641,619.615,692.05,0.651405,617.631,666.672,0.634458,666.53,621.544,0.488424,678.382,623.506,0.474072,670.542,625.467,0.620611
0,0.0,0.0,0.0,650.933,210.216,0.909089,709.713,212.126,0.833723,729.245,298.273,0.879737,744.899,386.433,0.875118,598.001,210.049,0.819232,570.523,304.206,0.88905,598.008,337.516,0.392781,647.016,384.516,0.65106,682.245,386.468,0.628902,674.441,492.189,0.693865,666.537,615.668,0.672784,605.941,382.571,0.597523,605.862,511.875,0.759048,607.819,650.944,0.755581,0.0,0.0,0.0,0.0,0.0,0.0,680.391,145.506,0.890602,625.484,147.338,0.838447,603.867,694.057,0.727497,619.568,688.146,0.684014,609.816,664.602,0.604309,662.66,621.567,0.434236,672.468,625.449,0.433905,664.683,631.335,0.655704
0,0.0,0.0,0.0,652.911,212.043,0.883152,711.629,214.115,0.813122,729.323,302.169,0.881634,745.042,386.487,0.861437,601.86,208.203,0.83123,570.601,304.146,0.886978,599.957,337.52,0.426376,648.945,386.442,0.678284,682.294,388.414,0.645167,674.433,492.225,0.697124,666.581,611.748,0.574954,611.72,384.477,0.588685,605.838,511.861,0.759118,605.899,650.948,0.65954,0.0,0.0,0.0,0.0,0.0,0.0,682.375,147.479,0.848632,631.349,147.377,0.87185,601.907,694.062,0.589893,607.832,692.026,0.533263,613.703,668.575,0.476635,664.695,635.301,0.192736,678.393,633.343,0.248459,666.563,631.293,0.464996
0,0.0,0.0,0.0,658.742,212.073,0.860794,713.63,216.053,0.810043,729.373,302.231,0.878826,745.073,388.422,0.846338,601.977,208.157,0.839587,570.617,302.239,0.858857,598.019,339.411,0.47835,649.02,386.431,0.680521,684.216,388.413,0.627973,678.293,498.139,0.675649,666.631,619.653,0.709731,613.722,384.459,0.583917,603.865,515.783,0.753843,605.895,650.911,0.70037,0.0,0.0,0.0,0.0,0.0,0.0,690.077,147.455,0.854758,635.21,147.382,0.860615,598.056,697.927,0.619154,603.937,696.021,0.61181,617.64,666.623,0.56017,664.554,633.317,0.289937,674.44,635.253,0.324298,666.581,635.283,0.615532
0,0.0,0.0,0.0,662.623,212.096,0.881087,713.705,219.942,0.797192,731.247,304.109,0.87958,746.897,388.44,0.842865,603.941,208.09,0.83014,570.644,300.228,0.852012,590.257,339.46,0.588373,648.959,384.552,0.674299,682.355,388.418,0.639208,680.22,496.178,0.742152,666.582,621.539,0.718104,609.815,382.554,0.570602,601.936,509.833,0.819504,601.985,631.335,0.696739,0.0,0.0,0.0,0.0,0.0,0.0,693.991,149.409,0.845971,637.29,147.484,0.839707,603.903,695.962,0.4943,601.934,694.012,0.434871,607.84,648.914,0.528158,664.63,619.635,0.249613,678.286,625.481,0.262535,664.701,635.327,0.577399
0,0.0,0.0,0.0,664.654,212.086,0.918894,719.471,221.841,0.776922,733.266,306.118,0.848057,746.997,392.316,0.824996,605.913,206.197,0.79499,572.525,294.403,0.841219,588.336,347.277,0.67049,648.949,384.524,0.678561,682.353,388.428,0.635998,680.37,498.142,0.800341,666.59,631.296,0.709603,611.719,382.512,0.573612,603.86,505.98,0.828678,599.949,619.545,0.727966,0.0,0.0,0.0,0.0,0.0,0.0,697.874,149.45,0.899111,645.007,149.358,0.833374,635.191,652.905,0.215066,0.0,0.0,0.0,588.223,633.328,0.522141,664.641,641.138,0.421359,676.372,641.145,0.478725,664.603,646.966,0.646928
