,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,306.818,67.3005,0.906581,265.057,110.489,0.777873,273.389,113.275,0.868725,267.809,175.95,0.800932,281.724,251.142,0.827161,256.677,107.697,0.727218,260.894,187.105,0.198872,291.493,216.353,0.737961,260.871,242.778,0.606321,266.439,242.79,0.635971,290.07,327.72,0.843605,269.229,423.751,0.824096,253.897,242.772,0.522632,277.602,324.899,0.800468,220.487,383.379,0.816681,301.282,60.3142,0.897175,0.0,0.0,0.0,283.133,61.7917,0.960443,0.0,0.0,0.0,230.29,425.148,0.663631,227.464,419.604,0.555238,207.95,383.433,0.733876,308.2,434.935,0.843602,298.459,439.056,0.859716,259.468,432.158,0.815532
0,305.422,63.1168,0.89489,265.034,107.76,0.804808,274.777,110.495,0.851819,273.364,181.516,0.915125,294.338,244.143,0.904937,253.95,107.68,0.753993,260.826,177.316,0.055877,0.0,0.0,0.0,262.232,241.386,0.641493,270.577,241.378,0.661669,291.5,327.715,0.820835,255.338,423.761,0.787704,252.551,241.388,0.550472,281.724,322.146,0.787522,234.403,390.399,0.801674,301.227,54.8202,0.86569,0.0,0.0,0.0,283.199,60.3669,0.954563,0.0,0.0,0.0,244.186,414.012,0.315571,246.919,407.078,0.337289,221.886,393.173,0.767999,297.109,437.695,0.850434,287.328,440.487,0.828737,244.178,430.782,0.833919
0,303.987,64.5144,0.801094,263.626,107.764,0.839884,273.42,110.507,0.862926,280.329,178.689,0.864503,308.238,235.767,0.878816,252.548,106.355,0.766741,0.0,0.0,0.0,0.0,0.0,0.0,259.469,237.226,0.666853,273.373,238.572,0.658061,299.863,323.497,0.859848,245.578,416.845,0.770104,245.527,237.222,0.617191,269.235,326.29,0.890423,258.11,408.484,0.716272,299.823,57.562,0.804086,0.0,0.0,0.0,283.174,61.7696,0.960342,0.0,0.0,0.0,290.102,425.148,0.561235,285.957,418.201,0.532806,258.079,412.667,0.117857,283.187,436.304,0.716306,274.79,440.519,0.661497,234.443,425.187,0.818819
0,305.383,63.1645,0.918641,265.024,110.522,0.854804,277.6,111.89,0.842391,281.793,171.781,0.897001,320.746,228.826,0.891505,252.503,109.13,0.799956,256.7,178.741,0.0791764,0.0,0.0,0.0,253.931,237.205,0.672221,266.414,238.579,0.673412,301.249,317.937,0.870286,274.802,400.085,0.82284,241.413,237.187,0.612296,263.708,329.058,0.871224,234.403,422.385,0.790869,299.824,57.5892,0.907388,0.0,0.0,0.0,281.79,61.7574,0.964798,0.0,0.0,0.0,270.633,440.511,0.72566,269.192,437.668,0.672447,224.623,432.124,0.795695,311.014,422.379,0.765418,302.619,423.807,0.746244,266.481,407.043,0.731404
0,306.821,68.742,0.895251,265.039,111.912,0.829496,278.961,113.297,0.832537,288.7,177.366,0.859112,336.054,228.859,0.87849,252.486,110.496,0.758929,259.479,182.92,0.0973871,0.0,0.0,0.0,252.493,237.216,0.695119,265.043,239.967,0.665466,290.073,322.177,0.837649,298.511,413.996,0.787263,238.611,235.807,0.637275,256.693,322.126,0.835678,223.3,422.359,0.735544,302.654,61.7463,0.9076,0.0,0.0,0.0,284.535,64.5818,0.932322,0.0,0.0,0.0,262.254,440.5,0.757697,256.727,437.683,0.690428,213.524,433.497,0.750519,337.471,419.591,0.774118,330.465,423.774,0.762844,290.094,423.762,0.757385
0,305.455,70.1531,0.914017,266.415,117.411,0.805996,277.581,118.821,0.824407,295.731,182.925,0.908893,348.601,226.073,0.880718,253.935,116.057,0.724951,262.298,182.893,0.108965,0.0,0.0,0.0,259.485,235.778,0.636316,255.275,235.822,0.598428,245.59,320.763,0.818634,206.57,426.537,0.812976,266.449,235.793,0.535434,297.064,319.368,0.768594,317.915,408.483,0.822351,301.212,63.1426,0.906837,0.0,0.0,0.0,281.791,68.7482,0.935341,0.0,0.0,0.0,352.797,416.809,0.715897,352.75,411.264,0.696012,309.598,419.645,0.709176,249.699,440.475,0.774177,238.571,443.283,0.721854,195.451,434.899,0.763324
0,305.477,74.2586,0.908816,266.426,118.843,0.766286,274.826,120.253,0.833242,301.251,184.256,0.898755,361.157,224.675,0.849966,256.66,117.464,0.707912,262.266,182.908,0.067492,0.0,0.0,0.0,251.134,241.377,0.651087,262.275,242.744,0.635797,298.446,316.547,0.79624,330.516,408.44,0.795573,238.607,239.987,0.550605,240.038,323.549,0.78907,201.01,419.584,0.737143,301.276,67.3479,0.878573,0.0,0.0,0.0,283.17,71.5293,0.949373,0.0,0.0,0.0,235.837,443.26,0.711616,234.399,439.085,0.655627,188.455,427.978,0.689424,369.501,398.69,0.796526,363.914,404.292,0.765906,327.683,420.995,0.796101
0,308.259,77.0966,0.893708,267.869,120.243,0.728354,274.802,120.282,0.811461,302.597,182.908,0.884358,359.769,217.696,0.901862,259.488,120.226,0.606754,278.962,184.274,0.160444,0.0,0.0,0.0,259.446,251.105,0.646933,248.369,251.131,0.593038,234.429,331.851,0.784988,188.452,422.365,0.801684,269.217,251.129,0.593606,302.678,324.924,0.837005,338.892,407.079,0.777966,304.037,71.4728,0.944449,0.0,0.0,0.0,283.178,75.6639,0.92218,0.0,0.0,0.0,377.818,395.959,0.691414,373.666,394.54,0.691238,337.43,422.371,0.722317,228.84,441.912,0.777419,219.092,444.702,0.725749,177.296,429.361,0.804136
0,309.632,81.2611,0.880241,267.804,125.824,0.784965,276.168,125.831,0.836419,304.017,185.662,0.910494,368.07,216.304,0.872416,258.062,125.804,0.733441,235.815,194.008,0.701321,219.133,244.169,0.812736,262.252,248.348,0.623486,252.55,248.359,0.579929,237.175,327.715,0.819766,180.094,418.173,0.818273,272.031,249.736,0.561675,306.845,326.282,0.846192,336.051,409.864,0.754614,305.382,74.2629,0.926848,0.0,0.0,0.0,284.517,78.5033,0.934677,0.0,0.0,0.0,370.865,404.304,0.579204,368.078,402.912,0.583116,334.674,425.153,0.690984,214.941,444.647,0.774506,203.798,446.037,0.737708,168.947,422.358,0.856586
0,309.648,84.0589,0.883478,270.58,129.957,0.84083,280.383,128.602,0.84751,303.998,185.686,0.910531,368.055,214.874,0.867266,259.471,129.983,0.75988,235.816,191.24,0.76391,217.745,246.931,0.860431,251.136,253.893,0.706402,267.83,255.311,0.673418,309.599,326.354,0.873537,330.476,415.415,0.826955,235.808,251.139,0.658885,235.824,329.069,0.811378,173.137,414.025,0.786924,304.068,78.4702,0.855002,0.0,0.0,0.0,283.146,85.4275,0.931356,0.0,0.0,0.0,200.995,447.442,0.741773,198.225,441.912,0.66436,159.204,419.606,0.734578,369.445,414.008,0.742946,361.158,419.608,0.746089,326.288,425.194,0.791837
0,313.787,86.8067,0.891423,270.654,131.423,0.868259,283.151,131.36,0.863647,304.021,188.452,0.896664,368.053,216.336,0.890822,259.47,132.747,0.799757,235.83,195.401,0.77975,221.917,245.584,0.865834,255.342,256.68,0.6959,272.038,259.46,0.689751,313.819,327.701,0.854607,324.903,415.449,0.811066,240.042,253.912,0.679603,237.194,334.669,0.826559,170.33,407.069,0.778948,306.855,81.2472,0.923976,0.0,0.0,0.0,284.535,85.4396,0.94795,0.0,0.0,0.0,192.619,447.446,0.790429,189.879,441.9,0.688355,155.05,412.609,0.751221,361.143,423.765,0.731769,352.76,427.944,0.771143,317.943,425.211,0.740514
0,313.778,93.7483,0.865984,274.782,128.59,0.812475,281.783,128.636,0.860306,304.026,191.233,0.901382,365.267,217.758,0.906214,267.806,127.25,0.737821,274.793,198.205,0.108358,0.0,0.0,0.0,259.492,255.278,0.664211,272.046,256.682,0.648516,310.976,327.668,0.832918,315.156,419.602,0.799928,246.926,252.536,0.596364,242.813,351.332,0.834404,171.767,401.535,0.759593,309.568,84.0674,0.92882,0.0,0.0,0.0,287.343,85.4101,0.927081,0.0,0.0,0.0,184.257,447.429,0.729241,184.281,441.873,0.651641,157.803,402.89,0.655017,355.58,426.605,0.740078,347.202,430.78,0.741288,305.458,429.35,0.768442
0,313.786,82.626,0.884871,277.553,127.219,0.826915,284.561,128.591,0.896566,301.281,191.231,0.892002,359.755,221.863,0.898194,267.869,125.84,0.749996,273.42,195.424,0.0925702,0.0,0.0,0.0,263.632,252.497,0.675179,274.777,253.897,0.642258,308.172,327.755,0.877,304.047,419.57,0.805705,252.49,249.76,0.596728,263.674,345.765,0.858952,177.331,395.886,0.849544,306.879,75.6966,0.867541,0.0,0.0,0.0,288.714,81.2983,0.910744,0.0,0.0,0.0,185.646,436.271,0.771106,185.688,430.724,0.701507,164.788,394.512,0.808044,345.8,428.0,0.743244,337.451,432.111,0.716391,295.64,429.323,0.75851
0,313.791,79.901,0.874431,274.781,125.844,0.854543,283.174,127.188,0.887604,297.123,192.663,0.904151,354.196,227.509,0.902146,265.07,125.804,0.76802,276.207,195.435,0.104989,0.0,0.0,0.0,263.662,249.747,0.675539,273.4,251.136,0.654695,302.609,324.954,0.855326,292.868,419.576,0.825483,253.913,248.368,0.596126,277.57,337.457,0.820161,189.889,391.786,0.763865,306.846,74.2583,0.904217,312.375,72.9197,0.0623479,288.754,79.8713,0.886238,0.0,0.0,0.0,198.209,436.266,0.753617,198.188,430.738,0.673717,174.547,391.777,0.7702,333.294,430.74,0.729823,323.542,433.556,0.718292,283.127,429.327,0.797894
