,Nose_x,Nose_y,Nose_likelihood,Neck_x,Neck_y,Neck_likelihood,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_likelihood,Right_Elbow_x,Right_Elbow_y,Right_Elbow_likelihood,Right_Wrist_x,Right_Wrist_y,Right_Wrist_likelihood,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_likelihood,Left_Elbow_x,Left_Elbow_y,Left_Elbow_likelihood,Left_Wrist_x,Left_Wrist_y,Left_Wrist_likelihood,MidHip_x,MidHip_y,MidHip_likelihood,Right_Hip_x,Right_Hip_y,Right_Hip_likelihood,Right_Knee_x,Right_Knee_y,Right_Knee_likelihood,Right_Ankle_x,Right_Ankle_y,Right_Ankle_likelihood,Left_Hip_x,Left_Hip_y,Left_Hip_likelihood,Left_Knee_x,Left_Knee_y,Left_Knee_likelihood,Left_Ankle_x,Left_Ankle_y,Left_Ankle_likelihood,Right_Eye_x,Right_Eye_y,Right_Eye_likelihood,Left_Eye_x,Left_Eye_y,Left_Eye_likelihood,Right_Ear_x,Right_Ear_y,Right_Ear_likelihood,Left_Ear_x,Left_Ear_y,Left_Ear_likelihood,Left_BigToe_x,Left_BigToe_y,Left_BigToe_likelihood,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_likelihood,Left_Heel_x,Left_Heel_y,Left_Heel_likelihood,Right_BigToe_x,Right_BigToe_y,Right_BigToe_likelihood,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_likelihood,Right_Heel_x,Right_Heel_y,Right_Heel_likelihood
0,711.75,94.5117,0.847743,650.982,151.398,0.790191,664.714,155.288,0.811525,652.948,257.143,0.789895,676.381,355.116,0.768066,637.219,149.442,0.730291,652.876,272.815,0.198706,695.972,315.914,0.683812,648.985,343.325,0.595356,652.945,343.367,0.596371,680.368,451.092,0.578125,692.077,515.774,0.299128,639.168,341.383,0.503797,678.331,445.161,0.569845,586.288,539.187,0.546937,705.766,84.6396,0.853826,0.0,0.0,0.0,676.405,86.6803,0.890059,0.0,0.0,0.0,607.818,588.279,0.463983,605.848,584.342,0.404572,568.58,539.319,0.49751,693.997,517.703,0.0739102,694.0,521.574,0.0749489,695.94,521.648,0.252616
0,711.597,92.5539,0.853999,650.968,149.492,0.829319,666.523,153.327,0.827715,664.553,251.244,0.80404,696.062,345.295,0.819914,637.196,149.34,0.764831,0.0,0.0,0.0,0.0,0.0,0.0,650.9,349.205,0.576362,662.617,349.203,0.603252,680.2,521.57,0.764297,654.868,488.326,0.475656,641.117,349.202,0.464548,688.144,439.35,0.432697,607.866,550.992,0.698957,699.988,82.7522,0.852247,0.0,0.0,0.0,676.419,84.7805,0.904239,0.0,0.0,0.0,633.264,572.597,0.153594,633.302,570.623,0.185626,590.241,554.913,0.640019,672.469,523.587,0.147614,662.609,517.698,0.1696,650.895,478.49,0.345043
0,711.614,86.7418,0.862549,650.969,149.446,0.806337,664.694,151.423,0.814692,666.717,249.331,0.772955,713.728,337.438,0.885274,637.245,149.327,0.735123,0.0,0.0,0.0,0.0,0.0,0.0,656.839,351.16,0.548433,645.078,353.168,0.50409,660.691,470.678,0.658946,621.608,590.249,0.725552,672.493,347.252,0.473688,697.94,445.283,0.744558,646.982,562.761,0.470403,701.84,78.8631,0.806534,0.0,0.0,0.0,678.278,84.8233,0.898167,0.0,0.0,0.0,692.081,598.01,0.392478,684.245,586.332,0.406184,0.0,0.0,0.0,682.302,613.698,0.694881,668.536,619.54,0.676772,607.833,601.997,0.683276
0,711.674,88.6483,0.904987,652.879,149.412,0.714552,664.592,151.383,0.810835,680.343,249.341,0.82998,741.047,333.549,0.829752,645.019,147.486,0.607545,662.656,255.17,0.0883666,686.201,304.2,0.113142,654.829,341.419,0.598907,635.294,347.257,0.570148,648.934,474.573,0.690327,635.225,570.602,0.202131,674.444,339.446,0.577714,699.96,447.131,0.808616,668.552,570.614,0.738173,701.841,82.7152,0.847754,0.0,0.0,0.0,676.368,86.6592,0.887563,0.0,0.0,0.0,715.621,594.092,0.698491,713.653,588.197,0.676402,656.792,584.269,0.519348,684.276,588.222,0.0906854,680.339,590.226,0.0726526,635.221,584.292,0.163056
0,711.654,92.5796,0.838524,650.974,151.345,0.728522,664.557,151.415,0.801322,684.318,249.286,0.807734,754.784,321.848,0.793244,639.205,149.477,0.643739,664.629,253.24,0.207039,686.222,296.318,0.128352,650.903,339.43,0.649988,633.325,343.342,0.586579,633.368,462.817,0.663063,601.933,586.307,0.457235,666.656,337.458,0.62627,699.957,445.23,0.823767,698.002,578.454,0.776269,699.946,84.6885,0.874817,0.0,0.0,0.0,672.453,86.7776,0.845654,0.0,0.0,0.0,754.788,590.169,0.749469,750.861,586.242,0.700789,688.182,596.101,0.697506,643.104,613.676,0.266104,625.455,617.559,0.250995,584.344,598.014,0.300514
0,711.677,100.423,0.923905,652.914,153.325,0.631613,664.537,157.216,0.784924,697.977,255.215,0.844657,774.417,319.834,0.868107,646.989,151.332,0.553603,678.35,253.249,0.148993,697.964,304.164,0.104418,648.965,347.268,0.62057,629.341,351.14,0.553547,619.501,523.531,0.851429,570.615,596.065,0.728256,666.668,341.419,0.59202,705.811,451.144,0.765082,729.226,574.501,0.786581,701.907,86.7713,0.871141,0.0,0.0,0.0,676.42,90.6741,0.842385,0.0,0.0,0.0,778.265,574.549,0.707408,776.272,572.485,0.696884,719.504,590.267,0.652747,631.314,617.62,0.706757,615.624,619.625,0.674088,554.95,603.866,0.651958
0,711.715,104.343,0.886157,656.839,163.121,0.629956,662.68,163.176,0.805137,703.838,257.132,0.845435,784.174,310.032,0.7759,650.95,161.183,0.49562,688.153,263.006,0.198717,741.015,317.815,0.382931,646.996,351.192,0.60169,627.42,353.197,0.549639,603.962,523.554,0.702068,554.883,594.105,0.707688,664.648,349.2,0.591749,703.837,453.071,0.761678,746.896,572.56,0.767914,705.753,94.5456,0.805727,0.0,0.0,0.0,678.394,100.376,0.910489,0.0,0.0,0.0,797.844,566.696,0.725487,793.911,560.806,0.724124,742.936,590.251,0.703639,613.705,617.678,0.710304,598.027,619.676,0.666982,539.175,603.874,0.640881
0,713.586,110.205,0.849031,662.681,165.157,0.636468,662.651,165.156,0.80078,711.567,257.217,0.878384,791.916,306.142,0.89794,664.605,165.127,0.483375,695.994,259.127,0.220089,729.304,311.992,0.188021,643.117,353.177,0.606702,621.547,357.051,0.560249,603.964,490.278,0.61213,541.21,590.25,0.735921,664.603,353.104,0.623628,709.723,458.94,0.826275,758.653,572.588,0.783149,707.7,100.37,0.860142,0.0,0.0,0.0,680.26,102.405,0.918303,0.0,0.0,0.0,807.612,556.964,0.754175,803.712,556.858,0.720492,754.782,594.106,0.616096,600.02,619.597,0.725732,586.235,621.609,0.693402,523.643,601.941,0.701711
0,713.733,116.032,0.88399,656.801,174.855,0.673082,664.706,172.907,0.79249,713.557,261.112,0.875375,799.849,304.248,0.838522,646.99,174.844,0.600863,607.814,268.908,0.576859,588.307,335.498,0.534104,646.991,362.908,0.576173,623.52,364.893,0.526361,603.86,488.341,0.575437,596.095,494.275,0.580731,666.556,359.014,0.574323,713.611,456.984,0.847067,754.758,572.634,0.751283,711.552,102.406,0.913485,0.0,0.0,0.0,682.293,110.177,0.880793,0.0,0.0,0.0,803.765,568.597,0.706123,799.805,562.746,0.659837,750.819,594.111,0.551431,588.3,527.534,0.619202,582.36,525.502,0.587949,598.005,492.251,0.422
0,717.512,123.923,0.811681,660.754,178.813,0.73304,668.549,178.761,0.813557,713.591,264.997,0.852148,803.702,306.078,0.865972,648.946,178.819,0.677996,613.669,274.759,0.601653,594.083,337.546,0.519125,648.949,360.992,0.5983,629.356,364.854,0.536624,603.93,492.285,0.700926,586.281,496.218,0.644576,666.659,357.074,0.579423,717.544,458.937,0.829884,745.006,584.269,0.784413,711.736,114.108,0.904513,0.0,0.0,0.0,684.235,116.092,0.92773,0.0,0.0,0.0,795.917,582.331,0.70235,792.032,574.539,0.710221,741.009,601.864,0.702126,582.35,533.375,0.56201,572.627,527.486,0.5731,582.331,490.294,0.458315
