,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,635.349,178.671,0.907209,635.278,239.501,0.909894,588.337,241.447,0.86301,554.945,312.032,0.779501,570.618,319.748,0.882016,682.197,233.649,0.856025,699.969,306.211,0.863201,715.543,364.865,0.85479,639.149,382.503,0.753482,607.861,382.592,0.73043,611.728,488.315,0.783645,603.975,554.977,0.821566,668.632,380.571,0.731996,680.368,478.55,0.923487,682.354,596.055,0.754226,631.261,167.014,0.886337,648.866,167.024,0.910844,615.65,178.77,0.903689,654.864,178.815,0.841466,682.283,621.539,0.712747,699.902,619.611,0.765278,680.31,605.857,0.613202,613.665,594.088,0.766999,598.059,588.295,0.759072,607.832,556.918,0.620792
0,646.957,176.838,0.898209,639.198,239.536,0.860503,596.07,241.43,0.823614,558.881,308.103,0.7823,574.533,319.861,0.865403,684.266,235.61,0.820614,709.63,308.157,0.832553,719.493,368.766,0.85641,643.095,384.425,0.743619,613.711,384.494,0.726815,615.662,488.28,0.801173,607.832,551.006,0.76934,674.416,382.507,0.729432,682.264,478.545,0.913492,684.2,603.949,0.76454,635.235,165.151,0.94273,650.995,165.187,0.913787,619.552,178.697,0.924533,664.6,178.774,0.825283,688.159,631.375,0.722259,703.836,629.363,0.755502,678.357,617.573,0.645599,611.772,590.19,0.784998,599.937,586.33,0.74536,613.74,551.018,0.691753
0,649.033,176.757,0.916124,647.03,239.484,0.873562,601.878,237.569,0.831566,572.485,304.097,0.874464,584.271,325.737,0.825836,692.074,237.538,0.80845,711.633,312.007,0.85891,725.373,370.829,0.844397,647.042,384.447,0.760382,617.565,384.545,0.741752,615.635,492.245,0.840705,615.652,547.128,0.777722,678.38,382.473,0.748399,684.276,478.563,0.871601,684.241,601.924,0.790535,639.182,165.109,0.899606,658.771,165.146,0.871089,623.531,176.834,0.861701,666.684,178.752,0.886001,688.179,625.485,0.700905,703.804,623.498,0.765806,680.242,609.828,0.666589,611.767,586.248,0.83461,600.0,580.425,0.771602,619.561,547.114,0.69732
0,652.855,172.921,0.865116,648.974,235.62,0.887759,601.987,235.593,0.831762,582.333,302.234,0.817554,586.337,335.59,0.902708,695.941,233.616,0.837659,713.534,312.005,0.861619,727.318,378.574,0.855011,650.866,382.531,0.802506,619.546,384.437,0.781729,615.658,494.193,0.857857,619.63,543.159,0.872271,682.196,380.568,0.780324,686.217,486.358,0.800005,682.39,601.873,0.793005,646.963,164.985,0.921316,664.577,165.045,0.949277,631.297,174.843,0.861373,672.492,178.671,0.829202,690.125,625.455,0.718991,703.827,621.569,0.776706,678.336,607.863,0.706545,607.868,584.311,0.80422,599.952,574.528,0.780984,631.297,543.154,0.80555
0,654.841,167.094,0.858436,650.886,229.787,0.910575,603.878,229.768,0.859266,586.249,300.235,0.865758,588.159,341.375,0.881863,697.896,229.73,0.877908,713.651,310.061,0.843982,729.213,374.707,0.842811,650.928,382.474,0.801246,619.6,382.554,0.784267,615.669,492.146,0.848716,621.569,543.204,0.836739,682.267,380.532,0.770978,690.078,484.397,0.799836,682.261,590.265,0.821881,648.882,163.028,0.921242,664.671,163.1,0.962021,633.184,169.008,0.871853,676.399,174.846,0.771362,686.172,623.477,0.728519,699.92,619.595,0.780302,676.37,602.021,0.70957,611.717,584.353,0.784452,600.017,574.573,0.757954,633.324,543.198,0.78747
0,656.772,165.017,0.905186,650.975,227.734,0.932836,603.956,227.761,0.87547,586.352,300.241,0.871258,586.329,353.072,0.928787,697.933,227.686,0.892021,715.572,306.076,0.875797,729.379,376.668,0.845918,650.972,376.626,0.764948,619.621,376.663,0.747946,617.572,478.495,0.848306,623.515,549.023,0.794377,682.309,374.67,0.753948,686.232,484.416,0.808165,682.235,590.245,0.831289,648.927,157.219,0.895973,666.52,159.177,0.903608,633.233,165.066,0.909721,678.317,167.056,0.761174,682.327,621.504,0.788078,697.957,617.695,0.844638,676.393,601.971,0.67029,615.631,592.152,0.776009,601.936,586.305,0.751164,635.2,551.034,0.74464
0,658.734,163.032,0.884708,651.008,225.723,0.916495,603.994,225.791,0.868366,588.235,298.272,0.860426,588.154,360.947,0.862479,697.965,223.852,0.872022,713.731,304.129,0.888642,731.228,368.91,0.860429,650.959,370.788,0.773509,619.592,370.762,0.754723,617.66,476.501,0.838648,629.328,554.994,0.817402,682.313,370.777,0.762567,684.276,484.427,0.839809,682.184,588.292,0.856283,648.988,151.342,0.929595,666.544,151.403,0.923853,633.325,163.046,0.921161,678.332,165.035,0.801247,686.178,619.592,0.814418,699.882,617.559,0.857906,672.495,600.023,0.711065,615.697,601.914,0.780976,603.844,594.099,0.703875,635.348,558.82,0.763362
0,658.749,161.096,0.86727,652.862,223.838,0.8885,605.855,223.861,0.840034,588.303,298.314,0.866638,586.339,366.898,0.932416,698.025,221.898,0.845916,715.576,300.234,0.856919,731.286,364.862,0.867998,650.927,366.897,0.781207,619.565,366.879,0.762196,619.595,474.54,0.813307,627.434,564.705,0.763557,682.288,368.765,0.768944,684.232,478.578,0.87401,680.344,586.267,0.861774,649.018,149.417,0.97345,666.543,149.471,0.959437,633.366,161.148,0.907346,678.332,163.127,0.849481,682.288,617.685,0.806061,697.891,615.65,0.838329,670.526,592.158,0.709345,617.617,607.804,0.753166,603.942,602.009,0.717801,635.293,570.593,0.731026
0,656.833,159.187,0.849214,651.041,223.786,0.883279,605.836,223.774,0.831102,588.341,300.255,0.865292,586.235,368.787,0.921436,698.018,221.837,0.84196,717.531,294.365,0.816588,731.234,355.171,0.855922,650.932,366.825,0.786443,619.57,366.806,0.766377,621.558,472.678,0.801882,629.366,576.475,0.762271,682.269,366.86,0.785435,682.386,478.499,0.894581,680.299,586.196,0.855658,648.993,149.338,0.978209,666.52,149.394,0.977648,633.321,159.178,0.892813,678.337,163.041,0.852551,682.263,617.536,0.840212,696.05,611.727,0.816476,668.596,590.251,0.709573,617.687,617.609,0.752905,605.881,611.734,0.687315,635.265,582.398,0.744992
0,656.801,159.19,0.849538,652.851,223.809,0.885789,604.006,223.818,0.840276,588.314,302.165,0.88475,584.315,368.893,0.876265,698.026,221.862,0.839535,717.591,290.561,0.844615,731.228,351.072,0.904056,650.948,366.796,0.780732,619.581,366.8,0.76113,621.589,478.479,0.757491,631.308,586.244,0.755479,682.282,366.797,0.773458,682.311,478.445,0.902715,678.38,584.263,0.808852,648.976,149.351,0.97547,664.733,149.392,0.974591,633.31,161.073,0.898778,678.328,163.031,0.857047,682.219,611.777,0.780583,695.983,605.895,0.817175,666.678,590.215,0.71716,619.655,623.471,0.731017,607.849,619.53,0.716573,635.325,590.188,0.729519
