,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,0.0,0.0,0.0,294.234,152.238,0.925698,326.319,156.46,0.860428,337.419,216.356,0.899371,338.787,266.413,0.872938,260.875,148.052,0.890093,241.398,203.743,0.917338,237.155,251.132,0.914458,287.338,255.328,0.664448,308.176,258.074,0.702805,305.429,330.47,0.88061,301.251,408.45,0.700149,265.042,253.906,0.6731,262.267,327.694,0.883757,271.994,395.903,0.849142,0.0,0.0,0.0,0.0,0.0,0.0,309.584,116.107,0.783487,281.703,114.672,0.895217,273.416,440.473,0.616344,267.862,439.096,0.571915,274.798,404.243,0.732219,299.885,436.31,0.496068,305.457,433.512,0.60089,297.094,418.222,0.670238
0,0.0,0.0,0.0,292.92,150.824,0.92383,326.308,153.704,0.857749,337.405,217.712,0.89588,334.63,267.871,0.84648,260.827,145.318,0.877582,241.429,202.429,0.915216,231.619,252.481,0.906612,287.293,256.72,0.673486,308.19,259.463,0.690817,305.389,337.418,0.878539,299.837,418.238,0.750596,263.666,255.314,0.688749,262.22,331.876,0.873936,270.634,395.936,0.856663,0.0,0.0,0.0,0.0,0.0,0.0,308.207,116.041,0.76804,280.342,114.661,0.906722,270.641,437.726,0.683428,266.421,436.314,0.640671,276.155,402.85,0.843623,299.862,437.665,0.476024,304.065,434.925,0.601878,297.098,427.954,0.751851
0,0.0,0.0,0.0,292.884,149.501,0.922007,326.309,153.646,0.86162,336.076,216.35,0.895518,329.148,263.65,0.881917,259.475,145.284,0.873927,241.358,202.371,0.917587,231.624,252.53,0.891317,285.956,256.698,0.691593,308.207,258.117,0.706428,305.403,336.036,0.868941,301.281,416.793,0.773004,262.318,255.294,0.702931,260.838,329.104,0.897991,266.437,395.967,0.846716,0.0,0.0,0.0,0.0,0.0,0.0,308.231,114.67,0.579449,281.715,113.288,0.890664,259.504,433.549,0.685593,256.663,432.14,0.67373,270.633,405.69,0.814043,299.841,434.887,0.546831,305.4,432.133,0.637735,299.857,426.56,0.730937
0,0.0,0.0,0.0,291.516,149.466,0.926672,324.936,152.271,0.859606,336.034,214.887,0.868923,327.669,255.336,0.881534,258.091,145.267,0.875913,240.012,202.351,0.928761,228.892,253.884,0.891363,284.526,255.297,0.711702,306.804,256.699,0.694976,305.402,327.725,0.85362,302.644,412.634,0.729723,260.877,253.904,0.711351,259.427,327.744,0.847546,262.303,407.06,0.776789,0.0,0.0,0.0,0.0,0.0,0.0,308.221,111.901,0.873672,278.974,111.913,0.891846,267.84,430.738,0.336594,253.923,426.586,0.418125,265.022,419.575,0.731139,299.859,436.271,0.469353,305.417,433.504,0.512222,301.221,422.406,0.665016
0,0.0,0.0,0.0,290.141,149.461,0.919196,324.901,152.228,0.855194,334.679,214.884,0.853199,322.132,256.688,0.771941,256.707,145.286,0.872288,238.609,202.409,0.93599,227.405,251.093,0.920874,283.182,255.292,0.711713,305.456,256.699,0.697689,304.075,330.52,0.818729,304.038,412.624,0.772367,260.842,252.542,0.697108,255.301,324.921,0.840176,259.441,408.449,0.753604,0.0,0.0,0.0,0.0,0.0,0.0,306.863,113.293,0.911008,278.933,110.531,0.897106,245.576,426.563,0.541083,245.523,425.161,0.662699,260.874,419.632,0.692891,299.84,436.289,0.578067,306.805,433.523,0.59006,302.61,422.427,0.719836
0,0.0,0.0,0.0,288.731,149.468,0.920063,322.175,150.932,0.854035,334.641,214.901,0.87216,318.01,252.541,0.678511,255.32,145.304,0.876679,238.589,202.402,0.919886,226.022,251.114,0.913899,283.181,253.921,0.72,305.476,255.312,0.704967,304.056,329.134,0.825735,305.374,409.895,0.829059,260.82,252.528,0.702105,253.883,324.929,0.843221,253.914,411.219,0.798065,0.0,0.0,0.0,0.0,0.0,0.0,306.801,113.29,0.911626,276.219,111.926,0.888635,246.939,419.615,0.364539,242.776,419.594,0.562132,255.319,420.999,0.787804,302.646,440.457,0.650356,308.189,437.693,0.637687,304.027,420.973,0.679956
0,0.0,0.0,0.0,285.986,149.488,0.9291,319.395,152.279,0.873464,330.532,212.169,0.862552,315.202,245.531,0.511573,253.956,145.314,0.879447,237.196,202.419,0.912048,224.661,252.487,0.908655,283.133,252.541,0.720748,305.411,253.927,0.709643,304.034,326.304,0.832947,305.388,404.239,0.835516,259.496,252.496,0.701018,252.531,323.537,0.834499,251.145,408.488,0.813204,0.0,0.0,0.0,0.0,0.0,0.0,305.395,116.037,0.951213,273.42,114.623,0.915345,242.786,409.864,0.431431,239.991,412.627,0.630955,253.9,419.583,0.75833,301.238,436.337,0.42612,306.834,434.905,0.417062,304.061,412.645,0.730701
0,0.0,0.0,0.0,284.494,149.49,0.935454,317.923,152.281,0.871819,327.65,216.365,0.8982,309.582,241.351,0.282024,251.144,145.318,0.88662,235.816,200.982,0.88354,221.876,249.763,0.901894,281.717,255.276,0.701348,302.669,255.295,0.676252,304.051,327.71,0.838612,305.376,411.282,0.846514,259.475,253.927,0.692345,252.505,323.501,0.841191,248.315,400.118,0.751781,0.0,0.0,0.0,0.0,0.0,0.0,299.869,114.686,0.621653,270.571,116.04,0.891281,251.115,422.353,0.563937,245.529,419.599,0.530541,246.953,411.243,0.659783,308.194,439.124,0.718062,303.999,436.331,0.666892,304.062,419.65,0.651602
0,0.0,0.0,0.0,281.768,150.918,0.927724,315.18,155.015,0.846362,327.66,216.267,0.89427,309.61,238.579,0.399797,249.707,148.107,0.89796,234.384,198.22,0.882335,220.528,249.705,0.895977,278.992,256.694,0.697349,299.859,256.674,0.692683,304.045,327.68,0.827971,305.403,412.636,0.801582,258.076,256.687,0.691916,252.487,323.501,0.841321,245.575,394.572,0.782693,0.0,0.0,0.0,0.0,0.0,0.0,298.431,114.705,0.763858,269.19,114.671,0.751996,252.535,422.36,0.773787,249.728,419.643,0.720361,237.223,398.734,0.712573,305.439,446.045,0.712144,305.407,443.247,0.649342,304.027,421.027,0.613901
0,0.0,0.0,0.0,280.323,153.669,0.888576,312.423,156.456,0.852361,326.318,216.271,0.890492,308.193,237.161,0.483487,245.585,152.239,0.879686,230.202,205.152,0.912547,219.106,251.147,0.912262,277.623,256.683,0.691338,298.483,255.315,0.704043,302.663,327.689,0.811124,305.458,408.484,0.768679,256.7,256.705,0.683188,251.146,323.563,0.871843,246.976,394.571,0.806677,0.0,0.0,0.0,0.0,0.0,0.0,295.659,118.838,0.753949,267.809,117.49,0.792399,252.56,421.018,0.70411,248.356,419.642,0.606379,241.405,401.509,0.711365,309.603,444.703,0.704285,305.421,443.246,0.672652,305.447,414.043,0.483423
0,0.0,0.0,0.0,276.182,155.088,0.905698,309.603,157.816,0.870299,324.873,219.149,0.886302,302.632,235.817,0.395802,244.128,153.673,0.889067,227.438,207.957,0.905067,216.336,255.285,0.883144,274.775,256.716,0.711755,295.708,256.691,0.711039,299.884,329.077,0.833065,306.819,404.299,0.765872,252.495,258.063,0.706791,251.162,326.311,0.864478,249.74,407.103,0.832296,0.0,0.0,0.0,0.0,0.0,0.0,287.339,117.452,0.900817,260.901,118.899,0.865433,245.541,408.482,0.46657,239.989,409.88,0.654376,251.141,416.859,0.837152,308.208,443.261,0.491682,312.41,440.503,0.480872,306.846,414.049,0.611513
0,0.0,0.0,0.0,273.428,157.807,0.911487,306.847,157.84,0.882852,323.493,221.892,0.849579,301.238,249.712,0.457611,240.007,156.452,0.881341,226.043,207.976,0.897226,214.941,256.703,0.906887,276.174,259.5,0.700701,297.074,260.848,0.715817,297.123,334.644,0.844304,306.793,412.674,0.786901,253.893,259.507,0.687107,251.121,327.742,0.874678,249.742,407.103,0.82441,0.0,0.0,0.0,0.0,0.0,0.0,288.698,120.271,0.854926,258.11,123.027,0.827824,251.146,425.129,0.555215,245.521,420.998,0.603229,251.108,416.808,0.800675,312.38,446.046,0.596126,313.812,444.635,0.599863,305.46,422.423,0.691591
0,0.0,0.0,0.0,272.056,157.859,0.909711,306.774,159.204,0.868596,320.784,219.091,0.885819,305.453,248.322,0.475968,239.942,156.473,0.873952,224.694,206.607,0.900524,214.889,258.121,0.903972,273.435,259.513,0.714154,295.701,260.866,0.718101,297.086,331.879,0.859214,304.042,402.883,0.83892,251.11,260.861,0.700458,248.38,331.913,0.864929,249.738,412.652,0.802958,0.0,0.0,0.0,0.0,0.0,0.0,287.32,121.618,0.830622,256.731,123.052,0.706404,252.525,425.159,0.505015,244.188,422.398,0.573694,251.11,422.389,0.819018,304.023,433.51,0.405473,309.583,425.192,0.429935,302.679,411.282,0.832114
0,0.0,0.0,0.0,272.008,157.81,0.916506,305.467,156.432,0.864107,322.147,217.7,0.910979,310.982,248.376,0.693637,238.555,157.815,0.881567,224.663,212.125,0.888069,214.905,259.506,0.922278,272.048,259.509,0.712991,294.336,259.506,0.709151,297.108,330.48,0.874122,297.082,387.607,0.821257,249.733,260.873,0.705162,246.985,337.471,0.836551,251.137,416.816,0.841165,0.0,0.0,0.0,0.0,0.0,0.0,285.96,117.47,0.932599,255.342,121.647,0.75347,252.5,420.986,0.424727,244.158,422.381,0.580093,253.897,426.573,0.801702,292.913,414.033,0.649787,298.469,411.27,0.624531,295.646,395.975,0.665127
0,0.0,0.0,0.0,271.955,155.084,0.901385,305.418,155.042,0.864199,320.748,217.688,0.950052,315.147,260.868,0.850816,237.214,156.446,0.880749,223.28,214.91,0.913753,214.92,260.904,0.932107,273.385,260.896,0.714857,295.643,260.9,0.700802,297.057,331.871,0.850498,295.742,387.612,0.806419,251.085,263.634,0.72027,246.981,340.231,0.849437,252.541,422.354,0.834193,0.0,0.0,0.0,0.0,0.0,0.0,281.759,118.898,0.883338,253.922,123.02,0.727131,255.301,418.2,0.33385,245.543,423.762,0.468704,255.287,430.774,0.813699,291.499,415.429,0.626343,298.458,414.009,0.552463,294.291,397.339,0.609743
0,0.0,0.0,0.0,271.992,153.668,0.917524,305.41,153.686,0.867076,319.344,216.313,0.895077,316.597,255.308,0.896605,238.563,153.663,0.887765,223.259,214.93,0.895578,214.965,263.708,0.909876,274.798,258.091,0.709945,295.734,258.082,0.721134,298.471,329.1,0.843748,294.243,394.555,0.769179,252.478,259.476,0.700134,249.712,338.801,0.873223,253.904,422.36,0.835324,0.0,0.0,0.0,0.0,0.0,0.0,283.178,118.871,0.906566,253.894,121.633,0.839443,252.502,423.806,0.381867,245.544,427.934,0.557245,255.32,432.118,0.838316,278.978,408.453,0.311109,288.744,408.495,0.221405,291.487,405.671,0.680313
0,0.0,0.0,0.0,271.991,152.308,0.926574,305.39,152.266,0.874893,319.324,212.131,0.91093,319.342,260.869,0.902016,237.235,153.647,0.8819,223.239,214.904,0.88467,216.289,263.625,0.926664,274.806,260.865,0.708897,297.072,260.875,0.715236,298.45,331.913,0.849914,292.863,394.536,0.757323,251.185,260.883,0.704273,251.152,338.812,0.857354,253.955,419.59,0.802367,0.0,0.0,0.0,0.0,0.0,0.0,283.169,117.427,0.955969,252.57,120.214,0.860272,252.52,434.926,0.477693,246.97,433.501,0.611081,256.702,429.355,0.824772,304.0,432.154,0.537616,305.424,430.752,0.538874,287.311,404.292,0.665375
0,0.0,0.0,0.0,270.604,152.229,0.927175,302.666,150.861,0.879353,317.983,207.968,0.911269,322.122,256.683,0.87503,237.184,152.283,0.895859,221.887,213.496,0.891054,216.336,260.841,0.935871,274.81,258.104,0.716505,297.083,259.453,0.732406,298.454,327.73,0.852279,294.301,384.768,0.743234,251.178,259.468,0.709525,252.538,337.428,0.860423,255.286,418.235,0.779522,0.0,0.0,0.0,0.0,0.0,0.0,283.168,116.024,0.950345,253.914,117.484,0.916415,251.106,439.146,0.530458,246.965,437.702,0.643102,258.091,429.34,0.736504,287.336,414.018,0.602898,294.31,414.044,0.520679,291.543,394.535,0.528462
0,0.0,0.0,0.0,270.611,150.864,0.941225,302.68,149.528,0.882867,317.987,207.93,0.925191,324.93,256.72,0.881575,237.204,150.902,0.898292,223.242,212.136,0.884927,217.761,258.078,0.917669,274.756,253.927,0.698909,295.705,253.943,0.706212,299.832,320.785,0.841101,294.307,393.175,0.768756,251.169,255.286,0.731001,252.545,337.444,0.843011,256.666,419.602,0.794108,0.0,0.0,0.0,0.0,0.0,0.0,283.099,113.318,0.932011,253.878,117.426,0.890804,253.891,443.268,0.709492,259.507,440.505,0.746662,256.701,427.947,0.711519,302.6,432.172,0.504313,305.425,430.727,0.506691,291.521,402.895,0.671301
0,0.0,0.0,0.0,270.657,150.871,0.936126,304.064,150.859,0.87948,319.337,209.4,0.896273,327.757,260.845,0.912312,237.24,150.885,0.8942,224.644,207.971,0.890635,220.477,253.905,0.894753,274.775,259.468,0.707604,295.704,259.501,0.718052,298.449,327.69,0.864543,292.932,401.492,0.780703,252.499,259.46,0.707826,252.57,344.431,0.820569,256.699,423.8,0.750249,0.0,0.0,0.0,0.0,0.0,0.0,284.53,114.672,0.935347,255.321,117.462,0.902684,265.033,444.695,0.45006,253.894,443.262,0.536785,258.077,436.274,0.695931,288.707,434.94,0.553297,298.468,432.167,0.538626,291.502,411.245,0.628928
