,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,0.0,0.0,0.0,693.974,214.085,0.857608,740.981,223.847,0.82347,756.732,306.145,0.900084,756.683,372.726,0.826402,646.96,210.143,0.859755,619.523,292.383,0.887771,607.814,353.081,0.851581,684.28,366.864,0.655692,713.661,368.771,0.688336,711.649,472.681,0.805757,701.862,576.468,0.580329,652.939,366.837,0.631471,649.036,472.6,0.841637,662.662,560.835,0.747773,0.0,0.0,0.0,0.0,0.0,0.0,715.659,163.195,0.840547,674.444,163.062,0.763768,666.598,613.729,0.41194,658.741,613.68,0.386998,664.643,574.493,0.584164,696.003,613.713,0.342236,709.663,605.924,0.39709,697.929,592.148,0.551333
0,0.0,0.0,0.0,692.052,212.176,0.867961,739.087,223.791,0.806081,752.764,306.171,0.844217,746.946,368.866,0.872658,645.049,208.18,0.834246,619.602,288.388,0.884081,603.977,351.234,0.899896,684.212,362.92,0.657074,713.657,364.889,0.68722,711.626,468.744,0.791526,699.919,586.227,0.614314,650.982,360.968,0.662365,648.967,462.878,0.845733,658.787,564.729,0.738488,0.0,0.0,0.0,0.0,0.0,0.0,713.704,163.064,0.837409,672.487,159.222,0.731573,660.72,615.704,0.577415,650.888,613.665,0.563785,664.587,576.486,0.636873,696.03,617.627,0.363018,705.775,615.629,0.434844,696.036,600.005,0.583968
0,0.0,0.0,0.0,692.038,212.126,0.876978,739.092,221.857,0.792812,748.914,306.171,0.843418,743.089,368.746,0.927524,645.018,208.122,0.820306,619.527,286.529,0.875724,603.95,351.205,0.885263,682.255,360.974,0.677232,713.545,364.843,0.676318,709.711,464.826,0.7489,699.923,574.505,0.62359,649.061,358.998,0.68683,645.019,466.787,0.758234,652.912,568.644,0.776028,0.0,0.0,0.0,0.0,0.0,0.0,715.591,163.028,0.821742,672.473,155.277,0.752857,652.894,603.85,0.464022,643.12,601.884,0.509669,656.826,584.317,0.707308,694.008,607.82,0.289068,703.833,603.941,0.339264,697.949,592.175,0.512853
0,0.0,0.0,0.0,688.183,212.049,0.879565,735.213,216.033,0.786566,746.982,306.065,0.876632,741.028,366.792,0.835307,641.16,208.092,0.812715,617.701,286.465,0.87339,603.858,351.195,0.881076,680.357,360.967,0.693517,711.648,362.962,0.663641,709.673,464.865,0.736647,701.844,588.244,0.664723,648.957,357.086,0.686419,637.194,474.622,0.812115,650.915,584.332,0.762168,0.0,0.0,0.0,0.0,0.0,0.0,713.697,159.19,0.848532,672.509,153.334,0.77063,633.253,602.011,0.562023,631.362,601.965,0.6942,656.828,601.944,0.766967,697.94,617.661,0.522675,703.814,617.548,0.54756,699.937,602.003,0.593182
0,0.0,0.0,0.0,686.18,212.019,0.892121,733.199,214.095,0.814472,745.048,306.055,0.881507,733.214,357.08,0.68949,639.178,206.241,0.819698,617.582,284.538,0.859047,601.867,351.158,0.879541,680.27,360.953,0.701183,711.557,364.86,0.671932,707.736,468.703,0.710319,705.756,588.277,0.686428,648.892,357.069,0.684854,635.325,462.828,0.862078,645.014,584.255,0.757029,0.0,0.0,0.0,0.0,0.0,0.0,713.57,161.08,0.854221,668.631,155.29,0.79218,617.694,592.201,0.55878,617.655,596.05,0.691108,650.908,599.943,0.812798,697.942,613.67,0.434189,709.684,609.784,0.470661,703.82,603.904,0.665825
0,0.0,0.0,0.0,684.222,210.199,0.91211,729.39,214.059,0.847289,745.027,302.214,0.816453,729.304,351.108,0.544011,637.253,206.182,0.824012,617.555,278.739,0.854553,599.978,349.207,0.853912,680.217,359.022,0.692158,709.731,362.906,0.667671,705.796,464.868,0.718133,703.793,590.195,0.67669,647.019,357.073,0.672492,635.229,472.641,0.803549,635.31,582.335,0.817841,0.0,0.0,0.0,0.0,0.0,0.0,711.566,159.213,0.811868,666.694,157.212,0.792502,617.573,584.352,0.632044,615.647,586.331,0.799594,643.107,596.054,0.773164,699.929,619.545,0.483387,711.588,617.616,0.519905,701.873,603.993,0.657692
0,0.0,0.0,0.0,682.237,212.001,0.928273,729.244,214.112,0.846865,743.033,304.144,0.886548,727.262,349.163,0.419008,635.32,206.192,0.840801,615.696,274.88,0.856871,598.031,347.244,0.807716,678.332,360.998,0.673263,709.648,362.933,0.666484,703.858,468.703,0.67124,705.756,592.172,0.669962,646.945,360.955,0.645873,633.385,472.608,0.82464,633.245,580.363,0.800018,0.0,0.0,0.0,0.0,0.0,0.0,707.769,159.22,0.799913,664.7,155.24,0.795346,615.68,572.516,0.568429,611.773,576.483,0.697291,635.233,592.132,0.778774,707.709,621.523,0.521961,711.714,619.566,0.588544,701.868,605.891,0.658693
0,0.0,0.0,0.0,680.319,212.102,0.932791,727.327,217.93,0.826417,742.985,304.097,0.830676,717.576,337.517,0.353487,633.342,208.167,0.872097,613.665,274.865,0.834552,592.168,345.316,0.803279,676.35,360.981,0.65627,703.846,362.912,0.659184,699.886,464.809,0.771671,709.637,588.272,0.693888,645.03,359.01,0.636407,635.189,464.798,0.854709,627.422,574.551,0.773742,0.0,0.0,0.0,0.0,0.0,0.0,699.928,163.056,0.84244,662.639,161.17,0.824373,615.648,558.877,0.515232,607.865,568.617,0.613919,629.411,588.329,0.798025,699.963,619.58,0.534085,713.578,617.638,0.554107,707.723,603.932,0.671691
0,0.0,0.0,0.0,678.367,212.183,0.90332,725.375,219.897,0.809533,743.048,304.123,0.824539,717.585,335.47,0.30908,631.356,210.116,0.880318,607.842,274.868,0.843021,590.171,343.382,0.822412,672.482,366.809,0.651625,701.89,366.805,0.658023,699.923,470.683,0.7171,709.702,588.311,0.728115,639.19,366.799,0.633614,633.36,464.88,0.836257,621.612,568.632,0.721766,0.0,0.0,0.0,0.0,0.0,0.0,698.027,163.076,0.892282,658.734,162.994,0.814314,629.356,574.535,0.389433,617.589,572.568,0.474769,625.464,584.302,0.671599,705.804,621.53,0.562578,713.693,619.56,0.592665,709.65,603.925,0.699178
0,0.0,0.0,0.0,670.565,217.946,0.8303,717.57,223.824,0.815589,741.035,304.088,0.792657,715.597,333.553,0.271247,623.542,212.159,0.849336,605.865,276.7,0.85835,588.215,349.183,0.861553,668.523,364.88,0.686741,698.04,364.864,0.677129,699.937,470.702,0.705987,711.585,592.149,0.69234,635.324,364.914,0.669223,633.378,472.635,0.843319,627.414,572.59,0.756631,0.0,0.0,0.0,0.0,0.0,0.0,696.01,165.094,0.915086,652.853,163.187,0.881948,615.68,556.918,0.518743,609.779,564.72,0.578988,629.38,588.274,0.759044,709.71,625.437,0.531768,717.528,621.528,0.56218,709.718,605.922,0.60966
