,Nose_x,Nose_y,Nose_p,Neck_x,Neck_y,Neck_p,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_p,Right_Elbow_x,Right_Elbow_y,Right_Elbow_p,Right_Wrist_x,Right_Wrist_y,Right_Wrist_p,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_p,Left_Elbow_x,Left_Elbow_y,Left_Elbow_p,Left_Wrist_x,Left_Wrist_y,Left_Wrist_p,MidHip_x,MidHip_y,MidHip_p,Right_Hip_x,Right_Hip_y,Right_Hip_p,Right_Knee_x,Right_Knee_y,Right_Knee_p,Right_Ankle_x,Right_Ankle_y,Right_Ankle_p,Left_Hip_x,Left_Hip_y,Left_Hip_p,Left_Knee_x,Left_Knee_y,Left_Knee_p,Left_Ankle_x,Left_Ankle_y,Left_Ankle_p,Right_Eye_x,Right_Eye_y,Right_Eye_p,Left_Eye_x,Left_Eye_y,Left_Eye_p,Right_Ear_x,Right_Ear_y,Right_Ear_p,Left_Ear_x,Left_Ear_y,Left_Ear_p,Left_BigToe_x,Left_BigToe_y,Left_BigToe_p,Left_SmallToe_x,Left_SmallToe_y,Left_SmallToe_p,Left_Heel_x,Left_Heel_y,Left_Heel_p,Right_BigToe_x,Right_BigToe_y,Right_BigToe_p,Right_SmallToe_x,Right_SmallToe_y,Right_SmallToe_p,Right_Heel_x,Right_Heel_y,Right_Heel_p
0,635.279,139.607,0.874893,584.299,182.757,0.76512,574.489,180.792,0.818934,531.394,259.042,0.837309,521.648,335.565,0.868944,590.193,188.6,0.725609,586.259,274.698,0.814476,621.563,331.596,0.819677,541.223,333.535,0.647434,552.936,335.524,0.675388,588.237,415.815,0.833791,631.297,535.312,0.720034,527.506,331.586,0.508421,486.38,427.573,0.776593,443.275,523.633,0.822065,631.323,131.764,0.928203,0.0,0.0,0.0,603.889,133.809,0.930115,0.0,0.0,0.0,480.502,545.11,0.714985,476.555,541.292,0.69331,429.487,533.392,0.782168,680.27,539.169,0.730733,668.539,543.18,0.734796,619.619,552.915,0.763744
0,635.362,143.51,0.873508,586.272,190.487,0.805845,574.585,186.587,0.775302,539.165,261.03,0.831091,523.587,337.561,0.861434,594.137,192.482,0.751527,586.283,274.726,0.83059,621.62,323.756,0.833781,547.097,335.56,0.639212,554.923,337.503,0.676464,588.228,417.848,0.820251,619.689,531.434,0.745817,539.237,335.486,0.52535,490.302,425.652,0.79022,441.265,521.638,0.785089,633.206,133.651,0.953384,0.0,0.0,0.0,603.982,135.695,0.910992,0.0,0.0,0.0,476.506,549.028,0.653702,468.705,543.243,0.595763,425.652,525.626,0.734025,668.611,543.211,0.644722,662.641,552.929,0.657464,615.665,549.041,0.735975
0,637.19,143.486,0.86687,586.364,190.499,0.78776,582.331,188.552,0.769235,541.22,263.043,0.854844,529.51,345.315,0.785042,596.057,192.453,0.705555,588.195,274.866,0.786328,625.456,323.771,0.815822,547.105,337.524,0.64306,554.975,339.471,0.678677,588.281,421.741,0.813504,617.58,535.348,0.770934,539.246,337.419,0.563054,492.245,429.519,0.856188,435.463,521.602,0.76476,633.225,131.847,0.95105,0.0,0.0,0.0,604.023,135.711,0.896775,0.0,0.0,0.0,466.788,552.962,0.680245,462.802,549.052,0.642808,423.656,525.525,0.745944,660.714,552.993,0.646882,650.906,554.987,0.717238,605.838,552.942,0.753114
0,639.167,143.55,0.844548,588.175,190.534,0.74968,584.293,190.501,0.769577,549.049,268.858,0.748324,539.283,349.168,0.828476,596.055,192.456,0.642598,588.201,278.665,0.690243,629.339,323.792,0.804169,552.982,345.3,0.612208,560.803,349.184,0.648716,588.288,429.497,0.834794,605.909,537.283,0.672343,541.165,339.484,0.501775,494.306,431.516,0.83586,437.419,517.712,0.736621,633.295,133.675,0.955572,0.0,0.0,0.0,605.927,137.624,0.867123,0.0,0.0,0.0,460.875,554.997,0.721167,456.927,554.893,0.60484,427.516,523.559,0.728165,652.888,556.939,0.670204,643.099,560.852,0.637017,599.979,554.883,0.698711
0,639.143,145.478,0.866561,588.239,192.448,0.750062,586.223,192.452,0.794757,552.943,272.871,0.823626,553.013,351.128,0.832585,597.995,192.495,0.602428,588.172,278.727,0.68383,623.476,325.705,0.793565,554.854,343.362,0.658731,564.729,349.182,0.63092,588.209,431.448,0.843632,601.936,541.284,0.769971,539.32,339.403,0.591252,509.842,431.59,0.817723,445.124,511.861,0.783248,633.302,133.736,0.956902,0.0,0.0,0.0,605.932,139.582,0.856147,0.0,0.0,0.0,453.1,556.871,0.615808,447.238,554.979,0.544707,429.483,519.658,0.699053,646.969,562.738,0.68021,635.226,568.617,0.727777,588.28,556.944,0.747082
0,639.169,145.443,0.85279,588.194,192.463,0.725676,586.282,192.511,0.818171,556.949,276.791,0.804511,562.761,355.083,0.804385,590.236,192.438,0.556098,584.345,278.688,0.608472,619.499,325.746,0.86541,554.951,349.241,0.677058,566.689,351.221,0.663981,586.366,443.2,0.803516,590.277,549.074,0.717579,541.258,347.247,0.600043,529.485,441.261,0.777812,451.083,509.834,0.760581,633.301,133.736,0.95647,0.0,0.0,0.0,605.924,139.602,0.858386,0.0,0.0,0.0,447.26,564.692,0.605523,447.114,558.85,0.585134,437.407,509.925,0.601191,637.186,570.569,0.63915,627.422,572.528,0.630257,584.298,560.808,0.695781
0,639.178,147.467,0.881263,588.213,194.421,0.763335,586.345,194.499,0.834736,570.612,278.745,0.806098,584.241,357.063,0.815725,590.221,192.515,0.574567,586.299,284.578,0.634014,615.643,333.47,0.803193,552.979,347.247,0.626701,556.983,349.212,0.640188,584.262,443.202,0.77188,584.305,554.97,0.76369,541.287,343.333,0.554562,541.174,445.299,0.820941,458.963,511.839,0.76573,633.341,135.645,0.925505,0.0,0.0,0.0,605.894,141.557,0.858356,0.0,0.0,0.0,451.144,564.759,0.643833,455.044,558.884,0.609318,443.285,511.881,0.62267,627.444,570.681,0.715864,617.566,574.535,0.70925,570.607,568.671,0.758786
0,637.282,147.453,0.89578,588.271,194.523,0.758493,586.265,196.345,0.812041,574.498,286.534,0.796943,594.094,360.966,0.823018,598.036,194.523,0.607397,586.331,282.605,0.579213,605.912,333.562,0.831713,558.882,347.265,0.621764,558.852,349.205,0.660455,572.67,443.209,0.773948,572.565,554.986,0.754364,558.886,347.283,0.507046,554.857,449.211,0.750162,472.671,509.879,0.791458,633.307,135.703,0.922167,0.0,0.0,0.0,605.902,143.544,0.867163,0.0,0.0,0.0,476.487,560.824,0.633148,476.571,556.879,0.647613,455.036,507.984,0.690252,619.525,574.554,0.639282,605.886,580.38,0.627494,558.832,570.573,0.717635
0,635.289,149.362,0.928436,586.242,196.355,0.710087,586.259,196.468,0.832998,582.39,286.56,0.804955,605.891,355.085,0.859837,582.379,194.411,0.501441,562.788,280.651,0.0631008,0.0,0.0,0.0,560.796,347.236,0.601773,568.579,349.174,0.654501,572.487,451.076,0.663218,564.752,558.854,0.724738,556.923,345.289,0.498818,554.938,445.263,0.460298,488.355,521.576,0.712128,631.338,137.68,0.86266,0.0,0.0,0.0,603.902,145.475,0.910098,0.0,0.0,0.0,496.188,564.751,0.62642,494.181,556.967,0.616421,474.569,521.59,0.579094,609.821,578.445,0.680147,599.987,584.305,0.719589,552.95,572.549,0.756186
0,635.235,149.451,0.929411,586.322,196.46,0.732155,586.219,198.339,0.828598,586.231,286.514,0.838101,619.651,353.142,0.81976,590.203,196.373,0.537839,568.597,278.699,0.0684475,605.888,339.459,0.0820267,566.657,347.288,0.608843,568.663,349.237,0.653452,572.523,445.156,0.634374,554.916,558.881,0.759789,562.747,347.252,0.481354,570.624,445.144,0.606082,507.858,521.606,0.789652,631.301,141.586,0.853106,0.0,0.0,0.0,603.913,147.375,0.929798,0.0,0.0,0.0,523.507,556.857,0.64179,521.597,549.081,0.578528,492.163,521.632,0.700469,600.001,584.295,0.717156,586.281,586.335,0.762742,541.171,572.517,0.836951
